X,Y,Z
479183.364,4435117.31,589.274
479183.306,4435117.293,589.278
479183.245,4435117.276,589.274
479183.176,4435117.256,589.275
479183.097,4435117.227,589.271
479183.013,4435117.204,589.279
479182.926,4435117.172,589.274
479182.833,4435117.138,589.273
479182.734,4435117.094,589.271
479182.628,4435117.046,589.269
479182.517,4435116.998,589.274
479182.402,4435116.944,589.269
479182.285,4435116.873,589.275
479182.173,4435116.795,589.272
479182.054,4435116.716,589.281
479181.938,4435116.627,589.277
479181.816,4435116.538,589.275
479181.693,4435116.441,589.285
479181.572,4435116.346,589.286
479181.456,4435116.264,589.302
479181.339,4435116.169,589.304
479181.228,4435116.068,589.31
479181.101,4435115.947,589.309
479180.951,4435115.85,589.317
479180.78,4435115.754,589.316
479180.583,4435115.659,589.308
479180.372,4435115.549,589.306
479180.161,4435115.408,589.299
479179.924,4435115.268,589.317
479179.669,4435115.122,589.315
479179.39,4435114.965,589.313
479179.113,4435114.8,589.321
479178.822,4435114.643,589.342
479178.534,4435114.498,589.342
479178.23,4435114.382,589.346
479177.925,4435114.272,589.343
479177.612,4435114.163,589.343
479177.3,4435114.031,589.35
479176.972,4435113.915,589.358
479176.645,4435113.819,589.359
479176.303,4435113.699,589.351
479175.957,4435113.599,589.353
479175.606,4435113.501,589.35
479175.244,4435113.412,589.352
479174.883,4435113.321,589.36
479174.52,4435113.214,589.349
479174.134,4435113.141,589.39
479173.762,4435113.044,589.371
479173.382,4435112.954,589.375
479173.001,4435112.846,589.344
479172.61,4435112.756,589.369
479172.222,4435112.652,589.36
479171.82,4435112.546,589.375
479171.428,4435112.425,589.323
479171.019,4435112.333,589.348
479170.624,4435112.209,589.318
479170.186,4435112.131,589.353
479169.759,4435112.031,589.357
479169.331,4435111.916,589.35
479168.904,4435111.81,589.331
479168.482,4435111.708,589.334
479168.052,4435111.618,589.341
479167.624,4435111.516,589.352
479167.201,4435111.424,589.359
479166.785,4435111.318,589.351
479166.358,4435111.217,589.366
479165.943,4435111.107,589.353
479165.514,4435111.037,589.375
479165.093,4435110.926,589.384
479164.671,4435110.842,589.388
479164.253,4435110.735,589.353
479163.838,4435110.641,589.36
479163.42,4435110.557,589.364
479163.004,4435110.466,589.362
479162.584,4435110.361,589.363
479162.169,4435110.259,589.377
479161.742,4435110.169,589.364
479161.319,4435110.07,589.351
479160.884,4435109.972,589.37
479160.447,4435109.875,589.362
479160.007,4435109.769,589.354
479159.559,4435109.663,589.367
479159.116,4435109.555,589.364
479158.661,4435109.453,589.354
479158.209,4435109.344,589.348
479157.739,4435109.237,589.347
479157.265,4435109.126,589.358
479156.789,4435109.012,589.362
479156.304,4435108.896,589.348
479155.827,4435108.783,589.355
479155.34,4435108.664,589.361
479154.858,4435108.529,589.375
479154.349,4435108.425,589.371
479153.838,4435108.297,589.325
479153.346,4435108.176,589.355
479152.839,4435108.07,589.37
479152.326,4435107.939,589.346
479151.82,4435107.8,589.338
479151.297,4435107.664,589.346
479150.776,4435107.537,589.338
479150.236,4435107.417,589.344
479149.711,4435107.28,589.338
479149.179,4435107.201,589.369
479148.64,4435107.054,589.353
479148.108,4435106.921,589.352
479147.573,4435106.738,589.327
479147.027,4435106.595,589.336
479146.488,4435106.444,589.327
479145.938,4435106.314,589.344
479145.377,4435106.166,589.333
479144.829,4435106.022,589.352
479144.275,4435105.888,589.348
479143.7,4435105.751,589.345
479143.154,4435105.615,589.343
479142.58,4435105.461,589.362
479142.006,4435105.329,589.331
479141.421,4435105.186,589.35
479140.842,4435105.035,589.34
479140.306,4435104.92,589.272
479139.662,4435104.74,589.355
479139.063,4435104.585,589.329
479138.453,4435104.435,589.337
479137.848,4435104.28,589.339
479137.232,4435104.124,589.338
479136.66,4435104.001,589.283
479135.985,4435103.815,589.333
479135.357,4435103.656,589.324
479134.869,4435103.781,589.425
479134.142,4435103.316,589.218
479133.435,4435103.226,589.356
479132.79,4435103.064,589.338
479132.142,4435102.91,589.325
479131.489,4435102.747,589.321
479130.79,4435102.538,589.351
479130.116,4435102.373,589.322
479129.451,4435102.229,589.344
479128.762,4435102.048,589.318
479128.117,4435101.917,589.284
479127.388,4435101.714,589.31
479126.71,4435101.553,589.306
479126.051,4435101.436,589.266
479125.332,4435101.224,589.334
479124.649,4435101.073,589.277
479123.915,4435100.898,589.317
479123.231,4435100.72,589.267
479122.528,4435100.566,589.3
479121.823,4435100.39,589.279
479121.125,4435100.234,589.304
479120.427,4435100.053,589.287
479119.718,4435099.875,589.302
479119.019,4435099.704,589.285
479118.302,4435099.531,589.308
479117.586,4435099.365,589.312
479116.881,4435099.179,589.293
479116.179,4435099.016,589.278
479115.459,4435098.841,589.273
479114.744,4435098.673,589.254
479114.015,4435098.496,589.249
479113.298,4435098.327,589.255
479112.559,4435098.114,589.231
479111.907,4435098.052,589.287
479111.129,4435097.853,589.266
479110.398,4435097.638,589.267
479109.666,4435097.468,589.25
479108.938,4435097.293,589.264
479108.221,4435097.153,589.256
479107.495,4435096.979,589.232
479106.749,4435096.79,589.224
479106.008,4435096.605,589.214
479105.271,4435096.428,589.208
479104.54,4435096.281,589.21
479103.808,4435096.1,589.179
479103.058,4435095.924,589.194
479102.308,4435095.741,589.19
479101.567,4435095.557,589.182
479100.818,4435095.356,589.171
479100.086,4435095.207,589.172
479099.34,4435095.038,589.186
479098.602,4435094.835,589.154
479097.848,4435094.654,589.165
479097.119,4435094.471,589.163
479096.367,4435094.288,589.151
479095.632,4435094.109,589.147
479094.901,4435093.95,589.137
479094.157,4435093.762,589.144
479093.407,4435093.568,589.135
479092.673,4435093.387,589.138
479091.932,4435093.204,589.137
479091.2,4435093.027,589.138
479090.47,4435092.869,589.144
479089.715,4435092.676,589.101
479088.967,4435092.501,589.118
479088.22,4435092.318,589.107
479087.475,4435092.126,589.099
479086.716,4435091.956,589.105
479085.946,4435091.76,589.083
479085.186,4435091.576,589.08
479084.436,4435091.399,589.058
479083.656,4435091.218,589.054
479082.889,4435091.037,589.047
479082.128,4435090.887,589.057
479081.352,4435090.658,589.019
479080.566,4435090.484,589.024
479079.782,4435090.302,589.02
479079.003,4435090.111,589.014
479078.216,4435089.919,589.018
479077.437,4435089.726,588.992
479076.64,4435089.583,589.031
479075.839,4435089.35,589.003
479075.047,4435089.161,588.999
479074.251,4435088.967,589.004
479073.458,4435088.781,588.993
479072.669,4435088.613,589.012
479071.862,4435088.401,588.992
479071.065,4435088.213,588.996
479070.261,4435088.015,588.996
479069.453,4435087.824,588.989
479068.645,4435087.632,588.986
479067.837,4435087.437,588.994
479067.025,4435087.241,588.982
479066.212,4435087.042,588.981
479065.391,4435086.855,589
479064.588,4435086.649,588.975
479063.76,4435086.45,588.989
479062.943,4435086.245,588.986
479062.125,4435086.043,588.984
479061.31,4435085.837,588.97
