S,G
0.000000,0.066181
0.060440,0.066181
0.123765,-0.063167
0.195605,0.013920
0.279759,-0.047532
0.366851,0.091857
0.459550,-0.053938
0.558570,-0.010099
0.666907,-0.018461
0.783269,-0.017188
0.904203,0.041345
1.031250,-0.039355
1.168108,0.043841
1.304592,-0.021981
1.447428,0.063010
1.593636,-0.027358
1.744650,-0.013244
1.901296,0.063838
2.055133,0.006500
2.197190,0.112631
2.347901,0.013270
2.497974,0.039980
2.673388,-0.005701
2.852019,0.044785
3.048124,-0.005099
3.266834,-0.036578
3.504785,-0.008405
3.758561,-0.027583
4.033822,0.065392
4.327661,-0.006806
4.647801,-0.006247
4.970220,0.024812
5.300871,0.063511
5.623314,0.000000
5.948693,0.012293
6.272923,-0.009253
6.604359,0.000000
6.943134,0.020663
7.291042,0.022995
7.631842,0.002934
7.994284,-0.022073
8.354445,0.005553
8.718869,-0.008232
9.091649,0.005365
9.463942,0.021488
9.842384,-0.029067
10.235226,0.104368
10.619665,-0.049423
11.010177,0.010243
11.406188,-0.078281
11.807413,0.062309
12.209109,-0.022405
12.624849,0.036080
13.035099,-0.126752
13.454319,0.059635
13.868325,-0.072463
14.313216,0.078671
14.751769,0.009121
15.194950,-0.015795
15.634910,-0.043186
16.069062,0.006910
16.508380,0.015934
16.948366,0.025001
17.381255,0.016170
17.810548,-0.018635
18.249330,0.034186
18.678661,-0.030280
19.113334,0.050613
19.548722,0.020671
19.979001,0.009296
20.410478,-0.081117
20.835991,0.016451
21.262348,0.009382
21.688184,-0.004697
22.121110,0.002310
22.548462,0.032760
22.984843,-0.029790
23.419274,-0.029924
23.865176,0.042610
24.312812,-0.017872
24.765401,-0.017676
25.225770,0.028238
25.681745,-0.006579
26.148038,-0.021446
26.612995,-0.012904
27.095020,-0.002075
27.581844,0.022595
28.071305,0.008172
28.569984,-0.028074
29.060186,0.014280
29.561514,0.011968
30.062063,0.027969
30.581579,-0.007699
31.108367,-0.087322
31.615027,0.059211
32.132990,0.028960
32.662452,-0.045329
33.187196,-0.015246
33.727590,0.014804
34.263845,-0.014918
34.817018,0.010847
35.359599,-0.011058
35.897432,0.057639
36.456118,-0.028639
37.004491,-0.001824
37.569924,-0.044214
38.134339,0.015946
38.694091,-0.016079
39.259246,0.030080
39.839440,-0.018959
40.406044,0.033533
40.976019,-0.007018
41.567115,-0.005075
42.129798,-0.003554
42.724097,0.031970
43.313080,-0.052633
43.915304,0.031550
44.513670,-0.016712
45.061868,-0.124043
45.730550,0.124125
46.349279,-0.042022
46.977451,0.012735
47.601991,0.003202
48.237438,-0.001574
48.822513,-0.094005
49.522671,0.071412
50.170486,-0.013893
50.674241,0.200494
51.537232,-0.239863
52.249938,0.193628
52.914971,-0.027066
53.581019,-0.019518
54.254055,-0.005943
54.983632,0.041120
55.677535,-0.041793
56.357947,0.032333
57.070325,-0.036497
57.728493,-0.051658
58.485230,0.034358
59.182083,-0.005740
59.851389,-0.059763
60.600992,0.090715
61.300485,-0.081488
62.055058,0.053010
62.761840,-0.070743
63.481510,0.045854
64.208147,-0.028900
64.923367,0.034954
65.644453,-0.023576
66.375456,0.020520
67.095068,-0.023624
67.832644,0.031183
68.567635,0.005442
69.296758,-0.026059
70.017434,-0.020814
70.758396,-0.006748
71.492868,-0.025869
72.243048,-0.006665
72.979696,0.008145
73.748780,-0.031206
74.403721,0.085504
75.206768,-0.026150
75.968730,0.001312
76.720211,-0.022622
77.468949,0.018698
78.199490,-0.010951
78.946050,-0.032147
79.715619,-0.010395
80.479364,-0.013093
81.237320,-0.007916
81.982954,0.002682
82.737000,-0.041112
83.507374,0.019471
