S,Z
0.000000,589.274000
0.060440,589.278000
0.123765,589.274000
0.195605,589.275000
0.279759,589.271000
0.366851,589.279000
0.459550,589.274000
0.558570,589.273000
0.666907,589.271000
0.783269,589.269000
0.904203,589.274000
1.031250,589.269000
1.168108,589.275000
1.304592,589.272000
1.447428,589.281000
1.593636,589.277000
1.744650,589.275000
1.901296,589.285000
2.055133,589.286000
2.197190,589.302000
2.347901,589.304000
2.497974,589.310000
2.673388,589.309000
2.852019,589.317000
3.048124,589.316000
3.266834,589.308000
3.504785,589.306000
3.758561,589.299000
4.033822,589.317000
4.327661,589.315000
4.647801,589.313000
4.970220,589.321000
5.300871,589.342000
5.623314,589.342000
5.948693,589.346000
6.272923,589.343000
6.604359,589.343000
6.943134,589.350000
7.291042,589.358000
7.631842,589.359000
7.994284,589.351000
8.354445,589.353000
8.718869,589.350000
9.091649,589.352000
9.463942,589.360000
9.842384,589.349000
10.235226,589.390000
10.619665,589.371000
11.010177,589.375000
11.406188,589.344000
11.807413,589.369000
12.209109,589.360000
12.624849,589.375000
13.035099,589.323000
13.454319,589.348000
13.868325,589.318000
14.313216,589.353000
14.751769,589.357000
15.194950,589.350000
15.634910,589.331000
16.069062,589.334000
16.508380,589.341000
16.948366,589.352000
17.381255,589.359000
17.810548,589.351000
18.249330,589.366000
18.678661,589.353000
19.113334,589.375000
19.548722,589.384000
19.979001,589.388000
20.410478,589.353000
20.835991,589.360000
21.262348,589.364000
21.688184,589.362000
22.121110,589.363000
22.548462,589.377000
22.984843,589.364000
23.419274,589.351000
23.865176,589.370000
24.312812,589.362000
24.765401,589.354000
25.225770,589.367000
25.681745,589.364000
26.148038,589.354000
26.612995,589.348000
27.095020,589.347000
27.581844,589.358000
28.071305,589.362000
28.569984,589.348000
29.060186,589.355000
29.561514,589.361000
30.062063,589.375000
30.581579,589.371000
31.108367,589.325000
31.615027,589.355000
32.132990,589.370000
32.662452,589.346000
33.187196,589.338000
33.727590,589.346000
34.263845,589.338000
34.817018,589.344000
35.359599,589.338000
35.897432,589.369000
36.456118,589.353000
37.004491,589.352000
37.569924,589.327000
38.134339,589.336000
38.694091,589.327000
39.259246,589.344000
39.839440,589.333000
40.406044,589.352000
40.976019,589.348000
41.567115,589.345000
42.129798,589.343000
42.724097,589.362000
43.313080,589.331000
43.915304,589.350000
44.513670,589.340000
45.061868,589.272000
45.730550,589.355000
46.349279,589.329000
46.977451,589.337000
47.601991,589.339000
48.237438,589.338000
48.822513,589.283000
49.522671,589.333000
50.170486,589.324000
50.674241,589.425000
51.537232,589.218000
52.249938,589.356000
52.914971,589.338000
53.581019,589.325000
54.254055,589.321000
54.983632,589.351000
55.677535,589.322000
56.357947,589.344000
57.070325,589.318000
57.728493,589.284000
58.485230,589.310000
59.182083,589.306000
59.851389,589.266000
60.600992,589.334000
61.300485,589.277000
62.055058,589.317000
62.761840,589.267000
63.481510,589.300000
64.208147,589.279000
64.923367,589.304000
65.644453,589.287000
66.375456,589.302000
67.095068,589.285000
67.832644,589.308000
68.567635,589.312000
69.296758,589.293000
70.017434,589.278000
70.758396,589.273000
71.492868,589.254000
72.243048,589.249000
72.979696,589.255000
73.748780,589.231000
74.403721,589.287000
75.206768,589.266000
75.968730,589.267000
76.720211,589.250000
77.468949,589.264000
78.199490,589.256000
78.946050,589.232000
79.715619,589.224000
80.479364,589.214000
81.237320,589.208000
81.982954,589.210000
82.737000,589.179000
83.507374,589.194000
84.279377,589.190000
85.042880,589.182000
85.818381,589.171000
86.565392,589.172000
87.330295,589.186000
88.095706,589.154000
88.871126,589.165000
89.622745,589.163000
90.396691,589.151000
91.153174,589.147000
91.901266,589.137000
92.668651,589.144000
93.443335,589.135000
94.199323,589.138000
94.962586,589.137000
95.715681,589.138000
96.462584,589.144000
97.241862,589.101000
98.010061,589.118000
98.779150,589.107000
99.548493,589.099000
100.326298,589.105000
101.120852,589.083000
101.902809,589.080000
102.673412,589.058000
103.474137,589.054000
104.262204,589.047000
105.037847,589.057000
105.846931,589.019000
106.651960,589.024000
107.456808,589.020000
108.258881,589.014000
109.068963,589.018000
109.871515,588.992000
110.681243,589.031000
111.515443,589.003000
112.329682,588.999000
113.148981,589.004000
113.963503,588.993000
114.770190,589.012000
115.604572,588.992000
116.423445,588.996000
117.251467,588.996000
118.081735,588.989000
118.912234,588.986000
119.743431,588.994000
120.578751,588.982000
121.415752,588.981000
122.257779,589.000000
123.086782,588.975000
123.938359,588.989000
124.780686,588.986000
125.623258,588.984000
126.463890,588.970000
127.307433,588.966000
128.163840,588.982000
129.033390,589.009000
129.871598,588.952000
130.727576,588.955000
131.585669,588.942000
132.454922,588.953000
133.313985,588.952000
134.176959,588.919000
135.046693,588.940000
135.912555,588.911000
136.795156,588.945000
137.660298,588.919000
138.539007,588.913000
139.422564,588.914000
140.295940,588.911000
141.178285,588.905000
142.066693,588.904000
142.960445,588.890000
143.861230,588.881000
144.752801,588.863000
145.646792,588.854000
146.544417,588.836000
147.450382,588.827000
148.359497,588.806000
149.273643,588.790000
150.179527,588.765000
151.082396,588.757000
151.982135,588.746000
152.884133,588.747000
153.794171,588.758000
154.704443,588.761000
155.624208,588.763000
156.538712,588.785000
157.461012,588.770000
158.381362,588.762000
159.311320,588.768000
160.230803,588.732000
161.140228,588.789000
162.056225,588.738000
162.972902,588.725000
163.898425,588.745000
164.834597,588.728000
165.757211,588.733000
166.688821,588.720000
167.600697,588.725000
168.526233,588.726000
169.449599,588.720000
170.407618,588.749000
171.315911,588.721000
172.263333,588.697000
173.200756,588.706000
174.152481,588.700000
175.100831,588.751000
176.025355,588.697000
176.990120,588.751000
177.948932,588.665000
178.902387,588.728000
179.854394,588.704000
180.805550,588.682000
181.768908,588.589000
182.732752,588.602000
183.686948,588.565000
184.626489,588.550000
185.572381,588.561000
186.533383,588.632000
187.487619,588.619000
188.442725,588.617000
189.389100,588.602000
190.317285,588.603000
191.229779,588.565000
192.164321,588.535000
193.088629,588.527000
194.009717,588.525000
194.929206,588.537000
195.862006,588.514000
196.770068,588.520000
197.675751,588.494000
198.569494,588.488000
199.469342,588.468000
200.378852,588.474000
201.285453,588.464000
202.186982,588.461000
203.094663,588.475000
204.013403,588.471000
204.939406,588.459000
205.846746,588.453000
206.746563,588.452000
207.659485,588.443000
208.571661,588.448000
209.485318,588.461000
210.398327,588.467000
211.321939,588.478000
212.247088,588.492000
213.175614,588.495000
214.104297,588.498000
215.030719,588.498000
215.957365,588.492000
216.875853,588.493000
217.798377,588.488000
218.725415,588.492000
219.655800,588.488000
220.591598,588.487000
221.529941,588.478000
222.463563,588.477000
223.388566,588.476000
224.307872,588.470000
225.234294,588.477000
226.172728,588.476000
227.115864,588.463000
228.049780,588.454000
228.975758,588.441000
229.890788,588.431000
230.817740,588.424000
231.754284,588.431000
232.693748,588.419000
233.624293,588.404000
234.548854,588.388000
235.476561,588.383000
236.410253,588.381000
237.335072,588.369000
238.250173,588.364000
239.173786,588.358000
240.108294,588.353000
241.041817,588.345000
241.969525,588.335000
242.889484,588.324000
243.810651,588.319000
244.739593,588.310000
245.672395,588.300000
246.604704,588.292000
247.526828,588.278000
248.447739,588.269000
249.376494,588.229000
250.311726,588.229000
251.242366,588.220000
252.167198,588.215000
253.090536,588.209000
254.017752,588.206000
254.948368,588.213000
255.883343,588.212000
256.809589,588.213000
257.742140,588.210000
258.674449,588.210000
259.610642,588.213000
260.541835,588.203000
261.475673,588.209000
262.408714,588.208000
263.354118,588.201000
264.295694,588.201000
265.229238,588.188000
266.163243,588.179000
267.104769,588.172000
268.045842,588.178000
268.987925,588.171000
269.930904,588.169000
270.882614,588.167000
271.828262,588.158000
272.774168,588.157000
273.714272,588.149000
274.659471,588.145000
275.607302,588.143000
276.553474,588.143000
277.501824,588.122000
278.447241,588.118000
279.386109,588.118000
280.316237,588.113000
281.254371,588.112000
282.205115,588.113000
283.145192,588.104000
284.083823,588.092000
285.016949,588.086000
285.946221,588.076000
