x,y,z
415643.47,4473085.69,695.18
415656.07,4473084.18,695.58
415669.27,4473082.04,695.77
415682.11,4473079.86,695.69
415695.74,4473077.72,695.59
415710.06,4473075.29,695.71
415725.09,4473072.4,695.61
415740.47,4473069.43,695.42
415754.75,4473065.82,694.13
415769.33,4473061.89,693.1
415784.1,4473057.31,692.21
415799.06,4473052.2,691.64
415813.13,4473046.24,691.12
415827.09,4473039.39,690.89
415841.5,4473031.74,691.09
415856.22,4473024.57,691.18
415871.06,4473017.56,691.22
415887.04,4473011,691.46
415903.49,4473005.04,691.94
415920.06,4472999.34,692.22
415936.77,4472993.66,692.25
415953.96,4472988.44,692.05
415969.44,4472984.03,690.96
415985.59,4472980.06,689.77
416002.39,4472976.02,688.81
416020.29,4472971.95,688.28
416038.16,4472968.34,688.01
416055.41,4472965.56,687.47
416073.12,4472964.33,686.89
416089.76,4472965.1,686.61
416105.62,4472967.68,686.39
416123.75,4472970.35,686.27
416143.82,4472973.32,686.07
416163.73,4472976.07,685.66
416183,4472978.85,685.25
416201.54,4472981.32,684.71
416220.38,4472983.84,684.2
416238.2,4472986.43,683.83
416256.07,4472988.82,683.44
416274.64,4472990.86,683.2
416292.57,4472992.84,683.08
416310.31,4472994.72,683.08
416328.11,4472996.59,683.13
416345.58,4472998.33,683.47
416363.03,4472999.68,683.89
416379.93,4473002.49,684.11
416396.85,4473007.24,683.94
416413.53,4473011.86,683.45
416430,4473016.95,683.05
416446.05,4473022.79,682.47
416459.99,4473029.85,681.53
416473.64,4473038.32,680.61
416489.16,4473048.06,679.81
416501.61,4473061.6,679.5
416512.91,4473075.35,679.58
416523.79,4473090,679.9
416534.07,4473104.25,680.45
416544.43,4473118.67,680.96
416554.97,4473133.16,681.52
416565.39,4473147.8,682.16
416575.91,4473162.78,682.76
416587.72,4473177.72,683.64
416600.77,4473191.94,684.54
416614.55,4473204.77,684.99
416628.99,4473216.21,685.25
416644.03,4473226.05,685.69
416660.19,4473234.29,686.33
416677.08,4473241.99,686.87
416694.07,4473249.55,686.97
416710.76,4473256.86,686.85
416727.27,4473264.47,686.41
416743.84,4473271.89,685.73
416760.27,4473279.45,685.08
416776.5,4473287.25,684.4
416793.01,4473295.64,683.66
416809.37,4473304.03,683.17
416826.13,4473312.64,682.6
416842.72,4473321.11,682.28
416859.17,4473329.53,682.21
416875.62,4473337.84,681.96
416892.16,4473346.1,681.59
416909.08,4473354.13,681.03
416926.34,4473362.33,680.44
416943.42,4473370.5,679.89
416960.58,4473378.73,679.3
416977.67,4473386.61,678.81
416994.71,4473394.48,678.48
417011.94,4473401.95,678.26
417029.11,4473409.4,677.91
417046.41,4473416.38,677.56
417064.1,4473423.45,677.23
417081.73,4473429.94,676.72
417099.81,4473436.61,676.52
417117.82,4473443.2,676.58
417135.7,4473449.62,676.73
417154.07,4473455.38,676.87
417173.13,4473460.22,677.4
