S,G
0.000000,0.031520
12.690158,0.031520
26.062502,0.014208
39.086250,-0.006143
52.883224,-0.007248
67.407937,0.008262
82.713263,-0.006534
98.377404,-0.012130
113.106644,-0.087581
128.207018,-0.068210
143.670824,-0.057554
159.479483,-0.036056
174.759748,-0.034031
190.309799,-0.014791
206.624535,0.012259
222.997907,0.005497
239.410271,0.002437
256.684356,0.013894
274.180758,0.027434
291.703740,0.015979
309.352720,0.001700
327.317811,-0.011133
343.413727,-0.067719
360.044524,-0.071554
377.323459,-0.055559
395.680335,-0.028872
413.911325,-0.014810
431.383901,-0.030906
449.136563,-0.032671
465.794369,-0.016809
481.862847,-0.013691
500.188397,-0.006548
520.476961,-0.009858
540.575981,-0.020399
560.045477,-0.021059
578.749287,-0.028871
597.757075,-0.026831
615.764310,-0.020547
633.793425,-0.021632
652.475141,-0.012847
670.514134,-0.006652
688.353473,0.000000
706.251431,0.002794
723.807869,0.019366
741.310011,0.023997
758.442031,0.012841
776.016128,-0.009673
793.324127,-0.028311
810.562717,-0.023204
827.642181,-0.033959
843.268032,-0.060157
859.332383,-0.057270
877.655538,-0.043661
896.049399,-0.016853
913.846941,0.004495
932.095143,0.017536
949.666168,0.031302
967.421899,0.028723
985.339815,0.031254
1003.309400,0.035616
1021.614339,0.032778
1040.658491,0.046208
1059.959032,0.046631
1078.787131,0.023900
1097.209595,0.014113
1115.182553,0.024481
1133.322101,0.035282
1151.884485,0.029091
1170.480552,0.005377
1188.701205,-0.006586
1206.880649,-0.024203
1225.036125,-0.037454
1243.121990,-0.035940
1261.129013,-0.037763
1279.648522,-0.039958
1298.034432,-0.026651
1316.876664,-0.030251
1335.503768,-0.017179
1353.983457,-0.003788
1372.413286,-0.013565
1390.901098,-0.020013
1409.629881,-0.029901
1428.738716,-0.030876
1447.672160,-0.029049
1466.703674,-0.031001
1485.522879,-0.026037
1504.292496,-0.017582
1523.072107,-0.011715
1541.788715,-0.018700
1560.443751,-0.018762
1579.494237,-0.017322
1598.280855,-0.027147
1617.551955,-0.010378
1636.729760,0.003129
1655.727412,0.007896
1674.979282,0.007272
1694.644205,0.026952
1713.785433,-0.001567
1732.448833,-0.034292
1750.439556,-0.096161
1767.617274,-0.108280
1784.881274,-0.114110
1802.590630,-0.118581
1821.456907,-0.104419
1840.126457,-0.096414
1858.220879,-0.083451
1875.950882,-0.070502
1893.913064,-0.072931
1911.182543,-0.060222
