S,Z
0.000000,695.180000
12.690158,695.580000
26.062502,695.770000
39.086250,695.690000
52.883224,695.590000
67.407937,695.710000
82.713263,695.610000
98.377404,695.420000
113.106644,694.130000
128.207018,693.100000
143.670824,692.210000
159.479483,691.640000
174.759748,691.120000
190.309799,690.890000
206.624535,691.090000
222.997907,691.180000
239.410271,691.220000
256.684356,691.460000
274.180758,691.940000
291.703740,692.220000
309.352720,692.250000
327.317811,692.050000
343.413727,690.960000
360.044524,689.770000
377.323459,688.810000
395.680335,688.280000
413.911325,688.010000
431.383901,687.470000
449.136563,686.890000
465.794369,686.610000
481.862847,686.390000
500.188397,686.270000
520.476961,686.070000
540.575981,685.660000
560.045477,685.250000
578.749287,684.710000
597.757075,684.200000
615.764310,683.830000
633.793425,683.440000
652.475141,683.200000
670.514134,683.080000
688.353473,683.080000
706.251431,683.130000
723.807869,683.470000
741.310011,683.890000
758.442031,684.110000
776.016128,683.940000
793.324127,683.450000
810.562717,683.050000
827.642181,682.470000
843.268032,681.530000
859.332383,680.610000
877.655538,679.810000
896.049399,679.500000
913.846941,679.580000
932.095143,679.900000
949.666168,680.450000
967.421899,680.960000
985.339815,681.520000
1003.309400,682.160000
1021.614339,682.760000
1040.658491,683.640000
1059.959032,684.540000
1078.787131,684.990000
1097.209595,685.250000
1115.182553,685.690000
1133.322101,686.330000
1151.884485,686.870000
1170.480552,686.970000
1188.701205,686.850000
1206.880649,686.410000
1225.036125,685.730000
1243.121990,685.080000
1261.129013,684.400000
1279.648522,683.660000
1298.034432,683.170000
1316.876664,682.600000
1335.503768,682.280000
1353.983457,682.210000
1372.413286,681.960000
1390.901098,681.590000
1409.629881,681.030000
1428.738716,680.440000
1447.672160,679.890000
1466.703674,679.300000
1485.522879,678.810000
1504.292496,678.480000
1523.072107,678.260000
1541.788715,677.910000
1560.443751,677.560000
1579.494237,677.230000
1598.280855,676.720000
1617.551955,676.520000
1636.729760,676.580000
1655.727412,676.730000
1674.979282,676.870000
1694.644205,677.400000
1713.785433,677.370000
1732.448833,676.730000
1750.439556,675.000000
1767.617274,673.140000
1784.881274,671.170000
1802.590630,669.070000
1821.456907,667.100000
1840.126457,665.300000
1858.220879,663.790000
1875.950882,662.540000
1893.913064,661.230000
1911.182543,660.190000
1927.549986,660.370000
1944.194661,661.120000
1960.820358,662.250000
1976.621174,663.540000
1992.760251,664.350000
2009.811307,665.020000
