S,G
0.000000,0.014491
5.520620,0.014491
12.081461,-0.016004
18.986463,-0.014482
26.097166,-0.009141
41.131806,0.011972
55.901939,0.014556
71.665620,0.028229
88.312328,0.015018
95.035694,0.023054
111.039938,0.012809
127.057779,0.000000
143.629178,0.013276
151.111109,0.061481
167.487987,0.003358
184.305111,-0.016055
200.794411,-0.030019
218.222782,-0.027254
237.385371,-0.003653
256.038050,0.003753
264.838212,-0.004545
283.733808,0.004763
303.063837,-0.001552
321.801890,-0.020546
340.668361,-0.032598
359.306650,-0.042118
378.163626,-0.039243
396.253966,-0.056107
413.959340,-0.071447
432.062137,-0.057450
450.603836,-0.047461
468.870944,-0.056933
487.560442,-0.056984
506.746846,-0.061762
526.256211,-0.051257
546.053257,-0.035106
565.816119,-0.038962
586.483664,-0.042095
607.498467,-0.037593
628.287360,-0.039685
648.667736,-0.031648
678.304537,-0.043864
698.813882,-0.047296
719.204336,-0.036537
739.792956,-0.025742
760.344639,-0.029438
781.600314,-0.023758
802.800300,-0.027830
823.560187,-0.030829
844.087440,-0.035319
864.477115,-0.033595
884.559697,-0.018922
904.450327,-0.020361
923.748982,-0.013213
952.108263,0.018865
971.271923,0.004435
990.481236,0.022645
999.669333,0.017414
1018.285088,0.067416
1037.543113,0.056859
1056.995426,0.052693
1076.546693,0.043220
1095.825298,0.042275
1115.532013,0.045416
1134.978502,0.048081
1153.952510,0.037156
1172.421038,0.034112
1191.108986,0.032106
1210.309575,0.008073
1229.540832,0.016120
1248.543570,0.006052
1266.908407,0.013068
1284.702230,0.026414
1303.134962,0.015733
1321.701429,0.011849
1340.047181,0.013355
1357.638816,0.022170
1375.274610,0.020980
1393.776765,0.012971
1412.607640,0.015931
1431.189658,0.018566
1449.738041,0.019678
1468.797277,0.018626
1487.181458,0.014415
1505.268716,0.002764
1522.640148,0.001151
1540.496128,-0.002520
1557.466188,-0.002357
1576.559478,0.006809
1594.377195,0.019924
1611.465467,0.006437
1629.630253,-0.001376
1646.822229,0.011052
1665.513539,-0.001605
1684.535024,-0.013932
1703.188342,-0.012598
1722.056466,-0.018815
1742.175855,-0.021372
1762.131697,-0.032822
1782.138721,-0.045234
1802.498788,-0.048379
1822.877714,-0.049070
1842.958202,-0.042828
1862.557848,-0.043878
1881.988934,-0.047089
1901.459528,-0.034154
1920.764487,-0.039886
1939.754733,-0.046866
1958.938753,-0.042744
1978.324527,-0.030177
1997.259839,-0.028254
2016.625595,-0.014975
2035.997499,-0.008001
2056.283758,0.003451
2076.515892,0.008155
2096.738133,0.008901
2116.828820,0.005226
2135.772790,-0.013461
2155.303935,-0.019712
2174.412464,-0.025120
2194.002625,-0.028075
2213.898768,-0.030911
2234.022349,-0.029567
2254.054538,-0.020717
2274.100179,-0.014467
2294.235180,-0.016638
2314.553645,-0.011320
2335.141749,-0.011414
2355.893041,-0.012047
2376.523979,-0.003635
2397.145659,-0.003637
2417.366446,-0.005687
2437.851603,-0.003173
2458.339041,-0.001708
2478.850054,0.005363
2499.031097,0.005451
2519.316147,0.002711
2539.764328,-0.001223
2560.235677,-0.008549
2570.360331,-0.016791
2600.856332,-0.016396
2621.281809,-0.025703
2641.339489,-0.024928
2660.898765,-0.011248
2680.671148,-0.009104
2701.110158,-0.004893
2720.829126,-0.021553
2741.314639,-0.040272
2760.445469,-0.034238
2780.235085,-0.030319
2799.660554,-0.027799
2819.015169,-0.032292
2838.159020,-0.010447
2857.499585,0.003102
2876.361953,0.001325
2895.647887,-0.005185
2914.808430,0.004436
2933.879016,-0.001573
2953.968896,-0.004729
2973.930565,0.000250
2993.362580,-0.005403
3012.820505,-0.019786
3032.450627,-0.033112
3052.128392,-0.044466
3072.146169,-0.044460
3092.047968,-0.051503
3122.268275,-0.066015
3142.630100,-0.057215
3163.321379,-0.054854
3183.989278,-0.047658
3204.118675,-0.043220
3224.245660,-0.036767
3244.276857,-0.030702
3263.925283,-0.040207
3283.818845,-0.035187
3303.581624,-0.027071
3323.432923,-0.030477
3343.563637,-0.030302
3363.793972,-0.031636
3384.011014,-0.035614
3404.243539,-0.040282
3433.456121,-0.042961
3453.912524,-0.022487
3474.281649,-0.024792
3494.826116,-0.023851
3514.984807,-0.026291
3535.182726,-0.025250
3555.023218,-0.030241
3574.728341,-0.034763
3594.226582,-0.032311
3613.706665,-0.036961
3633.004533,-0.039901
3652.261055,-0.041804
3671.799584,-0.038898
3700.503704,-0.033967
3719.749182,-0.034294
3738.651407,-0.037562
3757.538771,-0.026208
3775.611492,-0.029603
3794.113142,-0.038105
3811.861163,-0.039441
3829.237979,-0.052656
3846.561835,-0.040984
3872.014863,-0.040467
3889.303103,-0.055240
3906.422685,-0.060457
3924.889455,-0.056047
3943.895171,-0.059982
3963.249615,-0.049343
3983.019573,-0.040465
4002.786224,-0.028836
4022.453303,-0.019322
4041.685129,-0.022879
4061.031205,-0.037992
4080.247894,-0.048656
4099.334833,-0.051344
4126.154840,-0.051641
4145.126852,-0.070630
4164.676363,-0.064452
4184.823386,-0.063285
4204.445710,-0.063958
4223.381206,-0.062053
4250.905701,-0.069938
4269.933004,-0.070951
4288.990801,-0.077396
4308.837567,-0.073816
4328.873967,-0.077110
4348.584769,-0.085993
4368.451582,-0.088590
4397.087402,-0.071938
4415.406334,-0.078334
4432.913819,-0.068828
4457.949007,-0.054124
4476.360713,-0.066534
4494.947463,-0.064293
4513.683937,-0.049369
4532.534848,-0.040051
4551.335455,-0.040158
4570.141837,-0.039614
4598.572766,-0.037987
4618.030244,-0.037518
4637.476949,-0.035224
4656.479608,-0.031838
4675.160852,-0.033456
4693.545466,-0.025021
4712.174058,-0.009126
4738.447529,0.016557
4755.524533,0.005270
4772.873182,0.021039
4790.811147,0.022299
4815.796992,0.024214
4833.647270,0.002241
4851.489863,0.009528
4869.153782,0.011323
4886.032414,0.029031
4902.393931,0.040339
4919.585310,0.031702
4936.956353,0.026193
4953.751085,0.017267
4971.171617,0.011481
4997.963241,0.021649
5015.217417,0.035933
5031.458588,0.041869
5063.086118,0.055015
5079.763642,0.044071
5096.049467,0.046973
5111.913519,0.051689
5119.588494,0.024756
5135.302466,0.049319
5151.825963,0.048113
5169.286797,0.050971
5187.654329,0.048183
5205.501223,0.040063
5223.474281,0.025037
5241.297642,0.014307
5249.457987,0.049018
5267.085679,0.038859
5284.962527,0.044471
5303.306055,0.037888
5320.817480,0.020272
5338.373529,0.023354
5355.614904,0.018850
5372.119062,-0.003635
5389.157781,-0.006456
5397.077953,-0.018308
5414.398094,-0.002887
5431.613748,0.000581
5447.576074,0.002819
5463.961410,0.016783
5479.499290,0.034432
5495.823267,0.033693
5513.434755,0.052239
5530.244562,0.034801
5546.693463,0.029181
5562.977371,0.031933
5586.689906,0.033737
5602.696108,0.047794
5619.271473,0.072095
5635.994763,0.066374
5652.912213,0.066795
5670.213174,0.054043
5687.027511,0.038360
5704.091874,0.032817
5720.787874,0.008685
5737.291714,-0.024540
5753.651024,-0.027813
5770.081248,-0.031953
5787.072676,-0.044140
5803.693221,-0.035498
5820.152338,-0.025518
5828.250072,-0.001852
5844.966800,-0.050249
5862.240214,-0.054708
5880.434263,-0.053039
5905.165193,-0.051353
5922.324635,-0.045456
5939.600344,-0.054122
5956.558405,-0.046880
5974.200996,-0.043928
5992.246951,-0.048487
6009.927271,-0.057974
6027.422542,-0.057444
6044.838914,-0.056269
6069.433263,-0.036187
6086.023913,-0.026220
6103.483097,-0.023197
6121.032816,-0.029630
6137.980453,-0.033043
6154.953882,-0.040946
6171.880608,-0.039878
6189.164326,-0.029797
6207.138967,-0.023088
6226.003134,-0.015638
6244.716884,-0.009084
6263.234760,-0.007290
6271.632887,-0.024410
6290.811929,0.000521
6309.415146,0.009407
6328.006120,0.015599
6345.846177,0.008408
6363.331763,0.008864
6380.604333,0.009263
6397.141861,0.022676
6413.573520,0.014606
6430.192095,-0.004212
6447.434735,0.002030
6464.898723,0.016319
6482.440619,0.014822
6499.693749,0.031588
6516.600334,0.030166
6533.259532,0.018308
6549.831835,0.017499
6566.568998,0.020912
6583.511331,0.025380
6600.828777,0.020500
6618.766621,0.011986
6637.072365,0.007375
6655.460889,0.007342
6673.907387,0.016263
6692.194676,0.017772
6710.433571,0.026043
6728.518018,0.006912
6745.975229,0.007160
6763.418488,0.018345
6780.773332,0.015846
6798.523772,0.019154
6815.526834,0.027348
6832.103001,0.020210
6849.529475,0.022380
6867.008821,0.020310
6884.465886,0.018044
6902.345559,0.017897
6920.487435,0.027561
6938.297804,0.037899
6955.742148,0.034968
6980.388401,0.003855
6997.289573,0.012721
7013.993843,0.001796
7030.781376,-0.006552
7038.315385,0.016591
7053.530740,-0.026946
