S,Z
0.000000,751.135000
5.520620,751.215000
12.081461,751.110000
18.986463,751.010000
26.097166,750.945000
41.131806,751.125000
55.901939,751.340000
71.665620,751.785000
88.312328,752.035000
95.035694,752.190000
111.039938,752.395000
127.057779,752.395000
143.629178,752.615000
151.111109,753.075000
167.487987,753.130000
184.305111,752.860000
200.794411,752.365000
218.222782,751.890000
237.385371,751.820000
256.038050,751.890000
264.838212,751.850000
283.733808,751.940000
303.063837,751.910000
321.801890,751.525000
340.668361,750.910000
359.306650,750.125000
378.163626,749.385000
396.253966,748.370000
413.959340,747.105000
432.062137,746.065000
450.603836,745.185000
468.870944,744.145000
487.560442,743.080000
506.746846,741.895000
526.256211,740.895000
546.053257,740.200000
565.816119,739.430000
586.483664,738.560000
607.498467,737.770000
628.287360,736.945000
648.667736,736.300000
678.304537,735.000000
698.813882,734.030000
719.204336,733.285000
739.792956,732.755000
760.344639,732.150000
781.600314,731.645000
802.800300,731.055000
823.560187,730.415000
844.087440,729.690000
864.477115,729.005000
884.559697,728.625000
904.450327,728.220000
923.748982,727.965000
952.108263,728.500000
971.271923,728.585000
990.481236,729.020000
999.669333,729.180000
1018.285088,730.435000
1037.543113,731.530000
1056.995426,732.555000
1076.546693,733.400000
1095.825298,734.215000
1115.532013,735.110000
1134.978502,736.045000
1153.952510,736.750000
1172.421038,737.380000
1191.108986,737.980000
1210.309575,738.135000
1229.540832,738.445000
1248.543570,738.560000
1266.908407,738.800000
1284.702230,739.270000
1303.134962,739.560000
1321.701429,739.780000
1340.047181,740.025000
1357.638816,740.415000
1375.274610,740.785000
1393.776765,741.025000
1412.607640,741.325000
1431.189658,741.670000
1449.738041,742.035000
1468.797277,742.390000
1487.181458,742.655000
1505.268716,742.705000
1522.640148,742.725000
1540.496128,742.680000
1557.466188,742.640000
1576.559478,742.770000
1594.377195,743.125000
1611.465467,743.235000
1629.630253,743.210000
1646.822229,743.400000
1665.513539,743.370000
1684.535024,743.105000
1703.188342,742.870000
1722.056466,742.515000
1742.175855,742.085000
1762.131697,741.430000
1782.138721,740.525000
1802.498788,739.540000
1822.877714,738.540000
1842.958202,737.680000
1862.557848,736.820000
1881.988934,735.905000
1901.459528,735.240000
1920.764487,734.470000
1939.754733,733.580000
1958.938753,732.760000
1978.324527,732.175000
1997.259839,731.640000
2016.625595,731.350000
2035.997499,731.195000
2056.283758,731.265000
2076.515892,731.430000
2096.738133,731.610000
2116.828820,731.715000
2135.772790,731.460000
2155.303935,731.075000
2174.412464,730.595000
2194.002625,730.045000
2213.898768,729.430000
2234.022349,728.835000
2254.054538,728.420000
2274.100179,728.130000
2294.235180,727.795000
2314.553645,727.565000
2335.141749,727.330000
2355.893041,727.080000
2376.523979,727.005000
2397.145659,726.930000
2417.366446,726.815000
2437.851603,726.750000
2458.339041,726.715000
2478.850054,726.825000
2499.031097,726.935000
2519.316147,726.990000
2539.764328,726.965000
2560.235677,726.790000
2570.360331,726.620000
2600.856332,726.120000
2621.281809,725.595000
2641.339489,725.095000
2660.898765,724.875000
2680.671148,724.695000
2701.110158,724.595000
2720.829126,724.170000
2741.314639,723.345000
2760.445469,722.690000
2780.235085,722.090000
2799.660554,721.550000
2819.015169,720.925000
2838.159020,720.725000
2857.499585,720.785000
2876.361953,720.810000
2895.647887,720.710000
2914.808430,720.795000
2933.879016,720.765000
2953.968896,720.670000
2973.930565,720.675000
2993.362580,720.570000
3012.820505,720.185000
3032.450627,719.535000
3052.128392,718.660000
3072.146169,717.770000
3092.047968,716.745000
3122.268275,714.750000
3142.630100,713.585000
