s,pdte
35000,-0.01
35009.8488578018,-0.011
35019.3356907823,-0.011
35029.1845485841,-0.011
35039.0334063859,-0.011
35049.8037360002,-0.011
35059.6525938019,-0.011
35069.5014516037,-0.011
35079.3503094055,-0.012
35088.837142386,-0.012
35099.6074720003,-0.013
35109.4563298021,-0.014
35119.3051876039,-0.016
35129.1540454057,-0.017
35139.0029032075,-0.019
35149.7732328218,-0.021
35159.2600658023,-0.023
35169.108923604,-0.025
35178.9577814058,-0.027
35189.7281110201,-0.028
35199.5769688219,-0.03
35209.4258266237,-0.031
35219.2746844255,-0.032
35229.1235422273,-0.034
35239.5638487362,-0.035
35249.0506817167,-0.037
35258.8995395185,-0.038
35269.3398460274,-0.039
35279.1887038292,-0.04
35289.037561631,-0.04
35298.8864194328,-0.041
35309.6567490471,-0.041
35319.1435820276,-0.041
35328.9924398294,-0.041
35338.8412976312,-0.04
35349.2816041401,-0.04
35359.1304619419,-0.04
35368.6172949224,-0.04
35379.3876245366,-0.04
35389.2364823384,-0.04
35398.7233153189,-0.041
35409.1636218278,-0.041
35418.6504548083,-0.041
35429.4207844226,-0.041
35438.9076174031,-0.041
35449.347923912,-0.041
35458.5674683693,-0.041
35469.0077748782,-0.041
35479.2058139054,-0.04
35489.4038529326,-0.04
35498.4592380708,-0.04
35508.6572770979,-0.04
35518.7071527191,-0.041
35528.9051917462,-0.041
35538.9550673674,-0.042
35548.9550673674,-0.042
35559.0049429885,-0.043
35569.0049429885,-0.043
35579.0049429885,-0.043
35589.0049429885,-0.043
35599.0049429885,-0.043
35609.0049429885,-0.043
35619.0548186096,-0.043
35629.1046942307,-0.042
35639.1545698519,-0.042
35649.3526088791,-0.041
35658.4079940172,-0.04
35668.6060330444,-0.038
35678.8040720716,-0.037
35689.0021110987,-0.035
35698.221655556,-0.033
35708.4196945832,-0.03
35718.6177336104,-0.028
35729.0580401193,-0.026
35738.2775845766,-0.025
35748.4756236038,-0.023
35758.9159301127,-0.022
35768.13547457,-0.021
35778.5757810789,-0.02
35788.7738201061,-0.019
35798.2606530866,-0.018
35808.7009595955,-0.017
35818.187792576,-0.016
35828.6280990849,-0.016
35838.1149320655,-0.015
35848.5552385744,-0.015
35858.0420715549,-0.015
35868.8124011691,-0.015
35878.6612589709,-0.016
35888.1480919514,-0.016
35898.3461309786,-0.017
35908.5441700058,-0.018
35918.0310029863,-0.02
35928.2290420135,-0.021
35938.6693485224,-0.023
35948.1561815029,-0.025
35958.5964880118,-0.027
35968.4453458136,-0.028
35977.9321787941,-0.03
35988.7025084084,-0.031
35998.1893413889,-0.032
36008.6296478978,-0.033
36018.1164808783,-0.033
36028.5567873872,-0.034
36038.0436203677,-0.034
36048.4839268766,-0.034
36057.9707598571,-0.033
36068.4110663661,-0.033
36077.8978993466,-0.032
36088.3382058555,-0.031
36097.825038836,-0.03
36108.2653453449,-0.028
36117.7521783254,-0.027
36128.1924848343,-0.026
36137.6793178148,-0.025
36148.1196243237,-0.024
36157.6064573042,-0.022
36168.0467638131,-0.021
36177.5335967936,-0.019
36187.9739033026,-0.017
36197.4607362831,-0.016
36207.901042792,-0.014
36218.3413493009,-0.013
36227.5608937582,-0.012
36237.7589327854,-0.011
36247.9569718126,-0.01
36258.0068474337,-0.01
36268.2048864609,-0.009
36277.260271599,-0.009
36287.4583106262,-0.009
36297.5081862473,-0.009
36307.5580618684,-0.009
36317.6079374896,-0.009
36327.6079374896,-0.009
36337.6578131107,-0.01
36347.6578131107,-0.01
36357.7076887318,-0.01
36367.7076887318,-0.01
36377.7575643529,-0.01
36387.8074399741,-0.01
36397.8573155952,-0.01
36407.9071912163,-0.01
36418.1052302435,-0.011
36427.1606153816,-0.011
36437.3586544088,-0.012
36447.556693436,-0.013
36457.7547324632,-0.014
36467.2415654437,-0.015
36477.6818719526,-0.017
36487.1687049331,-0.018
36497.609011442,-0.02
36507.4578692438,-0.022
36517.3067270456,-0.023
36527.6023571866,-0.025
36537.4512149884,-0.026
36547.3000727902,-0.027
36557.148930592,-0.029
36567.444560733,-0.03
36577.7401908739,-0.032
36587.5890486757,-0.034
36597.0230298078,-0.036
36607.3186599488,-0.037
36617.3186599488,-0.039
36626.7526410808,-0.041
36637.5692949072,-0.043
36647.0032760393,-0.045
36657.0032760393,-0.047
36667.2989061803,-0.048
36677.2989061803,-0.05
36687.2989061803,-0.051
36697.2989061803,-0.052
36707.2989061803,-0.053
36717.1984011169,-0.053
36727.1984011169,-0.054
36737.1984011169,-0.054
36747.1984011169,-0.055
36757.1984011169,-0.055
36767.1984011169,-0.055
36777.0978960535,-0.054
36787.0978960535,-0.054
36797.0978960535,-0.053
36807.7280418662,-0.052
36816.9475863235,-0.05
36826.9475863235,-0.049
36836.9475863235,-0.047
36846.9475863235,-0.045
36856.9475863235,-0.043
36866.9475863235,-0.041
36876.9475863235,-0.039
36886.9475863235,-0.037
36896.9475863235,-0.035
36906.9475863235,-0.033
36916.9475863235,-0.032
36926.9475863235,-0.03
36936.3815674556,-0.029
36947.198221282,-0.027
36956.632202414,-0.026
36966.927832555,-0.024
36977.223462696,-0.022
36987.0723204978,-0.018
36997.3679506388,-0.016
37007.2168084406,-0.014
37017.0656662423,-0.012
37026.9145240441,-0.011
37036.4013570246,-0.009
37047.1716866389,-0.008
37056.6585196194,-0.007
37066.5073774212,-0.005
37076.9476839301,-0.004
37086.4345169106,-0.002
37096.8748234195,-0.001
37106.7236812213,0
37117.1639877303,0.001
37126.6508207108,0.002
37136.1376536913,0.003
37146.5779602002,0.003
37156.426818002,0.004
37166.8671245109,0.004
37176.3539574914,0.004
37186.7942640003,0.004
37196.2810969808,0.004
37207.0514265951,0.004
37216.5382595756,0.003
37226.9785660845,0.003
37236.465399065,0.002
37246.6634380922,0.001
37256.1502710727,0
37266.5905775816,-0.001
37276.7886166088,-0.002
37286.2754495893,-0.003
37296.4734886165,-0.005
37306.6715276436,-0.006
37316.8695666708,-0.007
37326.0891111281,-0.007
37336.2871501553,-0.008
37346.3370257764,-0.008
37356.5350648036,-0.008
37366.5849404247,-0.007
37376.7829794519,-0.007
37386.8328550731,-0.007
37396.8827306942,-0.007
37405.9381158323,-0.006
37415.9879914534,-0.006
37426.1860304806,-0.005
37436.2359061018,-0.004
37446.2857817229,-0.003
37456.335657344,-0.002
37466.3855329651,-0.001
37476.4354085862,-0.001
37486.4852842074,0
37496.5351598285,0
37506.7331988557,0
37515.7885839938,-0.001
37525.8384596149,-0.001
37535.8883352361,-0.002
37545.9382108572,-0.003
37555.9880864783,-0.003
37566.0379620994,-0.004
37576.0878377206,-0.004
37586.2858767478,-0.005
37596.3357523689,-0.005
37606.38562799,-0.006
37616.38562799,-0.006
37626.4355036111,-0.007
37636.4853792322,-0.007
37646.5352548534,-0.008
37656.5352548534,-0.008
37665.5906399915,-0.008
37675.5906399915,-0.008
37685.6405156126,-0.008
37695.6405156126,-0.008
37705.6903912338,-0.008
37715.7402668549,-0.008
37725.790142476,-0.008
37735.8400180971,-0.008
37746.0380571243,-0.008
37756.0879327454,-0.008
37766.2859717726,-0.009
37775.5055162299,-0.009
37785.9458227388,-0.009
37796.143861766,-0.009
37805.6306947465,-0.009
37815.8287337737,-0.008
37826.2690402826,-0.008
37835.7558732631,-0.007
37845.9539122903,-0.007
37855.4407452708,-0.006
37865.8810517797,-0.006
37876.3213582886,-0.006
37885.5409027459,-0.006
37895.9812092548,-0.006
37905.4680422353,-0.006
37915.9083487443,-0.006
37925.3951817248,-0.007
37935.5932207519,-0.007
37946.0335272609,-0.008
37955.5203602414,-0.008
37965.9606667503,-0.008
37976.1587057775,-0.007
37985.3782502348,-0.007
37995.8185567437,-0.007
38006.0165957709,-0.007
38015.2361402282,-0.007
38025.2860158493,-0.007
38035.4840548765,-0.008
38045.5339304976,-0.008
38055.5838061187,-0.009
38065.6336817398,-0.009
38075.6336817398,-0.009
38085.683557361,-0.008
38095.683557361,-0.008
38105.683557361,-0.008
38115.7334329821,-0.009
38125.7334329821,-0.009
38135.7833086032,-0.01
38145.8331842243,-0.01
38155.8830598455,-0.011
38165.1026043027,-0.011
38175.3006433299,-0.012
38185.4986823571,-0.013
38195.6967213843,-0.014
38205.8947604115,-0.015
38215.1143048688,-0.016
38225.312343896,-0.018
38235.7526504049,-0.019
38244.9721948622,-0.02
38255.4125013711,-0.021
38265.6105403983,-0.022
38275.0973733788,-0.023
38285.295412406,-0.023
38295.7357189149,-0.024
38304.9552633722,-0.024
38315.1533023994,-0.025
38325.3513414265,-0.026
38335.4012170477,-0.028
38345.5992560748,-0.029
38355.649131696,-0.031
38365.6990073171,-0.032
38375.7488829382,-0.033
38385.7488829382,-0.033
38395.7488829382,-0.034
38404.8042680764,-0.034
38414.8042680764,-0.034
38424.8541436975,-0.035
38434.8541436975,-0.035
38444.9040193186,-0.036
38454.9538949397,-0.036
38465.1519339669,-0.036
38475.201809588,-0.036
38485.3998486152,-0.037
38495.5978876424,-0.037
38504.8174320997,-0.037
38515.0154711269,-0.037
38525.4557776358,-0.037
38534.6753220931,-0.038
38545.115628602,-0.038
38554.6024615825,-0.039
38565.0427680914,-0.039
38574.5296010719,-0.039
38584.9699075808,-0.039
38594.4567405613,-0.039
38605.2270701756,-0.04
38614.7139031561,-0.04
38625.154209665,-0.041
38634.6410426455,-0.042
38645.0813491545,-0.043
38654.9302069562,-0.045
38664.779064758,-0.046
38675.219371267,-0.048
38685.0682290687,-0.05
38694.5550620492,-0.051
38704.9953685582,-0.053
