s,z
35000,998
35009.8488578018,997.8916625642
35019.3356907823,997.7873074014
35029.1845485841,997.6789699656
35039.0334063859,997.5706325298
35049.8037360002,997.452158904
35059.6525938019,997.3438214682
35069.5014516037,997.2354840324
35079.3503094055,997.1172977387
35088.837142386,997.003455743
35099.6074720003,996.863441458
35109.4563298021,996.7255574488
35119.3051876039,996.5679757239
35129.1540454057,996.4005451413
35139.0029032075,996.2134168431
35149.7732328218,995.9872399212
35159.2600658023,995.7690427626
35169.108923604,995.5228213176
35178.9577814058,995.2569021569
35189.7281110201,994.9553329277
35199.5769688219,994.6598671937
35209.4258266237,994.3545526018
35219.2746844255,994.0393891522
35229.1235422273,993.7045279869
35239.5638487362,993.3391172591
35249.0506817167,992.9881044388
35258.8995395185,992.6138478423
35269.3398460274,992.2066758885
35279.1887038292,991.8127215764
35289.037561631,991.4187672643
35298.8864194328,991.0149640945
35309.6567490471,990.5733805803
35319.1435820276,990.1844204281
35328.9924398294,989.7806172582
35338.8412976312,989.3866629461
35349.2816041401,988.9690506858
35359.1304619419,988.5750963737
35368.6172949224,988.1956230545
35379.3876245366,987.7648098699
35389.2364823384,987.3708555578
35398.7233153189,986.9818954056
35409.1636218278,986.5538428388
35418.6504548083,986.1648826866
35429.4207844226,985.7232991724
35438.9076174031,985.3343390202
35449.347923912,984.9062864533
35458.5674683693,984.5282851306
35469.0077748782,984.1002325637
35479.2058139054,983.6923110026
35489.4038529326,983.2843894415
35498.4592380708,982.922174036
35508.6572770979,982.5142524749
35518.7071527191,982.1022075745
35528.9051917462,981.6840879743
35538.9550673674,981.2619931983
35548.9550673674,980.8419931983
35559.0049429885,980.4098485466
35569.0049429885,979.9798485466
35579.0049429885,979.5498485466
35589.0049429885,979.1198485466
35599.0049429885,978.6898485466
35609.0049429885,978.2598485466
35619.0548186096,977.8277038948
35629.1046942307,977.4056091188
35639.1545698519,976.9835143427
35649.3526088791,976.5653947426
35658.4079940172,976.203179337
35668.6060330444,975.815653854
35678.8040720716,975.43832641
35689.0021110987,975.081395044
35698.221655556,974.777150077
35708.4196945832,974.4712089061
35718.6177336104,974.1856638134
35729.0580401193,973.9142158441
35738.2775845766,973.6837272327
35748.4756236038,973.4491723351
35758.9159301127,973.2194855919
35768.13547457,973.0258751583
35778.5757810789,972.8170690281
35788.7738201061,972.6233062866
35798.2606530866,972.4525432929
35808.7009595955,972.2750580823
35818.187792576,972.1232687546
35828.6280990849,971.9562238505
35838.1149320655,971.8139213558
35848.5552385744,971.6573167581
35858.0420715549,971.5150142634
35868.8124011691,971.3534593192
35878.6612589709,971.1958775944
35888.1480919514,971.0440882667
35898.3461309786,970.8707216032
35908.5441700058,970.6871569007
35918.0310029863,970.4974202411
35928.2290420135,970.2832614215
35938.6693485224,970.0431343718
35948.1561815029,969.8059635473
35958.5964880118,969.5240752716
35968.4453458136,969.2483072531
35977.9321787941,968.9637022637
35988.7025084084,968.6298220457
35998.1893413889,968.3262433903
36008.6296478978,967.9817132755
36018.1164808783,967.6686477872
36028.5567873872,967.3136773659
36038.0436203677,966.9911250445
36048.4839268766,966.6361546232
36057.9707598571,966.3230891349
36068.4110663661,965.9785590201
36077.8978993466,965.6749803647
36088.3382058555,965.3513308629
36097.825038836,965.0667258735
36108.2653453449,964.7743972912
36117.7521783254,964.5182528008
36128.1924848343,964.2468048315
36137.6793178148,964.009634007
36148.1196243237,963.7590666508
36157.6064573042,963.5503563252
36168.0467638131,963.3311098886
36177.5335967936,963.1508600619
36187.9739033026,962.9733748513
36197.4607362831,962.8215855236
36207.901042792,962.6754212325
36218.3413493009,962.5396972478
36227.5608937582,962.4290627144
36237.7589327854,962.3168842851
36247.9569718126,962.2149038948
36258.0068474337,962.1144051386
36268.2048864609,962.0226227873
36277.260271599,961.9411243211
36287.4583106262,961.8493419698
36297.5081862473,961.7588930893
36307.5580618684,961.6684442087
36317.6079374896,961.5779953281
36327.6079374896,961.4879953281
36337.6578131107,961.3874965719
36347.6578131107,961.2874965719
36357.7076887318,961.1869978156
36367.7076887318,961.0869978156
36377.7575643529,960.9864990594
36387.8074399741,960.8860003032
36397.8573155952,960.785501547
36407.9071912163,960.6850027908
