s,g
0,-0.041
9.8488578018,-0.039
20.1444879428,-0.036
29.9933457446,-0.034
39.8422035464,-0.031
50.1378336874,-0.028
59.9866914892,-0.025
69.4206726212,-0.022
79.7163027622,-0.019
89.565160564,-0.016
98.9991416961,-0.013
109.294771837,-0.01
119.590401978,-0.008
129.886032119,-0.005
139.3200132511,-0.003
149.1688710529,-0.001
159.4645011939,0.001
169.7601313348,0.003
179.1941124669,0.005
189.0429702687,0.008
199.3386004097,0.01
209.6342305507,0.013
219.9298606917,0.015
229.3638418237,0.017
239.2126996255,0.018
249.5083297665,0.02
258.9423108986,0.021
269.2379410395,0.022
279.5335711805,0.023
289.8292013215,0.023
298.7734732315,0.024
309.0691033725,0.025
319.3647335135,0.025
329.3647335135,0.026
339.6603636545,0.026
349.0943447865,0.026
359.0943447865,0.026
369.3899749275,0.026
379.2894698641,0.026
389.2894698641,0.026
399.2894698641,0.026
409.1889648007,0.025
419.8191106135,0.025
429.0386550708,0.025
438.9381500074,0.026
448.837644944,0.026
459.4677907567,0.027
469.3672856933,0.027
479.26678063,0.028
489.26678063,0.028
499.1662755666,0.028
509.1662755666,0.028
519.1662755666,0.027
529.1662755666,0.027
539.1662755666,0.026
548.6002566986,0.026
559.416910525,0.025
568.8508916571,0.025
579.6675454835,0.025
589.1015266155,0.025
598.9503844173,0.025
609.2460145583,0.025
619.0948723601,0.025
628.9437301619,0.024
638.7925879637,0.024
649.2328944726,0.023
659.0817522744,0.022
668.5685852549,0.021
679.3389148692,0.019
688.8257478497,0.018
699.2660543586,0.016
708.4855988159,0.014
718.6836378431,0.012
728.8816768702,0.009
739.0797158974,0.007
749.2777549246,0.005
758.4972993819,0.003
768.6953384091,0.001
778.8933774363,-0.001
789.0914164635,-0.002
799.2894554907,-0.004
808.5089999479,-0.006
818.7070389751,-0.008
828.9050780023,-0.009
838.9549536234,-0.011
848.1744980807,-0.012
858.3725371079,-0.014
868.5705761351,-0.016
878.7686151623,-0.019
888.9666541895,-0.021
899.0165298106,-0.024
908.2360742679,-0.026
918.4341132951,-0.028
928.6321523223,-0.03
938.8301913494,-0.032
949.0282303766,-0.034
958.0836155148,-0.035
968.281654542,-0.037
978.4796935691,-0.038
988.6777325963,-0.04
998.8757716235,-0.041
1008.0953160808,-0.043
1018.1451917019,-0.044
1028.3432307291,-0.046
1038.5412697563,-0.047
1048.7393087835,-0.048
1058.226141764,-0.048
1068.4241807912,-0.049
1078.8644873001,-0.049
1088.0840317574,-0.049
1098.5243382663,-0.048
1108.3731960681,-0.048
1118.813502577,-0.047
1128.6623603788,-0.047
1138.5112181806,-0.046
1148.3600759824,-0.046
