s,z
0,757
9.8488578018,756.6158945457
20.1444879428,756.2452518607
29.9933457446,755.9103906954
39.8422035464,755.6050761035
50.1378336874,755.3167984596
59.9866914892,755.0705770145
69.4206726212,754.8630294296
79.7163027622,754.667412457
89.565160564,754.5098307321
98.9991416961,754.3871889774
109.294771837,754.284232676
119.590401978,754.2018676349
129.886032119,754.1503894842
139.3200132511,754.1220875408
149.1688710529,754.112238683
159.4645011939,754.1225343131
169.7601313348,754.1534212035
179.1941124669,754.2005911092
189.0429702687,754.2793819716
199.3386004097,754.382338273
209.6342305507,754.5161814649
219.9298606917,754.670615917
229.3638418237,754.8309935962
239.2126996255,755.0082730366
249.5083297665,755.2141856395
258.9423108986,755.4122992432
269.2379410395,755.6388031063
279.5335711805,755.8756025996
289.8292013215,756.1124020928
298.7734732315,756.3270646187
309.0691033725,756.5844553722
319.3647335135,756.8418461257
329.3647335135,757.1018461257
339.6603636545,757.3695325094
349.0943447865,757.6148160188
359.0943447865,757.8748160188
369.3899749275,758.1425024025
379.2894698641,758.3998892708
389.2894698641,758.6598892708
399.2894698641,758.9198892708
409.1889648007,759.1673766443
419.8191106135,759.4331302896
429.0386550708,759.663618901
438.9381500074,759.9210057694
448.837644944,760.1783926377
459.4677907567,760.4654065746
469.3672856933,760.7326929379
479.26678063,761.0098787962
489.26678063,761.2898787962
499.1662755666,761.5670646544
509.1662755666,761.8470646544
519.1662755666,762.1170646544
529.1662755666,762.3870646544
539.1662755666,762.6470646544
548.6002566986,762.8923481638
559.416910525,763.1627645095
568.8508916571,763.3986140378
579.6675454835,763.6690303834
589.1015266155,763.9048799117
598.9503844173,764.1511013568
609.2460145583,764.4084921103
619.0948723601,764.6547135554
628.9437301619,764.8910861426
638.7925879637,765.1274587298
649.2328944726,765.3675857795
659.0817522744,765.5842606512
668.5685852549,765.7834841438
679.3389148692,765.9881204065
688.8257478497,766.1588834001
699.2660543586,766.3259283042
708.4855988159,766.4550019266
718.6836378431,766.577378395
728.8816768702,766.6691607462
739.0797158974,766.7405470194
749.2777549246,766.7915372145
758.4972993819,766.8191958479
768.6953384091,766.8293938869
778.8933774363,766.8191958479
789.0914164635,766.7987997699
799.2894554907,766.7580076138
808.5089999479,766.702690347
818.7070389751,766.6211060348
828.9050780023,766.5293236835
838.9549536234,766.4187750517
848.1744980807,766.3081405182
858.3725371079,766.1653679718
868.5705761351,766.0021993474
878.7686151623,765.8084366059
888.9666541895,765.5942777863
899.0165298106,765.3530807714
908.2360742679,765.1133726155
918.4341132951,764.8278275228
928.6321523223,764.5218863519
938.8301913494,764.1955491031
949.0282303766,763.8488157762
958.0836155148,763.5318772963
968.281654542,763.1545498523
978.4796935691,762.7670243693
988.6777325963,762.3591028082
998.8757716235,761.9409832081
1008.0953160808,761.5445427964
1018.1451917019,761.1023482691
1028.3432307291,760.6332384738
1038.5412697563,760.1539306396
1048.7393087835,759.6644247663
1058.226141764,759.2090567832
1068.4241807912,758.7093528709
1078.8644873001,758.1977778519
1088.0840317574,757.7460201735
1098.5243382663,757.2448854611
1108.3731960681,756.7721402866
1118.813502577,756.2814458807
1128.6623603788,755.818549564
1138.5112181806,755.3655021051
1148.3600759824,754.9124546462
1158.2089337842,754.4594071873
