------------------------------------------------------------------------------
------------------------------------------------------------------------------
RoadGRUB (Road Geometry Reconstruction Utility Basic) 
RECONSTRUCCIÓN DE LA GEOMETRÍA DEL PERFIL LONGITUDINAL 
------------------------------------------------------------------------------
M-607 PK 8+630 al 58+380 (Madrid) - Pendientes MFOM
Tramo : Traza completa
------------------------------------------------------------------------------
DATOS DE LA TRAZA:
Número de puntos     : 4958
Longitud         (m) : 49501.49
Separación media (m) : 9.99
Altitud máxima   (m) : 1259.35
Altitud media    (m) : 876.5
Altitud mínima   (m) : 745.87
Pendiente media      : 0.0102
K global (m)         : 0.01941361
------------------------------------------------------------------------------
PARÁMETROS USADOS EN LA RECONSTRUCCIÓN:
Pendiente límite              : 4.5E-5
Kv límite                     : 22222
Rectas Interpolación (Puntos) : 3
Rectas Interpolación (m)      : 19.97
------------------------------------------------------------------------------
RESULTADO: ERRORES
Error Cuadrático Medio ECM              : 0.203576
Valor absoluto del Error (varianza)     : 0.093694
Valor absoluto del Error (Desv. Típica) : 0.306096
Valor absoluto del Error (media)  (m)   : 0.331546
Valor absoluto del Error (máximo) (m)   : 2.029847
------------------------------------------------------------------------------
RESULTADO: PERFIL LONGITUDINAL RECONSTRUIDO
Número Total de alineaciones       : 360
    Grades                         : 131
    Vertical curves                : 228
    Cuasi grades                   : 1
    Short alignments  (L<50.00 m)  : 30
    Two consecutive grades         : 0
------------------------------------------------------------------------------
------------------------------------------------------------------------------

          SE           ZE           PE            L          K
----------------------------------------------------------------------------------
    0,000000   757,000000    -0,037722    29,993346          - GRADE 
   29,993346   755,868603    -0,037278    79,301426     2356,6 VERTICAL CURVE 
  109,294772   754,246668    -0,003627   220,069962     7329,9 VERTICAL CURVE 
  329,364734   756,752068     0,026396   309,427854          - GRADE 
  638,792588   764,919820     0,026396   310,235642    -5230,4 VERTICAL CURVE 
  949,028230   763,908197    -0,032918    89,513039    -6073,5 VERTICAL CURVE 
 1038,541270   760,301975    -0,047656   189,567005          - GRADE 
 1228,108274   751,267915    -0,047656    99,709858     6369,3 VERTICAL CURVE 
 1327,818132   747,296580    -0,032002    90,163075     3355,3 VERTICAL CURVE 
 1417,981207   745,622635    -0,005130   109,946573     3711,6 VERTICAL CURVE 
 1527,927780   746,687071     0,024493    70,199502     6905,1 VERTICAL CURVE 
 1598,127282   748,763285     0,034659    59,551214          - GRADE 
 1657,678497   750,827274     0,034659   119,645498    -7691,7 VERTICAL CURVE 
 1777,323994   754,043521     0,019104   130,203562    -4939,7 VERTICAL CURVE 
 1907,527557   754,814917    -0,007255    69,698485    -8922,3 VERTICAL CURVE 
 1977,226042   754,037035    -0,015067   330,158207          - GRADE 
 2307,384249   749,062694    -0,015067   169,374720     8485,0 VERTICAL CURVE 
 2476,758969   748,201306     0,004895   110,050483     7049,8 VERTICAL CURVE 
 2586,809452   749,598985     0,020506   159,895744     7128,5 VERTICAL CURVE 
 2746,705195   754,671017     0,042936   129,439469          - GRADE 
 2876,144664   760,228653     0,042936    49,980246   -13177,6 VERTICAL CURVE 
 2926,124910   762,279832     0,039143    80,275876    -5560,2 VERTICAL CURVE 
 3006,400787   764,842603     0,024706    70,230881    -4819,3 VERTICAL CURVE 
 3076,631668   766,065974     0,010133    99,188834    -6408,6 VERTICAL CURVE 
 3175,820502   766,303443    -0,005345   170,459902          - GRADE 
 3346,280404   765,392409    -0,005345    89,448566     9417,6 VERTICAL CURVE 
 3435,728970   765,339139     0,004153   120,069615     3929,7 VERTICAL CURVE 
 3555,798584   767,672162     0,034708    79,484464          - GRADE 
 3635,283048   770,430883     0,034708   149,904983    -4435,6 VERTICAL CURVE 
 3785,188031   773,100626     0,000911    70,169729    -3325,3 VERTICAL CURVE 
 3855,357760   772,424223    -0,020191    59,818909          - GRADE 
 3915,176669   771,216448    -0,020191   129,865001    14535,3 VERTICAL CURVE 
 4045,041670   769,174540    -0,011256    40,000000          - GRADE 
 4085,041670   768,724296    -0,011256    59,749253    11245,6 VERTICAL CURVE 
 4144,790924   768,210481    -0,005943    69,884781     7132,1 VERTICAL CURVE 
 4214,675704   768,137543     0,003856    49,341112          - GRADE 
 4264,016816   768,327783     0,003856   260,171259    -8813,1 VERTICAL CURVE 
 4524,188075   765,490630    -0,025665    59,983069          - GRADE 
 4584,171144   763,951135    -0,025665    80,354126     8227,6 VERTICAL CURVE 
 4664,525269   762,281191    -0,015899    89,331402     3184,8 VERTICAL CURVE 
 4753,856672   762,113750     0,012150    69,938840     6231,2 VERTICAL CURVE 
 4823,795512   763,356026     0,023374   119,481602          - GRADE 
 4943,277114   766,148824     0,023374    30,125179     5649,8 VERTICAL CURVE 
 4973,402292   766,933293     0,028706    60,694275          - GRADE 
 5034,096567   768,675606     0,028706   169,251035    -6433,3 VERTICAL CURVE 
 5203,347602   771,307821     0,002398    60,467603    -2706,6 VERTICAL CURVE 
 5263,815206   770,777359    -0,019943   229,092063          - GRADE 
 5492,907268   766,208521    -0,019943   159,913817     3728,6 VERTICAL CURVE 
 5652,821085   766,448505     0,022945   209,697381          - GRADE 
 5862,518467   771,259939     0,022945   139,811700    -4639,1 VERTICAL CURVE 
 6002,330167   772,361078    -0,007193    69,501452          - GRADE 
 6071,831619   771,861160    -0,007193   110,120423     4849,2 VERTICAL CURVE 
 6181,952042   772,319429     0,015516   130,048507          - GRADE 
 6312,000549   774,337258     0,015516   109,994769    -4108,7 VERTICAL CURVE 
 6421,995318   774,571601    -0,011255   149,694259          - GRADE 
 6571,689577   772,886795    -0,011255    39,854279    10425,2 VERTICAL CURVE 
 6611,543856   772,514415    -0,007432    89,460593     4845,5 VERTICAL CURVE 
 6701,004449   772,675382     0,011031   119,598615     5251,7 VERTICAL CURVE 
 6820,603064   775,356472     0,033804    80,501205          - GRADE 
 6901,104269   778,077741     0,033804   169,419506    -4256,7 VERTICAL CURVE 
 7070,523775   780,433345    -0,005996    40,295630          - GRADE 
 7110,819405   780,191727    -0,005996    79,913817     7016,7 VERTICAL CURVE 
 7190,733222   780,167626     0,005393   179,524590          - GRADE 
 7370,257812   781,135793     0,005393   100,516034    10865,5 VERTICAL CURVE 
 7470,773847   782,142805     0,014644   758,142720          - GRADE 
 8228,916567   793,244963     0,014644    60,803490    -3614,3 VERTICAL CURVE 
 8289,720056   793,623914    -0,002179    99,044249    -6126,7 VERTICAL CURVE 
 8388,764305   792,607514    -0,018345    39,854279          - GRADE 
 8428,618584   791,876385    -0,018345    90,712539     8899,3 VERTICAL CURVE 
 8519,331124   790,674586    -0,008152   119,301411     4599,5 VERTICAL CURVE 
 8638,632535   791,249267     0,017786    80,400606          - GRADE 
 8719,033141   792,679266     0,017786   169,158783    -3537,5 VERTICAL CURVE 
 8888,191924   791,643487    -0,030032    60,278826    -4645,9 VERTICAL CURVE 
 8948,470750   789,442137    -0,043007   249,674420          - GRADE 
 9198,145170   778,704453    -0,043007   100,075724     9594,3 VERTICAL CURVE 
 9298,220894   774,922456    -0,032576    79,748198     2967,5 VERTICAL CURVE 
 9377,969092   773,396157    -0,005702    69,452568     8439,1 VERTICAL CURVE 
 9447,421661   773,285932     0,002528   169,911090          - GRADE 
 9617,332750   773,715444     0,002528    49,863537    -6912,1 VERTICAL CURVE 
 9667,196288   773,661637    -0,004686    80,049876          - GRADE 
 9747,246163   773,286520    -0,004686   100,349129    14431,0 VERTICAL CURVE 
 9847,595293   773,165180     0,002268  1198,566620          - GRADE 
11046,161912   775,883159     0,002268   129,670216     7019,3 VERTICAL CURVE 
11175,832129   777,374933     0,020741    60,111442          - GRADE 
11235,943570   778,621707     0,020741    99,245447    -6309,1 VERTICAL CURVE 
11335,189018   779,899571     0,005011    60,276044    -3634,4 VERTICAL CURVE 
11395,465062   779,701753    -0,011574   159,481489          - GRADE 
11554,946551   777,855873    -0,011574    50,137834    13509,0 VERTICAL CURVE 
11605,084384   777,368606    -0,007863    99,828895     6330,2 VERTICAL CURVE 
11704,913279   777,370832     0,007907   219,791237          - GRADE 
11924,704516   779,108813     0,007907    80,501205    -5779,2 VERTICAL CURVE 
12005,205721   779,184696    -0,006022   209,444422          - GRADE 
12214,650144   777,923389    -0,006022   100,099751    19715,3 VERTICAL CURVE 
12314,749895   777,574688    -0,000945    59,253424    10770,2 VERTICAL CURVE 
12374,003319   777,681694     0,004557    80,547168    11631,4 VERTICAL CURVE 
12454,550487   778,327619     0,011482    49,715374          - GRADE 
12504,265861   778,898436     0,011482    89,935063   -14414,3 VERTICAL CURVE 
12594,200924   779,650478     0,005242   109,553153    -5761,5 VERTICAL CURVE 
12703,754077   779,183240    -0,013772   209,834383          - GRADE 
12913,588459   776,293339    -0,013772    79,913817     7975,4 VERTICAL CURVE 
12993,502276   775,593111    -0,003752   230,232552          - GRADE 
13223,734828   774,729213    -0,003752    99,785383    13442,2 VERTICAL CURVE 
13323,520212   774,725157     0,003671   568,769393          - GRADE 
13892,289604   776,813103     0,003671    69,484464   -14218,5 VERTICAL CURVE 
13961,774068   776,898398    -0,001216    80,195125    -9540,4 VERTICAL CURVE 
14041,969193   776,463835    -0,009622    89,876806          - GRADE 
14131,845999   775,599065    -0,009622    99,333476   -10463,8 VERTICAL CURVE 
14231,179475   774,171815    -0,019115   440,365611          - GRADE 
14671,545086   765,754304    -0,019115    79,117109    17144,0 VERTICAL CURVE 
14750,662196   764,424551    -0,014500   120,459524     7062,5 VERTICAL CURVE 
14871,121720   763,705180     0,002556   568,663983          - GRADE 
15439,785702   765,158797     0,002556   149,703768     9382,7 VERTICAL CURVE 
15589,489470   766,735759     0,018512    60,299254          - GRADE 
15649,788724   767,851992     0,018512    39,517335     8008,5 VERTICAL CURVE 
15689,306059   768,681018     0,023446    59,473513          - GRADE 
15748,779571   770,075435     0,023446    89,982175    -9217,4 VERTICAL CURVE 
15838,761746   771,745945     0,013684    70,282322    -3167,5 VERTICAL CURVE 
15909,044068   771,927949    -0,008505   119,464710    -4117,7 VERTICAL CURVE 
16028,508778   769,178988    -0,037517   110,224227          - GRADE 
16138,733005   765,043732    -0,037517    59,874099     4446,0 VERTICAL CURVE 
16198,607104   763,200612    -0,024050    70,422423     2783,5 VERTICAL CURVE 
16269,029527   762,397817     0,001250   178,973775     4419,8 VERTICAL CURVE 
16448,003302   766,245240     0,041744    60,228126          - GRADE 
16508,231428   768,759395     0,041744   189,760340    -5048,9 VERTICAL CURVE 
16697,991768   773,114688     0,004159    40,529641          - GRADE 
16738,521409   773,283259     0,004159   109,182987    10558,7 VERTICAL CURVE 
16847,704395   774,301879     0,014500    39,874099          - GRADE 
16887,578495   774,880045     0,014500   150,336693    -9521,4 VERTICAL CURVE 
17037,915188   775,873038    -0,001290   219,150936          - GRADE 
17257,066124   775,590440    -0,001290   109,702305     9428,4 VERTICAL CURVE 
17366,768428   776,087186     0,010346   110,646920          - GRADE 
17477,415348   777,231912     0,010346    99,149627    -7691,9 VERTICAL CURVE 
17576,564975   777,618666    -0,002544   139,554141    -4987,6 VERTICAL CURVE 
17716,119116   775,311205    -0,030525   180,698259          - GRADE 
17896,817375   769,795441    -0,030525    39,049876     4393,6 VERTICAL CURVE 
17935,867251   768,776989    -0,021637   100,149627     7476,3 VERTICAL CURVE 
18036,016877   767,280848    -0,008241   110,149627     3130,7 VERTICAL CURVE 
18146,166504   768,310815     0,026942   150,199502          - GRADE 
18296,366007   772,357556     0,026942    99,105261    -4633,5 VERTICAL CURVE 
18395,471268   773,967816     0,005554    60,347666    -8627,2 VERTICAL CURVE 
18455,818933   774,091889    -0,001442   129,966215          - GRADE 
18585,785149   773,904534    -0,001442   109,850468     9659,5 VERTICAL CURVE 
18695,635617   774,370801     0,009931    69,304763    12089,6 VERTICAL CURVE 
18764,940380   775,257692     0,015663   119,716837          - GRADE 
18884,657217   777,132849     0,015663    50,496236    -8298,6 VERTICAL CURVE 
18935,153453   777,770152     0,009578    60,225336          - GRADE 
18995,378789   778,347013     0,009578    49,671135     4614,5 VERTICAL CURVE 
19045,049924   779,090115     0,020343   109,833736     6090,6 VERTICAL CURVE 
19154,883660   782,314747     0,038376   119,966137          - GRADE 
19274,849797   786,918556     0,038376    99,914876    -7466,4 VERTICAL CURVE 
19374,764674   790,084358     0,024994   568,484537          - GRADE 
19943,249211   804,293095     0,024994    50,644429   -20224,4 VERTICAL CURVE 
19993,893640   805,495495     0,022490    89,548175    -4572,3 VERTICAL CURVE 
20083,441815   806,632527     0,002905   189,702911          - GRADE 
20273,144726   807,183597     0,002905   189,781019     4335,5 VERTICAL CURVE 
20462,925745   811,888647     0,046679   129,950349          - GRADE 
20592,876093   817,954610     0,046679    89,865980    -2828,9 VERTICAL CURVE 
20682,742073   820,722080     0,014912   779,099608          - GRADE 
21461,841681   832,339994     0,014912    50,000000    -8956,8 VERTICAL CURVE 
21511,841681   832,946033     0,009330   209,219544          - GRADE 
21721,061225   834,897970     0,009330    70,000000     7444,0 VERTICAL CURVE 
21791,061225   835,880165     0,018733    70,000000     4006,6 VERTICAL CURVE 
21861,061225   837,802970     0,036204   109,876806          - GRADE 
21970,938031   841,780969     0,036204   209,896323    -6605,1 VERTICAL CURVE 
22180,834354   846,045080     0,004426    59,882018          - GRADE 
22240,716371   846,310146     0,004426    69,730875     7843,2 VERTICAL CURVE 
22310,447247   846,928784     0,013317    69,533453     4469,5 VERTICAL CURVE 
22379,980700   848,395648     0,028875    70,282322     4471,9 VERTICAL CURVE 
