S,g
27072.534,-0.028155
27073.534,-0.028155
27074.534,-0.028299
27075.534,-0.028441
27076.534,-0.028584
27077.534,-0.028727
27078.534,-0.028869
27079.534,-0.029013
27080.534,-0.029155
27081.534,-0.029299
27082.534,-0.029441
27083.534,-0.029584
27084.534,-0.029727
27085.534,-0.029869
27086.534,-0.030013
27087.534,-0.030155
27088.534,-0.030299
27089.534,-0.030441
27090.534,-0.030584
27091.534,-0.030727
27092.534,-0.030869
27093.534,-0.031013
27094.534,-0.031155
27095.534,-0.031299
27096.534,-0.031441
27097.534,-0.031584
27098.534,-0.031727
27099.534,-0.031869
27100.534,-0.032013
27101.534,-0.032155
27102.534,-0.032299
27103.534,-0.032441
27104.534,-0.032584
27105.534,-0.032727
27106.534,-0.032869
27107.534,-0.033013
27108.534,-0.033155
27109.534,-0.033299
27110.534,-0.033441
27111.534,-0.033584
27112.534,-0.033727
27113.534,-0.033869
27114.534,-0.034013
27115.534,-0.034155
27116.534,-0.034299
27117.534,-0.034441
27118.534,-0.034584
27119.534,-0.034727
27120.534,-0.034869
27121.534,-0.035013
27122.534,-0.035155
27123.534,-0.035299
27124.534,-0.035441
27125.534,-0.035912
27126.534,-0.035634
27127.534,-0.035634
27128.534,-0.035635
27129.534,-0.035634
27130.534,-0.035634
27131.534,-0.035634
27132.534,-0.035634
27133.534,-0.035634
27134.534,-0.035634
27135.534,-0.035634
27136.534,-0.035635
27137.534,-0.035634
27138.534,-0.035634
27139.534,-0.035634
27140.534,-0.035634
27141.534,-0.035634
27142.534,-0.035634
27143.534,-0.035634
27144.534,-0.035635
27145.534,-0.035634
27146.534,-0.035634
27147.534,-0.035634
27148.534,-0.035634
27149.534,-0.035634
27150.534,-0.035634
27151.534,-0.035634
27152.534,-0.035635
27153.534,-0.035634
27154.534,-0.035634
27155.534,-0.035634
27156.534,-0.035634
27157.534,-0.035634
27158.534,-0.035634
27159.534,-0.035634
27160.534,-0.035635
27161.534,-0.035634
27162.534,-0.035634
27163.534,-0.035634
27164.534,-0.035634
27165.534,-0.035634
27166.534,-0.035634
27167.534,-0.035635
27168.534,-0.035634
27169.534,-0.035634
27170.534,-0.035634
27171.534,-0.035634
27172.534,-0.035634
27173.534,-0.035634
27174.534,-0.035634
27175.534,-0.035635
27176.534,-0.035634
27177.534,-0.035634
27178.534,-0.035634
27179.534,-0.035634
27180.534,-0.035634
27181.534,-0.035634
27182.534,-0.035634
27183.534,-0.035634
27184.534,-0.035516
27185.534,-0.035316
27186.534,-0.035115
27187.534,-0.034916
27188.534,-0.034716
27189.534,-0.034516
27190.534,-0.034316
27191.534,-0.034115
27192.534,-0.033916
27193.534,-0.033716
27194.534,-0.033516
27195.534,-0.033316
27196.534,-0.033115
27197.534,-0.032916
27198.534,-0.032716
27199.534,-0.032516
27200.534,-0.032316
27201.534,-0.032115
27202.534,-0.031916
27203.534,-0.031716
27204.534,-0.031516
27205.534,-0.031316
27206.534,-0.031115
27207.534,-0.030916
27208.534,-0.030716
27209.534,-0.030516
27210.534,-0.030316
27211.534,-0.030115
27212.534,-0.029916
27213.534,-0.029716
27214.534,-0.029516
27215.534,-0.029316
27216.534,-0.029115
27217.534,-0.028916
27218.534,-0.028716
27219.534,-0.028516
27220.534,-0.028316
27221.534,-0.028115
27222.534,-0.027916
27223.534,-0.027716
27224.534,-0.027516
27225.534,-0.027316
27226.534,-0.027115
27227.534,-0.026916
27228.534,-0.026716
27229.534,-0.026516
27230.534,-0.026316
27231.534,-0.026115
27232.534,-0.025916
27233.534,-0.025716
27234.534,-0.025516
27235.534,-0.025316
27236.534,-0.025115
27237.534,-0.024916
27238.534,-0.024716
27239.534,-0.024516
27240.534,-0.024316
27241.534,-0.024115
27242.534,-0.023916
27243.534,-0.023716
27244.534,-0.023516
27245.534,-0.023316
27246.534,-0.023115
27247.534,-0.022916
27248.534,-0.022716
27249.534,-0.022516
27250.534,-0.022316
27251.534,-0.022115
27252.534,-0.021916
27253.534,-0.021716
27254.534,-0.021516
27255.534,-0.021316
27256.534,-0.021115
27257.534,-0.020916
27258.534,-0.020716
27259.534,-0.020516
27260.534,-0.020316
27261.534,-0.020115
27262.534,-0.019916
27263.534,-0.019716
27264.534,-0.019516
27265.534,-0.019316
27266.534,-0.019115
27267.534,-0.018916
27268.534,-0.018716
27269.534,-0.018516
27270.534,-0.018316
27271.534,-0.018115
27272.534,-0.017916
27273.534,-0.017716
27274.534,-0.017516
27275.534,-0.017316
27276.534,-0.017115
27277.534,-0.016916
27278.534,-0.016716
27279.534,-0.016516
27280.534,-0.016316
27281.534,-0.016115
27282.534,-0.015916
27283.534,-0.015716
27284.534,-0.015516
27285.534,-0.015316
27286.534,-0.015115
27287.534,-0.014916
27288.534,-0.014716
27289.534,-0.014516
27290.534,-0.014316
27291.534,-0.014115
27292.534,-0.013916
27293.534,-0.013716
27294.534,-0.013516
27295.534,-0.013316
27296.534,-0.013115
27297.534,-0.012916
27298.534,-0.012716
27299.534,-0.012516
27300.534,-0.012316
27301.534,-0.012115
27302.534,-0.011916
27303.534,-0.011716
27304.534,-0.011516
27305.534,-0.011316
27306.534,-0.011115
27307.534,-0.010916
27308.534,-0.010716
27309.534,-0.010516
27310.534,-0.010316
27311.534,-0.010115
27312.534,-0.009916
27313.534,-0.009716
27314.534,-0.009516
27315.534,-0.009316
27316.534,-0.009115
27317.534,-0.008916
27318.534,-0.008716
27319.534,-0.008516
27320.534,-0.008316
27321.534,-0.008115
27322.534,-0.007916
27323.534,-0.007716
27324.534,-0.007516
27325.534,-0.007316
27326.534,-0.007115
27327.534,-0.006916
27328.534,-0.006716
27329.534,-0.006516
27330.534,-0.006316
27331.534,-0.006115
27332.534,-0.005916
27333.534,-0.005716
27334.534,-0.005516
27335.534,-0.005316
27336.534,-0.005115
27337.534,-0.005093
27338.534,-0.005001
27339.534,-0.005002
