M-607  Estado de alineaciones del proyecto
          SE           ZE           PE            L          K
----------------------------------------------------------------------------------
27072,000000   917,599997    -0,028084     0,534000          - GRADE 
27072,534000   917,585000    -0,028084    52,932000    -7000,0 VERTICAL CURVE 
27125,466000   915,898000    -0,035634    57,922000          - GRADE 
27183,388000   913,834000    -0,035645   153,224000     5000,0 VERTICAL CURVE 
27336,612000   910,720000    -0,005002   209,528000          - GRADE 
27546,140000   909,672000    -0,005000   307,720000    -6000,0 VERTICAL CURVE 
27853,860000   900,243000    -0,056289    98,207000          - GRADE 
27952,067000   894,715000    -0,056287   191,866000     3000,0 VERTICAL CURVE 
28143,933000   890,051000     0,007667   138,249000          - GRADE 
28282,182000   891,111000     0,007669   179,636000    -7000,0 VERTICAL CURVE 
28461,818000   890,184000    -0,017825     1,683000          - GRADE 
28463,501000   890,154000    -0,017993   134,998000    10000,0 VERTICAL CURVE 
28598,499000   888,636000    -0,004494   181,115000          - GRADE 
28779,614000   887,822000    -0,004494   126,772000     8000,0 VERTICAL CURVE 
28906,386000   888,257000     0,011348   168,218000          - GRADE 
29074,604000   890,166000     0,011353   216,792000    -5000,0 VERTICAL CURVE 
29291,396000   887,928000    -0,032006   417,486000          - GRADE 
29708,882000   874,566000    -0,032006   125,976000    -4500,0 VERTICAL CURVE 
29834,858000   868,771000    -0,060003    68,730000          - GRADE 
29903,588000   864,647000    -0,060000   511,088000     5000,0 VERTICAL CURVE 
30414,676000   860,102000     0,042220   113,239000          - GRADE 
30527,915000   864,883000     0,042217   202,544000   -10000,0 VERTICAL CURVE 
30730,459000   871,383000     0,021962   663,336000          - GRADE 
31393,795000   885,951000     0,021963   184,410000    -5000,0 VERTICAL CURVE 
31578,205000   886,601000    -0,014918   110,808000          - GRADE 
31689,013000   884,948000    -0,014919   189,974000    10000,0 VERTICAL CURVE 
31878,987000   883,918000     0,004075   198,274000          - GRADE 
32077,261000   884,726000     0,004078   179,478000     5000,0 VERTICAL CURVE 
32256,739000   888,680000     0,039972    17,237000          - GRADE 
32273,976000   889,369000     0,039974   376,048000    -5600,0 VERTICAL CURVE 
32650,024000   891,775000    -0,027181   181,045000          - GRADE 
32831,069000   886,854000    -0,027178   161,862000     4000,0 VERTICAL CURVE 
32992,931000   885,730000     0,013287   179,125000          - GRADE 
33172,056000   888,110000     0,013288   131,888000    -8000,0 VERTICAL CURVE 
33303,944000   888,776000    -0,003199    65,328000          - GRADE 
33369,272000   888,567000    -0,003198   199,456000     9000,0 VERTICAL CURVE 
33568,728000   890,139000     0,018971    20,136000          - GRADE 
33588,864000   890,521000     0,018964   174,790000    -7000,0 VERTICAL CURVE 
33763,654000   891,653000    -0,006003    68,471000          - GRADE 
33832,125000   891,242000    -0,006006   121,750000     6200,0 VERTICAL CURVE 
33953,875000   891,706000     0,013632   470,369000          - GRADE 
34424,244000   898,118000     0,013631   131,512000   -15000,0 VERTICAL CURVE 
34555,756000   899,334000     0,004863   492,074000          - GRADE 
35047,830000   901,727000     0,004863   178,340000     4500,0 VERTICAL CURVE 
35226,170000   906,128000     0,044495   477,044000          - GRADE 
35703,214000   927,354000     0,044494   200,572000    -5700,0 VERTICAL CURVE 
35903,786000   932,749000     0,009309   243,634000          - GRADE 
36147,420000   935,017000     0,009306   223,160000    -7500,0 VERTICAL CURVE 
36370,580000   933,774000    -0,020457    40,670000          - GRADE 
36411,250000   932,942000    -0,020448   203,500000     9000,0 VERTICAL CURVE 
36614,750000   931,081000     0,002164   509,741000          - GRADE 
37124,491000   932,184000     0,002163   121,018000     8000,0 VERTICAL CURVE 
37245,509000   933,361000     0,017289   368,722000          - GRADE 
37614,231000   939,736000     0,017290   126,538000   -12000,0 VERTICAL CURVE 
37740,769000   941,257000     0,006744   202,104000          - GRADE 
37942,873000   942,620000     0,006745   146,254000     7000,0 VERTICAL CURVE 
38089,127000   945,134000     0,027637    79,676000          - GRADE 
38168,803000   947,336000     0,027638   230,394000    -5000,0 VERTICAL CURVE 
38399,197000   948,396000    -0,018440   305,420000          - GRADE 
38704,617000   942,764000    -0,018440   222,766000   -10000,0 VERTICAL CURVE 
38927,383000   936,175000    -0,040726    80,759000          - GRADE 
39008,142000   932,886000    -0,040717   133,716000     3500,0 VERTICAL CURVE 
39141,858000   929,996000    -0,002501    31,985000          - GRADE 
39173,843000   929,916000    -0,002512    76,314000     5000,0 VERTICAL CURVE 
39250,157000   930,307000     0,012749   351,401000          - GRADE 
39601,558000   934,787000     0,012751   134,884000    10000,0 VERTICAL CURVE 
----------------------------------------------------------------------------------
SE=Abscisa entrada; ZE=Cota entrada; PE=Pendiente entrada; L=Longitud; K=Parámetro 

