X,Y,ele
433400.816543982,4504009.42098509,932.39
433379.051149337,4504002.56295536,932.1
433357.179384238,4503995.69662909,931.35
433335.484820695,4503988.84739284,931.13
433313.825873475,4503982.02581937,930.89
433292.117399221,4503975.21404501,931.22
433270.423548435,4503968.45804195,929.51
433248.835811013,4503961.69184477,927.61
433227.347038954,4503954.90620273,925.73
433205.829549387,4503948.08366849,924.24
433184.212611502,4503941.23417051,923.23
433162.56080324,4503934.45018038,922.08
433140.781790119,4503927.70462075,921.77
433118.989411338,4503921.0522965,920.07
433097.277427805,4503914.67845588,919.38
433075.528517971,4503908.92846539,918.11
433053.708957224,4503903.98871112,917.05
433031.74267704,4503900.06458959,915.9
433009.523624028,4503897.17568701,915
432987.229296711,4503895.36691914,913.19
432964.903789087,4503894.81468979,911.88
432942.370798532,4503895.60432923,911.54
432919.897734972,4503897.5380174,911.19
432897.434097171,4503900.5138664,910.83
432875.321813717,4503904.74278778,910.98
432853.595301618,4503910.1128206,910.75
432832.104984833,4503916.5322514,910.22
432810.900282162,4503923.98203636,909.61
432790.023117511,4503932.39663969,908.91
432769.262858343,4503941.98268669,907.09
432748.710662416,4503952.63699613,907.09
432728.789499605,4503964.13241922,907.03
432709.506708097,4503976.49678237,905.68
432690.621221979,4503989.70436772,904.58
432671.975265206,4504003.54256749,903.51
432653.312521316,4504017.86484547,903.03
432634.610053528,4504032.48528362,902.02
432615.873341809,4504047.22705362,901.89
432597.038816083,4504062.1093387,900
432578.056376914,4504077.07676547,898.92
432558.954198741,4504092.11046214,898.04
432539.718965505,4504107.30360274,896.61
432520.384893435,4504122.52561339,895.46
432500.999894186,4504137.58994403,894.7
432481.491429232,4504152.31117249,893.23
432461.784952733,4504166.28053492,891.14
432441.940228893,4504179.06014839,889.77
432421.983795497,4504190.45438718,889.21
432401.8664036,4504200.50088995,888.44
432381.668578952,4504209.4874173,887.54
432361.448334767,4504217.56228921,887.6
432341.300193814,4504224.99450912,886.89
432321.438916326,4504232.03335551,886.03
432301.767389895,4504238.90303876,885.88
432282.363343681,4504245.58423141,885.12
432263.2353928,4504252.24435113,885.24
432244.206118299,4504258.84778037,886.04
432225.183108775,4504265.35816086,885.84
432206.179599672,4504271.67300537,885.62
432187.251906712,4504277.75457635,885.55
432168.321014161,4504283.48262257,885.62
432149.308245564,4504288.77413584,885.15
432130.071431965,4504293.57456475,885.46
432110.730888652,4504297.87353018,885.67
432091.130879396,4504301.68173787,885.83
432071.36484174,4504305.14722755,886.26
432051.608735222,4504308.14742912,886.5
432031.933962705,4504310.74680994,886.68
432012.370915121,4504313.16842982,886.66
431992.912671845,4504315.43095725,886.45
431973.658724073,4504317.57069199,885.82
431954.709595035,4504319.73560385,885.5
431936.014864416,4504321.83308924,884.94
431917.462386902,4504323.99446097,884.82
431898.959665604,4504326.17402899,884.28
431880.619604389,4504328.32423108,884.34
431862.505505543,4504330.3979701,884.27
431844.625149414,4504332.46960818,883.75
431826.687889373,4504334.5139029,883.45
431808.45930814,4504336.45854992,883.46
431790.015433351,4504338.0981534,883.11
431771.362232564,4504339.31169867,883.37
431752.434262829,4504339.91366178,883.84
