S,G
0.000000,-0.030952
23.423283,-0.030952
46.957890,-0.013597
70.511798,-0.021440
94.050908,-0.014869
117.585647,-0.060124
141.202630,-0.054198
164.958586,-0.048830
176.245187,-0.066007
200.208493,-0.030672
224.215168,-0.037490
248.188048,-0.009177
272.117049,-0.040119
295.917412,-0.015756
319.645387,-0.027815
343.329541,-0.027022
367.005843,-0.021963
390.651284,-0.029604
401.835074,-0.080921
425.469187,-0.028984
449.336555,-0.005028
473.164864,-0.014688
496.970449,-0.011342
520.651803,-0.002111
544.168625,-0.010418
567.577617,-0.019437
590.954405,-0.025239
614.353085,-0.025215
637.959881,-0.050409
649.534715,0.000000
673.228501,-0.016038
696.979064,-0.043999
720.763407,-0.044988
744.441048,-0.061662
768.112477,-0.036964
791.835811,-0.045314
815.596564,-0.033459
839.385910,-0.066416
863.357663,-0.041716
887.596417,-0.040019
912.111474,-0.053844
936.648588,-0.041366
961.114253,-0.030246
985.505683,-0.042228
1009.796137,-0.059694
1033.731887,-0.039481
1057.313755,-0.014842
1080.794100,-0.021294
1104.333435,-0.020816
1127.888673,0.003396
1151.231632,-0.020135
1174.266669,-0.018233
1184.684940,-0.007199
1207.339730,-0.021850
1229.748251,0.001562
1252.001561,0.021570
1274.022325,-0.002498
1295.842700,-0.003895
1305.783061,-0.003521
1327.407361,0.005549
1349.030112,-0.012487
1370.804659,0.017911
1392.707176,0.000457
1414.756115,-0.001361
1436.900137,0.010612
1446.891446,0.012010
1468.963050,-0.001812
1490.867064,-0.006392
1512.563787,-0.014288
1534.001973,-0.017959
1543.538172,-0.016778
1564.527226,-0.018105
1585.297627,-0.005537
1606.007515,-0.012554
1626.761678,0.004577
1635.877887,-0.003839
1656.605524,-0.017368
1677.544764,-0.004776
1698.789762,0.003766
1720.172788,-0.016134
1729.519106,0.013909
1751.108158,0.009032
1772.787342,0.008534
1794.542633,-0.012411
1816.626199,0.019019
1826.823059,0.023537
1849.286650,-0.012242
1871.751696,-0.005787
1894.307293,-0.001108
1917.009335,0.010792
1926.866823,0.008116
1949.494818,-0.012374
1972.219658,0.008361
1994.796792,0.005758
2004.146125,-0.051341
2026.062290,-0.050648
2047.620082,-0.022498
2056.597764,-0.028404
2077.825642,-0.005417
2099.110722,0.008222
2120.520486,0.018450
2142.169584,0.000924
2151.801904,-0.006748
2173.955722,-0.001580
2196.281944,0.022395
2218.812883,-0.007101
2229.010668,-0.021573
2251.951778,-0.005013
2275.079192,-0.022917
2298.496260,-0.006406
2322.152539,-0.010779
2332.518303,-0.016400
2356.245258,-0.019809
2379.843614,-0.021612
2403.399074,-0.021439
2426.833102,-0.024537
2437.255012,0.001919
2460.682059,-0.025398
2483.985113,-0.044844
2507.135863,-0.028941
2530.150102,-0.013253
2553.055463,-0.032089
2575.810915,-0.043726
2586.811648,-0.024544
2609.424218,-0.015699
2631.898815,-0.023582
2654.170407,-0.046472
2676.202279,-0.030410
2697.980866,-0.040866
2719.564957,-0.038686
2751.605550,-0.031679
2773.289458,-0.056263
2795.040130,-0.072641
2816.936078,-0.064167
2839.024096,-0.053423
2861.408196,-0.059864
2884.217380,-0.049322
2907.367051,-0.041469
2930.549646,-0.037528
2953.503882,-0.050971
2976.062181,-0.043221
2998.197650,-0.066183
3019.918827,-0.051102
3041.498854,-0.004171
3063.197172,-0.029265
3085.295349,-0.015612
3107.745442,-0.016926
3130.415257,-0.038377
3140.714191,0.010681
3164.045615,0.029360
3187.838069,0.012189
3211.917479,0.018481
3236.297186,0.010870
3247.503124,0.031680
3272.204022,0.043116
3296.957723,0.018381
3321.589672,-0.004872
