S,Z
0.000000,938.635000
23.423283,937.910000
46.957890,937.590000
70.511798,937.085000
94.050908,936.735000
117.585647,935.320000
141.202630,934.040000
164.958586,932.880000
176.245187,932.135000
200.208493,931.400000
224.215168,930.500000
248.188048,930.280000
272.117049,929.320000
295.917412,928.945000
319.645387,928.285000
343.329541,927.645000
367.005843,927.125000
390.651284,926.425000
401.835074,925.520000
425.469187,924.835000
449.336555,924.715000
473.164864,924.365000
496.970449,924.095000
520.651803,924.045000
544.168625,923.800000
567.577617,923.345000
590.954405,922.755000
614.353085,922.165000
637.959881,920.975000
649.534715,920.975000
673.228501,920.595000
696.979064,919.550000
720.763407,918.480000
744.441048,917.020000
768.112477,916.145000
791.835811,915.070000
815.596564,914.275000
839.385910,912.695000
863.357663,911.695000
887.596417,910.725000
912.111474,909.405000
936.648588,908.390000
961.114253,907.650000
985.505683,906.620000
1009.796137,905.170000
1033.731887,904.225000
1057.313755,903.875000
1080.794100,903.375000
1104.333435,902.885000
1127.888673,902.965000
1151.231632,902.495000
1174.266669,902.075000
1184.684940,902.000000
1207.339730,901.505000
1229.748251,901.540000
1252.001561,902.020000
1274.022325,901.965000
1295.842700,901.880000
1305.783061,901.845000
1327.407361,901.965000
1349.030112,901.695000
1370.804659,902.085000
1392.707176,902.095000
1414.756115,902.065000
1436.900137,902.300000
1446.891446,902.420000
1468.963050,902.380000
1490.867064,902.240000
1512.563787,901.930000
1534.001973,901.545000
1543.538172,901.385000
1564.527226,901.005000
1585.297627,900.890000
1606.007515,900.630000
1626.761678,900.725000
1635.877887,900.690000
1656.605524,900.330000
1677.544764,900.230000
1698.789762,900.310000
1720.172788,899.965000
1729.519106,900.095000
1751.108158,900.290000
1772.787342,900.475000
1794.542633,900.205000
1816.626199,900.625000
1826.823059,900.865000
1849.286650,900.590000
1871.751696,900.460000
1894.307293,900.435000
1917.009335,900.680000
1926.866823,900.760000
1949.494818,900.480000
1972.219658,900.670000
1994.796792,900.800000
2004.146125,900.320000
2026.062290,899.210000
2047.620082,898.725000
2056.597764,898.470000
2077.825642,898.355000
2099.110722,898.530000
2120.520486,898.925000
2142.169584,898.945000
2151.801904,898.880000
2173.955722,898.845000
2196.281944,899.345000
2218.812883,899.185000
2229.010668,898.965000
2251.951778,898.850000
2275.079192,898.320000
2298.496260,898.170000
2322.152539,897.915000
2332.518303,897.745000
2356.245258,897.275000
2379.843614,896.765000
2403.399074,896.260000
2426.833102,895.685000
2437.255012,895.705000
2460.682059,895.110000
2483.985113,894.065000
2507.135863,893.395000
2530.150102,893.090000
2553.055463,892.355000
2575.810915,891.360000
2586.811648,891.090000
2609.424218,890.735000
2631.898815,890.205000
2654.170407,889.170000
2676.202279,888.500000
2697.980866,887.610000
2719.564957,886.775000
2751.605550,885.760000
2773.289458,884.540000
2795.040130,882.960000
2816.936078,881.555000
2839.024096,880.375000
2861.408196,879.035000
2884.217380,877.910000
2907.367051,876.950000
2930.549646,876.080000
2953.503882,874.910000
2976.062181,873.935000
2998.197650,872.470000
3019.918827,871.360000
3041.498854,871.270000
3063.197172,870.635000
3085.295349,870.290000
3107.745442,869.910000
3130.415257,869.040000
3140.714191,869.150000
3164.045615,869.835000
3187.838069,870.125000
3211.917479,870.570000
3236.297186,870.835000
3247.503124,871.190000
3272.204022,872.255000
3296.957723,872.710000
3321.589672,872.590000
3346.033860,872.800000
3356.522979,873.195000
3380.530974,874.175000
3404.323170,874.880000
3427.712325,875.855000
3437.587087,876.150000
3460.266336,876.535000
3482.470458,877.290000
3504.293818,878.065000
3513.144382,878.430000
3534.109238,879.040000
3554.570646,879.470000
3562.655619,879.650000
3582.755218,880.305000
3602.583123,881.040000
3622.088528,881.505000
3630.561638,881.915000
3649.975144,882.445000
3669.039717,882.940000
3688.024116,883.360000
3707.177215,883.800000
3726.631461,884.415000
3746.443263,885.210000
3755.340751,885.620000
3775.315126,885.920000
3795.573579,886.530000
3815.893068,887.170000
3835.919760,887.360000
3844.878981,887.320000
3864.866125,887.860000
3884.869143,888.420000
3904.787433,888.945000
3924.588242,889.020000
3932.809584,888.785000
3952.591893,889.265000
3972.438919,889.640000
3980.723641,889.965000
4000.634096,890.480000
4020.530968,890.840000
4040.557916,891.235000
4049.274792,891.690000
4069.444447,892.240000
4089.478258,892.480000
4109.365093,892.945000
4129.049612,893.205000
4137.601971,893.290000
4157.331563,893.855000
4177.222814,894.475000
4197.508546,895.020000
4206.432611,895.400000
4227.192962,895.915000
4248.086802,896.440000
4268.877514,897.080000
4277.452599,896.995000
4298.221646,897.640000
4319.186906,898.305000
4327.894596,898.270000
4348.848733,898.760000
4369.877483,898.880000
4390.869107,899.240000
4399.923993,899.405000
4420.806986,899.655000
4441.443871,899.715000
4462.080582,899.995000
4470.769575,900.010000
4491.816970,900.210000
4513.024852,900.180000
4521.734605,900.110000
4542.990942,900.045000
4564.262684,899.920000
4585.687600,899.930000
4594.666707,899.825000
4616.379123,899.840000
4638.160195,899.490000
4647.228201,899.235000
4669.203150,898.910000
4691.157128,898.395000
4700.305510,898.175000
4722.245815,898.245000
4744.415401,898.375000
4766.786506,898.235000
4776.264726,898.470000
4799.333646,898.800000
4822.768744,899.105000
4846.319986,899.210000
4857.024904,899.625000
4881.017734,899.840000
4905.177255,900.360000
4929.347119,900.295000
4953.332503,900.695000
4977.145822,900.385000
5000.854656,899.775000
5011.498513,900.265000
5035.146667,899.775000
5058.739431,899.565000
5082.319511,899.760000
5092.453232,899.785000
5115.688359,899.970000
5138.727965,900.195000
