S,G
0.000000,-0.012708
22.820276,-0.012708
45.744510,-0.032716
68.494590,-0.009670
91.202383,-0.010569
113.954485,0.014504
136.675988,-0.075259
159.299247,-0.083984
181.833937,-0.083427
204.407137,-0.066007
227.083283,-0.044540
249.773002,-0.050684
272.572738,-0.013597
295.357847,-0.074610
317.986061,-0.030493
340.482227,-0.056454
362.853959,-0.047381
385.167995,-0.051537
407.574067,-0.040168
429.941648,-0.080921
452.273985,-0.058659
474.820807,-0.015080
497.376909,-0.015517
520.036801,-0.015887
542.549838,0.006663
564.930155,-0.010277
587.358771,-0.023631
609.834062,-0.027141
632.343206,-0.031098
655.209790,-0.079592
678.359456,0.000000
701.359401,-0.002609
724.265809,-0.058935
747.311457,-0.047731
770.531438,-0.046081
794.056438,-0.020404
817.795425,-0.042546
841.636234,-0.005453
865.640854,-0.078735
889.814328,-0.044677
914.122871,-0.036201
938.634617,-0.058339
963.241851,-0.046734
987.792050,-0.030957
1012.231664,-0.060148
1036.387167,-0.086523
1059.990802,-0.058042
1082.970965,-0.024369
1105.457443,-0.034243
1127.564225,-0.040711
1149.337186,0.002756
1170.812415,-0.033061
1191.884095,-0.040813
1212.720637,-0.007199
1233.242707,-0.037033
1253.496983,0.005925
1273.639440,0.039717
1293.745657,-0.009947
1313.770906,-0.010986
1333.651627,-0.003521
1353.430131,0.003539
1373.165517,-0.023815
1392.992245,0.015635
1412.804809,0.010599
1432.771352,0.008013
1452.838884,0.021428
1472.821500,0.012010
1492.667242,0.009070
1512.379600,-0.001015
1531.968941,-0.010720
1551.341420,-0.032520
1570.413818,-0.016778
1589.225846,-0.029768
1607.903799,-0.006425
1626.534452,-0.028984
1645.000128,0.003249
1663.232544,-0.003839
1681.232511,-0.028889
1699.285888,-0.016617
1717.617905,0.000545
1736.134514,-0.018902
1754.827149,0.013909
1773.764688,0.024818
1792.891571,0.026141
1812.320643,-0.023161
1832.276151,0.048107
1852.669870,0.023537
1873.089911,-0.019589
1893.281203,-0.014858
1913.249908,-0.002504
1933.161760,0.018582
1952.876739,0.008116
1972.434691,-0.024031
1991.941079,0.001538
2011.168342,0.022884
2029.867007,-0.051341
2048.103540,-0.103638
2066.230925,-0.040271
2084.186288,-0.028404
2102.208144,-0.002220
2120.564284,0.018522
2139.172894,0.056425
2158.097490,-0.002642
2177.362129,-0.006748
2196.985850,0.011211
2216.811960,0.049430
2236.824881,-0.011493
2257.220452,-0.021573
2277.725236,0.001463
2298.255251,-0.051145
2318.913321,-0.002904
2339.650654,-0.003858
2360.382183,-0.016400
2380.977764,-0.014081
2401.379372,-0.025488
2421.824798,-0.017119
2442.436835,-0.010188
2463.280654,0.001919
2484.352695,-0.018033
2505.634680,-0.052627
2527.025042,-0.008883
2548.687377,0.017080
2570.546190,-0.027449
2592.477146,-0.050613
2614.478610,-0.024544
2636.463697,-0.006368
2658.511310,-0.009071
2680.566428,-0.057583
2702.572817,-0.024084
2724.562750,-0.045475
2746.562450,-0.032273
2768.577345,-0.023620
2790.698765,-0.043849
2812.909024,-0.090048
2835.265360,-0.055913
2857.813003,-0.034593
2880.602025,-0.070209
2903.570579,-0.056599
2926.844660,-0.033943
2950.310403,-0.031961
2973.670260,-0.061644
2996.658630,-0.047415
3019.181124,-0.097680
3041.132439,-0.062866
3062.673676,0.022747
3083.805400,-0.050635
3104.636682,-0.040804
3125.217893,-0.038385
3145.641899,-0.080787
3166.239765,0.010681
3187.520132,0.061089
3209.260650,0.037258
3231.182241,0.003193
3253.342760,-0.022563
3275.754638,0.031680
3298.149068,0.058050
3320.233438,0.000453
3341.955830,-0.045575
3363.340008,-0.027123
3384.318245,0.037658
3405.035560,0.042477
3425.615403,0.012148
3445.841617,0.036092
3465.591142,0.029874
3484.903525,0.007767
3503.817785,0.031722
3522.228470,0.021183
3539.929597,0.041240
3556.848806,0.020096
3573.171811,0.000613
3589.341757,0.022264
3605.715939,0.053743
3622.259909,0.051378
3638.949723,0.020372
3655.895944,0.048388
3673.146581,0.031303
3690.425246,0.040512
3708.027073,0.033519
3726.145373,0.044154
3744.302319,0.029741
3762.320385,0.040515
3780.115362,0.046080
3797.969967,0.010642
3816.245726,0.032283
3834.763190,0.053463
3852.877055,-0.003864
3870.795498,-0.004465
3888.694633,0.020671
3906.315434,0.009080
3923.410083,0.027494
3940.040859,-0.013830
3956.483541,-0.028584
3972.892299,0.020721
3989.294108,0.009145
4005.863553,0.039229
4022.359013,0.031524
4038.968318,0.007225
4056.033405,0.025784
4073.467158,0.052198
4091.189095,0.049092
4109.076114,0.009504
4126.925185,0.028573
4144.340562,-0.001723
4161.445281,0.009939
4178.739945,0.037584
4195.996083,0.039406
4213.485162,0.017725
4231.333292,0.042581
4249.210039,0.019019
4266.980764,0.025323
4284.406330,0.031563
4301.556501,-0.009912
4318.790755,0.033074
4336.266227,0.035478
4353.681607,-0.004019
4371.203797,0.033101
4389.003896,-0.001685
4406.960871,0.028401
4425.070643,0.018222
4443.116708,-0.006096
4460.709019,0.001705
4477.976130,0.020270
4495.354118,0.001726
4513.052918,0.021470
4530.646853,0.004547
4548.066356,-0.008037
4565.420589,0.004610
4582.742616,-0.000577
4600.283794,0.013682
4618.242009,-0.011694
4636.260355,0.017205
4654.304485,-0.026047
4672.440499,-0.028121
4690.804343,-0.009802
4709.211708,-0.030966
4727.508472,-0.024048
4745.776210,0.012591
4764.139388,0.016882
4782.618185,-0.003247
4801.574623,0.024794
4821.341035,0.029849
4841.947443,0.021353
4862.902688,0.012407
4884.312525,0.038767
4906.138155,0.020160
4928.211147,0.033525
4950.307251,-0.007241
4972.324390,0.029068
4994.005967,-0.047045
5015.448336,-0.062027
5036.736050,0.046036
5057.990702,-0.039991
5079.002918,-0.035694
5099.688960,-0.004834
5119.956400,0.002467
5139.861852,-0.011555
5159.275238,-0.014423
5178.240726,0.037436
5196.867192,-0.007516
5215.593536,0.040051
5234.402615,0.044128
5252.941590,0.011867
5271.554782,0.097243
5290.664953,0.111982
5309.926122,0.078396
5328.839091,-0.000529
5347.281646,0.027653
5365.253442,-0.000556
5382.932440,0.001131
5400.193460,-0.040554
5416.963607,-0.005367
5433.168065,0.003703
5449.026238,-0.020809
5465.058537,-0.002495
5481.708098,0.034836
5498.906590,-0.001744
5516.100184,0.000000
5533.047098,-0.002360
5549.502637,-0.021269
5565.534847,-0.023079
5581.197877,-0.047245
5596.796933,0.018591
5612.988984,0.043849
5630.327984,-0.007498
5648.753447,0.010312
5668.263340,0.001538
5688.278849,0.016487
5708.462062,-0.051528
5728.900621,-0.011743
5749.749666,-0.007195
5770.675411,-0.044921
5791.674903,-0.031906
5813.013864,-0.008435
5834.605492,0.019452
5856.204148,-0.031020
5877.847329,-0.010627
5899.543461,-0.003687
5921.058524,-0.040902
5942.401535,-0.010776
5963.663673,-0.024927
5985.013013,-0.021546
6006.208467,0.011795
6026.604253,-0.032360
6046.151121,0.005628
6065.308584,0.003654
6084.443351,0.019859
6103.793338,0.010853
6123.430756,0.014768
6143.428562,0.029003
6163.663209,0.031629
6184.117814,0.036178
6204.609585,0.020008
6225.519664,0.027738
6247.131506,0.062466
6269.020561,-0.031979
6290.711994,-0.008759
6312.314610,-0.014813
6333.859171,-0.001857
6355.580614,-0.026241
6377.034629,-0.006526
6398.304555,-0.000940
6419.590746,-0.007986
6441.036992,0.014455
6462.547199,-0.001395
6484.129337,0.016680
6505.694776,0.018084
6526.854073,-0.006144
6547.479873,-0.005818
6567.639006,0.010913
6587.271288,-0.016809
6606.442426,-0.010954
6625.310775,-0.006360
6644.020876,0.018706
6662.739965,0.042203
6681.970450,-0.014040
6701.823856,0.050369
6722.359225,0.013148
6743.665778,0.014080
6765.567302,0.035614
6787.661939,0.017651
6810.111012,0.001782
6832.664725,-0.013745
6855.002105,0.009849
6876.909160,-0.012325
6898.203605,-0.029585
6918.749718,0.021902
6938.731862,-0.028025
6958.465002,0.019257
6978.175622,0.017757
6998.079144,0.009546
7017.952819,-0.007044
7037.732469,-0.021740
7057.658753,0.024089
7077.677105,-0.005495
7097.611818,0.011538
7117.431481,0.045409
7137.582976,0.026301
7157.621082,-0.006488
7177.267399,0.021887
7196.571571,0.022275
7215.765920,0.005210
7234.896771,0.012545
7254.117716,0.016128
7273.405345,-0.015036
7292.783564,0.037155
7312.066048,0.031116
7331.305975,0.012474
7350.441027,-0.016201
7369.424706,0.018437
7388.361424,0.014786
7407.218954,0.007424
7426.018976,0.020745
7444.706248,0.005886
7463.362131,-0.002144
7482.258632,0.037044
7501.396483,0.012018
7520.411252,0.025244
7539.485747,0.026213
7558.422944,-0.018482
7577.214231,-0.023947
7595.976912,-0.000533
7614.700072,-0.010682
7633.541394,0.014861
7652.616955,0.015203
7671.539223,0.010041
7690.297103,-0.006397
7708.968233,-0.001071
7727.580239,0.012358
7746.325705,0.018671
7765.092467,0.008526
7783.982408,0.007411
7802.951514,0.004217
7821.650080,0.025670
7840.130097,0.017316
7858.515166,-0.018493
7876.953439,-0.010305
7895.502944,0.029650
7914.321214,0.007971
7933.087037,0.000533
7951.781551,-0.001070
7970.351189,-0.007001
7988.932431,0.009687
8007.633023,0.023529
