S,Z
0.000000,932.390000
22.820276,932.100000
45.744510,931.350000
68.494590,931.130000
91.202383,930.890000
113.954485,931.220000
136.675988,929.510000
159.299247,927.610000
181.833937,925.730000
204.407137,924.240000
227.083283,923.230000
249.773002,922.080000
272.572738,921.770000
295.357847,920.070000
317.986061,919.380000
340.482227,918.110000
362.853959,917.050000
385.167995,915.900000
407.574067,915.000000
429.941648,913.190000
452.273985,911.880000
474.820807,911.540000
497.376909,911.190000
520.036801,910.830000
542.549838,910.980000
564.930155,910.750000
587.358771,910.220000
609.834062,909.610000
632.343206,908.910000
655.209790,907.090000
678.359456,907.090000
701.359401,907.030000
724.265809,905.680000
747.311457,904.580000
770.531438,903.510000
794.056438,903.030000
817.795425,902.020000
841.636234,901.890000
865.640854,900.000000
889.814328,898.920000
914.122871,898.040000
938.634617,896.610000
963.241851,895.460000
987.792050,894.700000
1012.231664,893.230000
1036.387167,891.140000
1059.990802,889.770000
1082.970965,889.210000
1105.457443,888.440000
1127.564225,887.540000
1149.337186,887.600000
1170.812415,886.890000
1191.884095,886.030000
1212.720637,885.880000
1233.242707,885.120000
1253.496983,885.240000
1273.639440,886.040000
1293.745657,885.840000
1313.770906,885.620000
1333.651627,885.550000
1353.430131,885.620000
1373.165517,885.150000
1392.992245,885.460000
1412.804809,885.670000
1432.771352,885.830000
1452.838884,886.260000
1472.821500,886.500000
1492.667242,886.680000
1512.379600,886.660000
1531.968941,886.450000
1551.341420,885.820000
1570.413818,885.500000
1589.225846,884.940000
1607.903799,884.820000
1626.534452,884.280000
1645.000128,884.340000
1663.232544,884.270000
1681.232511,883.750000
1699.285888,883.450000
1717.617905,883.460000
1736.134514,883.110000
1754.827149,883.370000
1773.764688,883.840000
1792.891571,884.340000
1812.320643,883.890000
1832.276151,884.850000
1852.669870,885.330000
1873.089911,884.930000
1893.281203,884.630000
1913.249908,884.580000
1933.161760,884.950000
1952.876739,885.110000
1972.434691,884.640000
1991.941079,884.670000
2011.168342,885.110000
2029.867007,884.150000
2048.103540,882.260000
2066.230925,881.530000
2084.186288,881.020000
2102.208144,880.980000
2120.564284,881.320000
2139.172894,882.370000
2158.097490,882.320000
2177.362129,882.190000
2196.985850,882.410000
2216.811960,883.390000
2236.824881,883.160000
2257.220452,882.720000
2277.725236,882.750000
2298.255251,881.700000
2318.913321,881.640000
2339.650654,881.560000
2360.382183,881.220000
2380.977764,880.930000
2401.379372,880.410000
2421.824798,880.060000
2442.436835,879.850000
2463.280654,879.890000
2484.352695,879.510000
2505.634680,878.390000
2527.025042,878.200000
2548.687377,878.570000
2570.546190,877.970000
2592.477146,876.860000
2614.478610,876.320000
2636.463697,876.180000
2658.511310,875.980000
2680.566428,874.710000
2702.572817,874.180000
2724.562750,873.180000
2746.562450,872.470000
2768.577345,871.950000
2790.698765,870.980000
2812.909024,868.980000
2835.265360,867.730000
2857.813003,866.950000
2880.602025,865.350000
2903.570579,864.050000
2926.844660,863.260000
2950.310403,862.510000
2973.670260,861.070000
2996.658630,859.980000
3019.181124,857.780000
3041.132439,856.400000
3062.673676,856.890000
3083.805400,855.820000
3104.636682,854.970000
3125.217893,854.180000
3145.641899,852.530000
3166.239765,852.750000
3187.520132,854.050000
3209.260650,854.860000
3231.182241,854.930000
3253.342760,854.430000
3275.754638,855.140000
3298.149068,856.440000
3320.233438,856.450000
3341.955830,855.460000
3363.340008,854.880000
3384.318245,855.670000
3405.035560,856.550000
3425.615403,856.800000
3445.841617,857.530000
3465.591142,858.120000
3484.903525,858.270000
3503.817785,858.870000
3522.228470,859.260000
3539.929597,859.990000
3556.848806,860.330000
3573.171811,860.340000
3589.341757,860.700000
3605.715939,861.580000
3622.259909,862.430000
3638.949723,862.770000
3655.895944,863.590000
3673.146581,864.130000
3690.425246,864.830000
3708.027073,865.420000
3726.145373,866.220000
3744.302319,866.760000
3762.320385,867.490000
3780.115362,868.310000
3797.969967,868.500000
3816.245726,869.090000
3834.763190,870.080000
3852.877055,870.010000
3870.795498,869.930000
3888.694633,870.300000
3906.315434,870.460000
3923.410083,870.930000
3940.040859,870.700000
3956.483541,870.230000
3972.892299,870.570000
3989.294108,870.720000
4005.863553,871.370000
4022.359013,871.890000
4038.968318,872.010000
4056.033405,872.450000
4073.467158,873.360000
4091.189095,874.230000
4109.076114,874.400000
4126.925185,874.910000
4144.340562,874.880000
4161.445281,875.050000
4178.739945,875.700000
4195.996083,876.380000
4213.485162,876.690000
4231.333292,877.450000
4249.210039,877.790000
