X,Y,ele
421938.906526319,4505637.13058844,965.85
421955.401995068,4505633.16052564,965.77
421972.678435925,4505628.69839584,965.66
421990.752181841,4505623.94877258,965.61
422009.335530549,4505619.16591853,965.45
422028.096431699,4505614.42777424,965.07
422046.752393022,4505609.81175642,965.25
422065.083900968,4505605.32015788,965.22
422083.011974884,4505600.85144658,965.38
422100.664282397,4505596.42289749,965.49
422118.279826666,4505591.86450806,965.85
422136.126649721,4505587.07109664,965.95
422154.34803728,4505582.1993519,966.23
422172.892373794,4505577.05441497,966.59
422191.73831592,4505571.62719765,967.13
422210.790884486,4505565.63953177,967.74
422229.96431936,4505559.01789107,968.52
422249.11982652,4505552.03357076,969.08
422267.854721391,4505544.78385395,970.8
422286.124576426,4505537.08308097,970.99
422304.177058951,4505528.91006065,972.15
422322.218013175,4505520.30915399,972.98
422340.250760358,4505511.5967163,973.49
422357.923355367,4505502.98113471,974.04
422375.179731423,4505494.518846,974.77
422392.37959447,4505486.0664926,975.59
422409.796978119,4505477.41649275,976.29
422427.629699567,4505468.52024215,976.93
422445.8505916,4505459.48972282,977.31
422464.219173895,4505450.35533719,977.65
422482.614380556,4505441.05321642,978.02
422501.297750794,4505431.53412491,978.37
422520.071866938,4505421.883844,978.8
422538.759887761,4505412.12285963,979.02
422557.507715321,4505401.97976466,979.41
422576.395083048,4505390.9512613,979.78
422595.4418003,4505378.89753934,980.06
422614.501874453,4505366.08069212,980.78
422633.538245194,4505352.34290579,981.37
422652.373986348,4505337.69533822,981.74
422671.023441093,4505322.15643417,982.24
422689.551243296,4505305.80928224,982.55
422708.065935342,4505288.87606388,983.01
422726.550251987,4505271.73850471,983.43
422744.912335912,4505254.41614485,983.76
422763.257239197,4505236.79625101,984.33
422781.760465347,4505218.72808955,984.75
422800.492839256,4505200.2109364,984.89
422819.304589448,4505181.14399218,984.92
422837.86042073,4505161.97740018,984.44
422856.036050343,4505143.01953593,984.07
422873.891629233,4505123.92545028,983.57
422891.555024042,4505104.73104816,983.27
422909.229580058,4505085.23880338,982.91
422927.01339725,4505065.3453394,982.19
422944.697956999,4505045.43434459,981.29
422962.488756973,4505025.51297805,980.97
422980.741339283,4505005.71714575,980.07
422999.497004058,4504986.61404479,979.31
423018.786018253,4504968.38947498,978.78
423038.494661646,4504951.00740603,978.38
423058.877030676,4504934.38144511,978.06
423080.131430776,4504918.50955427,977.8
423102.1158208,4504903.35598786,977.5
423124.648275874,4504889.13665561,977.59
423147.532425014,4504876.03970475,977.08
423170.531642077,4504863.78842217,977.22
423193.545434525,4504852.25358031,977.28
