S,G
0.000000,-0.004715
16.966493,-0.004715
34.809868,-0.006165
53.497275,-0.002676
72.686245,-0.008338
92.036217,-0.019638
111.254763,0.009366
130.128518,-0.001590
148.605131,0.008660
166.804472,0.006044
185.000249,0.019785
203.479586,0.005411
222.340998,0.014845
241.585810,0.018706
261.197649,0.027534
281.168941,0.030544
301.453584,0.038453
321.842654,0.027466
341.931324,0.085620
361.757809,0.009583
381.574226,0.058537
401.560512,0.041528
421.587657,0.025465
441.248503,0.027974
460.468099,0.037982
479.632586,0.042787
499.079636,0.035995
519.008239,0.032115
539.344197,0.018686
559.858626,0.016574
580.472046,0.017949
601.440628,0.016692
622.549758,0.020370
643.633376,0.010435
664.949178,0.018296
686.820633,0.016917
709.361033,0.012422
732.329664,0.031347
755.805400,0.025132
779.666171,0.015507
803.940843,0.020598
828.649320,0.012546
853.739710,0.018334
878.946176,0.016662
904.189596,0.013073
929.625715,0.022409
955.487421,0.016240
981.827254,0.005315
1008.612143,0.001120
1035.289421,-0.017993
1061.552591,-0.014088
1087.694623,-0.019126
1113.779495,-0.011501
1140.091803,-0.013682
1166.775395,-0.026983
1193.406042,-0.033796
1220.115093,-0.011981
1247.041506,-0.033424
1273.812823,-0.028389
1300.349610,-0.019972
1326.628250,-0.015221
1352.931549,-0.012166
1379.458261,-0.009801
1406.159272,-0.011236
1432.803238,0.003378
1459.170157,-0.019342
1485.228896,0.005372
1510.971608,0.002331
1536.538148,-0.021904
1562.164548,0.002341
1588.057128,-0.006952
1614.334259,-0.011797
1640.791332,-0.005292
1667.368358,-0.005644
1694.115734,-0.019815
1720.831949,-0.019464
1747.441964,-0.014656
1774.009013,-0.025972
1800.638753,-0.016523
1827.204901,-0.015057
1853.601409,-0.025761
1879.857221,-0.032755
1906.136317,0.000761
1932.605388,-0.009823
1959.141117,-0.016581
1985.507215,-0.019343
2011.763947,-0.023613
2038.050443,-0.013315
2064.568671,-0.013576
2091.189791,-0.012396
2117.706539,-0.026398
2144.302933,-0.010904
2171.168198,0.004095
2198.204874,0.001110
2225.058242,-0.012289
2251.853785,-0.003359
2278.582810,0.005986
2305.259671,-0.005623
2331.930366,0.017622
2358.886876,-0.006306
2385.939698,-0.008502
2412.848002,-0.001858
2439.501566,-0.011256
2465.966611,-0.001889
2492.504735,0.001507
2519.217470,-0.004118
2545.799815,-0.009029
2572.296050,-0.003774
2598.968109,0.001125
2625.799915,0.001863
2652.760955,-0.015207
2679.759707,0.007037
2706.905534,0.011051
2733.975205,-0.006280
2760.903906,-0.006684
2787.718654,0.002238
2814.398995,-0.001874
2840.790876,-0.002652
2866.997154,0.009921
2892.892620,0.018150
2918.286546,0.005119
2943.194678,0.007227
2967.745955,0.019144
2992.283816,0.010188
3016.826501,0.012631
3041.114113,0.005764
3065.302481,0.007855
3089.695867,0.004919
3114.553070,-0.000402
3139.866483,0.002370
3165.679482,0.003487
3191.589659,-0.005789
