S,Z
0.000000,965.850000
16.966493,965.770000
34.809868,965.660000
53.497275,965.610000
72.686245,965.450000
92.036217,965.070000
111.254763,965.250000
130.128518,965.220000
148.605131,965.380000
166.804472,965.490000
185.000249,965.850000
203.479586,965.950000
222.340998,966.230000
241.585810,966.590000
261.197649,967.130000
281.168941,967.740000
301.453584,968.520000
321.842654,969.080000
341.931324,970.800000
361.757809,970.990000
381.574226,972.150000
401.560512,972.980000
421.587657,973.490000
441.248503,974.040000
460.468099,974.770000
479.632586,975.590000
499.079636,976.290000
519.008239,976.930000
539.344197,977.310000
559.858626,977.650000
580.472046,978.020000
601.440628,978.370000
622.549758,978.800000
643.633376,979.020000
664.949178,979.410000
686.820633,979.780000
709.361033,980.060000
732.329664,980.780000
755.805400,981.370000
779.666171,981.740000
803.940843,982.240000
828.649320,982.550000
853.739710,983.010000
878.946176,983.430000
904.189596,983.760000
929.625715,984.330000
955.487421,984.750000
981.827254,984.890000
1008.612143,984.920000
1035.289421,984.440000
1061.552591,984.070000
1087.694623,983.570000
1113.779495,983.270000
1140.091803,982.910000
1166.775395,982.190000
1193.406042,981.290000
1220.115093,980.970000
1247.041506,980.070000
1273.812823,979.310000
1300.349610,978.780000
1326.628250,978.380000
1352.931549,978.060000
1379.458261,977.800000
1406.159272,977.500000
1432.803238,977.590000
1459.170157,977.080000
1485.228896,977.220000
1510.971608,977.280000
1536.538148,976.720000
1562.164548,976.780000
1588.057128,976.600000
1614.334259,976.290000
1640.791332,976.150000
1667.368358,976.000000
1694.115734,975.470000
1720.831949,974.950000
1747.441964,974.560000
1774.009013,973.870000
1800.638753,973.430000
1827.204901,973.030000
1853.601409,972.350000
1879.857221,971.490000
1906.136317,971.510000
1932.605388,971.250000
1959.141117,970.810000
1985.507215,970.300000
2011.763947,969.680000
2038.050443,969.330000
2064.568671,968.970000
2091.189791,968.640000
2117.706539,967.940000
2144.302933,967.650000
2171.168198,967.760000
2198.204874,967.790000
2225.058242,967.460000
2251.853785,967.370000
2278.582810,967.530000
2305.259671,967.380000
2331.930366,967.850000
2358.886876,967.680000
2385.939698,967.450000
2412.848002,967.400000
2439.501566,967.100000
2465.966611,967.050000
2492.504735,967.090000
2519.217470,966.980000
2545.799815,966.740000
2572.296050,966.640000
2598.968109,966.670000
2625.799915,966.720000
2652.760955,966.310000
2679.759707,966.500000
2706.905534,966.800000
2733.975205,966.630000
2760.903906,966.450000
2787.718654,966.510000
2814.398995,966.460000
2840.790876,966.390000
2866.997154,966.650000
2892.892620,967.120000
2918.286546,967.250000
2943.194678,967.430000
2967.745955,967.900000
2992.283816,968.150000
3016.826501,968.460000
3041.114113,968.600000
3065.302481,968.790000
3089.695867,968.910000
3114.553070,968.900000
3139.866483,968.960000
3165.679482,969.050000
3191.589659,968.900000
3217.537047,968.850000
3243.718267,968.880000
3270.337363,968.940000
3297.148430,968.660000
3324.013788,968.260000
3350.885818,967.890000
3377.500239,967.660000
3403.816735,967.510000
3429.938528,967.080000
3455.772591,966.590000
3481.339037,966.290000
3506.731152,965.830000
3531.951259,965.270000
3557.056404,964.260000
3582.206182,963.300000
3607.509055,962.410000
3632.866596,961.360000
3658.370280,960.280000
3683.948017,958.060000
3709.524027,957.010000
3735.329792,955.900000
3761.745475,954.960000
3788.950415,954.110000
3816.590496,952.910000
3844.503711,951.480000
3873.260617,950.760000
3903.315071,950.240000
3934.745895,949.560000
3967.510221,949.050000
4001.527269,949.650000
4036.087044,946.540000
4070.583734,944.680000
4104.874060,943.390000
4138.611786,941.720000
4171.615897,940.500000
4204.023847,939.680000
4236.065832,938.860000
4267.656265,938.300000
4298.830648,938.210000
4329.729119,937.970000
4360.214477,937.390000
4390.198165,937.180000
4419.878951,936.990000
4449.425201,936.880000
4479.013308,936.580000
4508.578309,936.310000
4537.918852,936.000000
4566.947776,936.280000
4595.992906,936.190000
4625.134491,935.940000
4654.320624,935.700000
4683.576372,935.460000
4712.789554,935.320000
4741.940060,935.110000
4771.251063,935.360000
4800.666485,935.260000
4830.048652,935.070000
4859.595192,934.910000
4889.389646,934.360000
4919.163725,933.750000
4948.955334,933.330000
4978.974483,933.290000
5009.296600,932.910000
5039.704299,932.440000
5069.970228,931.670000
5100.301620,931.540000
5130.638291,931.110000
5160.917653,930.500000
5191.301091,929.880000
5221.631183,929.600000
5251.923708,929.360000
5282.250057,928.510000
5312.379035,928.210000
5342.485003,927.910000
5372.587275,927.300000
5402.559296,926.910000
5432.441554,926.870000
5462.284348,927.020000
5491.963154,926.840000
5521.542907,926.850000
5551.134569,926.980000
5580.555020,926.930000
5609.733778,926.800000
5638.989540,926.900000
5668.431067,926.380000
5697.897910,925.950000
5727.473825,925.470000
5757.361173,924.930000
5787.386279,924.300000
5817.443802,923.970000
5847.361321,923.370000
5876.957368,922.860000
5906.187496,922.520000
5935.237441,922.510000
5964.069376,922.520000
5992.476200,922.520000
6020.188898,922.470000
6047.357916,922.490000
6074.137947,922.150000
6100.652000,921.970000
6127.132563,921.830000
6153.604989,921.490000
6179.993530,920.900000
6206.196352,920.440000
6232.278095,919.930000
6258.207914,919.480000
6283.994957,919.230000
6309.834338,918.790000
6335.667597,918.430000
6361.439109,918.210000
6387.009566,918.010000
6412.188901,917.940000
6436.831438,918.030000
6460.946912,918.250000
6484.549571,918.680000
6507.764280,919.070000
6530.842468,919.550000
6553.825271,920.350000
6576.560961,920.920000
6599.410125,921.360000
6622.482839,922.930000
6645.377060,923.300000
6667.980838,923.770000
6690.396426,924.390000
6712.449069,924.650000
6734.374885,924.820000
6756.284726,925.130000
6778.274335,925.460000
6800.577963,925.690000
6823.350724,925.780000
6846.648469,925.760000
6870.583648,925.750000
6894.952942,925.520000
6919.481862,925.110000
6944.128990,924.660000
6968.972506,923.940000
6994.251061,923.610000
7020.000038,922.930000
7046.083337,921.850000
7072.352497,920.950000
7098.837542,920.000000
7125.547235,919.200000
7152.213145,918.470000
7178.778850,917.870000
7205.253100,917.380000
7231.426433,917.050000
7257.468179,917.180000
7283.443477,917.070000
7309.388700,916.670000
7335.342329,916.510000
7361.585961,916.480000
7387.832069,916.180000
7413.992436,916.190000
7440.144815,916.240000
7466.412951,916.070000
7492.785887,916.000000
7519.051075,916.220000
7545.028023,916.270000
7570.641914,916.360000
7596.143115,916.820000
7621.729227,917.290000
7647.247264,917.520000
7672.653762,917.800000
7697.962502,918.020000
7723.184062,918.260000
7748.342621,918.470000
7773.165088,918.610000
7797.561210,918.590000
7821.571790,918.380000
7845.258094,918.290000
7868.980841,917.680000
7893.008719,917.470000
7917.266174,917.200000
7941.652768,916.800000
7966.110036,916.090000
7990.416133,915.370000
8014.586194,914.640000
8038.612395,914.040000
