S,G
0.000000,-0.031701
18.296230,-0.031701
36.721889,-0.031478
55.394742,-0.037488
74.115982,-0.034186
92.986394,-0.033916
111.890047,-0.027243
131.149586,-0.036346
150.507748,-0.028153
179.227073,-0.024200
198.779741,-0.018923
218.284208,-0.012561
237.773499,-0.014110
257.173925,-0.009794
276.455953,-0.007520
295.614681,-0.008090
314.655566,-0.007878
333.572153,-0.004229
352.349216,-0.006657
379.985791,-0.010855
398.462382,-0.006495
416.794980,-0.006546
435.046186,-0.006849
453.202204,-0.007436
471.277951,-0.006086
489.192755,-0.007815
507.129419,-0.010314
525.018933,-0.013136
542.945185,-0.018130
561.032955,-0.021838
579.140636,-0.023195
597.328644,-0.043985
615.686948,-0.027780
634.193077,-0.032422
652.850282,-0.033499
671.660283,-0.034290
690.644851,-0.043193
719.005672,-0.046367
738.273014,-0.049047
757.687239,-0.051251
777.275062,-0.052073
797.000179,-0.052471
816.862088,-0.050851
836.818320,-0.054870
866.166874,-0.048214
886.530612,-0.041004
906.953930,-0.038436
927.371597,-0.035019
947.799505,-0.031574
968.265020,-0.027607
998.579367,-0.023091
1019.340155,-0.017822
1040.114238,-0.019495
1060.896144,-0.009864
1081.643366,-0.007471
1102.385847,-0.004098
1123.140139,-0.000241
1143.846421,0.003864
1164.492237,0.004601
1185.071016,0.005588
1205.576816,0.007071
1226.029190,0.005867
1246.414279,0.005151
1266.763881,0.003686
1287.092773,0.000984
1307.437999,-0.000737
1327.791734,-0.001965
1348.162993,-0.004418
1368.500968,-0.005900
1388.792110,-0.004928
1409.024862,-0.005437
1429.194000,-0.006445
1449.290913,-0.006717
1469.346398,-0.007479
1489.331309,-0.005754
1509.248804,-0.004017
1529.069088,-0.006054
1548.831365,-0.006831
1568.601404,-0.003794
1588.385909,-0.003791
1608.170853,-0.007329
1627.994748,-0.004288
1647.793696,-0.007324
1667.537172,-0.004052
1687.200287,-0.006103
1706.776420,-0.005108
1726.249196,-0.006162
1745.649282,-0.005670
1764.909316,-0.004413
1784.028054,-0.006800
1802.984855,-0.005275
1821.820413,-0.005840
1840.621334,-0.007446
1868.174501,-0.005988
1886.806813,-0.006172
1905.399960,-0.005647
1923.997913,-0.004570
1942.667962,-0.004553
1961.358134,-0.004548
1988.696570,-0.005487
2007.493545,-0.005852
2026.322780,-0.005045
2045.165372,-0.006369
2064.024238,-0.005568
2082.885952,-0.005037
2110.740821,-0.005565
2129.699936,-0.005275
2148.677814,-0.002108
2167.650216,-0.006325
2186.618385,-0.008435
2205.610768,-0.010004
2224.623638,-0.009730
2243.651949,-0.013927
2262.660879,-0.014993
2281.679419,-0.018140
2300.725965,-0.018901
2319.795779,-0.021762
2338.879579,-0.022532
2357.977582,-0.025134
2377.083343,-0.026955
2396.234929,-0.029240
2415.436972,-0.028903
2444.030541,-0.033574
2463.362763,-0.033105
2482.768152,-0.032465
2502.237118,-0.035698
2521.771564,-0.035066
2541.375725,-0.034687
2561.021063,-0.033341
2580.661353,-0.034877
2600.318633,-0.036119
2619.966109,-0.036137
2648.464656,-0.035967
2667.955354,-0.041225
2687.204288,-0.043275
2706.767152,-0.046440
2734.645933,-0.054701
2754.413373,-0.063741
2774.492301,-0.060013
2803.862006,-0.059926
2824.655581,-0.058191
2845.702678,-0.054402
2866.970311,-0.050076
2897.963805,-0.045493
2919.647883,-0.040352
2941.434455,-0.034654
2963.275536,-0.030218
2995.055692,-0.026432
3017.078086,-0.019753
3039.121812,-0.017465
3061.189431,-0.011555
3083.314008,-0.009040
3116.002414,-0.000612
3138.192042,0.002028
3160.354890,0.007219
3182.428569,0.010873
3204.361085,0.020290
3226.149826,0.019964
3257.777890,0.027349
3279.335204,0.031080
3300.775902,0.036846
3322.061388,0.041108
3343.152216,0.043858
3364.032700,0.046934
3394.399657,0.045279
3414.822527,0.045048
3435.043228,0.045498
3455.082439,0.043914
3474.974682,0.040217
3494.723055,0.038991
3514.321349,0.038524
3533.796688,0.034402
3553.161079,0.033309
3572.447561,0.030591
3591.641911,0.029436
3610.780465,0.026387
3629.871918,0.025666
3648.915724,0.024155
3667.940627,0.022076
3686.945721,0.022362
3705.941132,0.020268
3724.932510,0.022905
3743.924469,0.021325
3762.931787,0.020518
