S,Z
0.000000,897.710000
18.296230,897.130000
36.721889,896.550000
55.394742,895.850000
74.115982,895.210000
92.986394,894.570000
111.890047,894.055000
131.149586,893.355000
150.507748,892.810000
179.227073,892.115000
198.779741,891.745000
218.284208,891.500000
237.773499,891.225000
257.173925,891.035000
276.455953,890.890000
295.614681,890.735000
314.655566,890.585000
333.572153,890.505000
352.349216,890.380000
379.985791,890.080000
398.462382,889.960000
416.794980,889.840000
435.046186,889.715000
453.202204,889.580000
471.277951,889.470000
489.192755,889.330000
507.129419,889.145000
525.018933,888.910000
542.945185,888.585000
561.032955,888.190000
579.140636,887.770000
597.328644,886.970000
615.686948,886.460000
634.193077,885.860000
652.850282,885.235000
671.660283,884.590000
690.644851,883.770000
719.005672,882.455000
738.273014,881.510000
757.687239,880.515000
777.275062,879.495000
797.000179,878.460000
816.862088,877.450000
836.818320,876.355000
866.166874,874.940000
886.530612,874.105000
906.953930,873.320000
927.371597,872.605000
947.799505,871.960000
968.265020,871.395000
998.579367,870.695000
1019.340155,870.325000
1040.114238,869.920000
1060.896144,869.715000
1081.643366,869.560000
1102.385847,869.475000
1123.140139,869.470000
1143.846421,869.550000
1164.492237,869.645000
1185.071016,869.760000
1205.576816,869.905000
1226.029190,870.025000
1246.414279,870.130000
1266.763881,870.205000
1287.092773,870.225000
1307.437999,870.210000
1327.791734,870.170000
1348.162993,870.080000
1368.500968,869.960000
1388.792110,869.860000
1409.024862,869.750000
1429.194000,869.620000
1449.290913,869.485000
1469.346398,869.335000
1489.331309,869.220000
1509.248804,869.140000
1529.069088,869.020000
1548.831365,868.885000
1568.601404,868.810000
1588.385909,868.735000
1608.170853,868.590000
1627.994748,868.505000
1647.793696,868.360000
1667.537172,868.280000
1687.200287,868.160000
1706.776420,868.060000
1726.249196,867.940000
1745.649282,867.830000
1764.909316,867.745000
1784.028054,867.615000
1802.984855,867.515000
1821.820413,867.405000
1840.621334,867.265000
1868.174501,867.100000
1886.806813,866.985000
1905.399960,866.880000
1923.997913,866.795000
1942.667962,866.710000
1961.358134,866.625000
1988.696570,866.475000
2007.493545,866.365000
2026.322780,866.270000
2045.165372,866.150000
2064.024238,866.045000
2082.885952,865.950000
2110.740821,865.795000
2129.699936,865.695000
2148.677814,865.655000
2167.650216,865.535000
2186.618385,865.375000
2205.610768,865.185000
2224.623638,865.000000
2243.651949,864.735000
2262.660879,864.450000
2281.679419,864.105000
2300.725965,863.745000
2319.795779,863.330000
2338.879579,862.900000
2357.977582,862.420000
2377.083343,861.905000
2396.234929,861.345000
2415.436972,860.790000
2444.030541,859.830000
2463.362763,859.190000
2482.768152,858.560000
2502.237118,857.865000
2521.771564,857.180000
2541.375725,856.500000
2561.021063,855.845000
2580.661353,855.160000
2600.318633,854.450000
2619.966109,853.740000
2648.464656,852.715000
2667.955354,851.911500
2687.204288,851.078500
2706.767152,850.170000
2734.645933,848.645000
2754.413373,847.385000
2774.492301,846.180000
2803.862006,844.420000
2824.655581,843.210000
2845.702678,842.065000
2866.970311,841.000000
2897.963805,839.590000
2919.647883,838.715000
2941.434455,837.960000
2963.275536,837.300000
2995.055692,836.460000
3017.078086,836.025000
3039.121812,835.640000
3061.189431,835.385000
3083.314008,835.185000
3116.002414,835.165000
3138.192042,835.210000
3160.354890,835.370000
3182.428569,835.610000
3204.361085,836.055000
3226.149826,836.490000
3257.777890,837.355000
3279.335204,838.025000
3300.775902,838.815000
3322.061388,839.690000
3343.152216,840.615000
3364.032700,841.595000
3394.399657,842.970000
3414.822527,843.890000
3435.043228,844.810000
3455.082439,845.690000
3474.974682,846.490000
3494.723055,847.260000
3514.321349,848.015000
3533.796688,848.685000
3553.161079,849.330000
3572.447561,849.920000
3591.641911,850.485000
3610.780465,850.990000
3629.871918,851.480000
3648.915724,851.940000
3667.940627,852.360000
3686.945721,852.785000
3705.941132,853.170000
3724.932510,853.605000
3743.924469,854.010000
3762.931787,854.400000
3781.932655,854.810000
3800.949982,855.230000
3819.961106,855.655000
3838.977313,856.040000
3858.004507,856.445000
3877.014616,856.850000
3896.016096,857.245000
3915.031680,857.665000
3934.089520,858.075000
3953.213290,858.490000
3972.400946,858.910000
3991.592279,859.325000
4010.746163,859.710000
4029.848679,860.150000
