X,Y,Z
433455.02,4504199.49,898.66
433436.95,4504193.77,898.3
433418.74,4504188.12,897.71
433400.34,4504182.41,897.12
433381.74,4504176.63,896.47
433362.92,4504170.86,895.82
433343.89,4504165.11,895.13
433324.66,4504159.34,894.47
433305.2,4504153.41,893.68
433285.67,4504147.43,893.12
433266.06,4504141.31,892.59
433246.41,4504135.18,892.19
433226.77,4504129.42,891.96
433207.04,4504124.03,891.64
433187.31,4504119.17,891.42
433167.6,4504114.92,891.26
433147.9,4504111.59,891.09
433128.22,4504109.16,890.94
433108.64,4504107.54,890.85
433089.2,4504106.79,890.72
433069.92,4504107.02,890.57
433050.82,4504108.15,890.42
433031.98,4504110.09,890.28
433013.39,4504112.79,890.15
432995.1,4504116.16,889.99
432977.11,4504120.27,889.87
432959.47,4504125.11,889.69
432942.16,4504130.68,889.51
432925.16,4504136.94,889.29
432908.37,4504143.84,888.92
432891.75,4504151.36,888.59
432875.31,4504159.55,888.16
432859.12,4504168.35,887.03
432843.04,4504177.77,886.51
432827.16,4504187.91,885.91
432811.53,4504198.78,885.23
432796.13,4504210.39,884.61
432780.67,4504222.35,883.8
432764.98,4504234.5,882.89
432749.06,4504246.86,881.94
432732.86,4504259.43,880.87
432716.38,4504272.22,879.79
432699.67,4504285.25,878.67
432682.72,4504298.51,877.58
432665.6,4504311.97,876.36
432648.27,4504325.55,875.33
432630.79,4504339.12,874.43
432613.19,4504352.55,873.6
432595.32,4504365.45,872.84
432577.08,4504377.76,872.19
432558.42,4504389.39,871.59
432539.3,4504400.08,871.1
432519.78,4504409.8,870.71
432499.92,4504418.46,870.36
432479.89,4504426.31,870.14
432459.86,4504433.62,869.94
432439.8,4504440.58,869.83
432419.75,4504447.45,869.8
432399.81,4504454.26,869.86
432379.99,4504460.99,869.95
432360.31,4504467.63,870.1
432340.75,4504474.16,870.26
432321.33,4504480.59,870.37
432301.98,4504486.74,870.48
432282.62,4504492.51,870.55
432263.21,4504497.83,870.58
432243.69,4504502.68,870.59
432224.07,4504506.97,870.53
432204.32,4504510.68,870.46
432184.47,4504513.84,870.33
432164.56,4504516.63,870.22
432144.65,4504519.22,870.11
432124.71,4504521.61,869.97
432104.74,4504523.85,869.81
432084.73,4504526.09,869.64
432064.72,4504528.42,869.53
432044.71,4504530.71,869.45
432024.71,4504532.97,869.32
432004.72,4504535.21,869.2
431984.76,4504537.5,869.11
431964.81,4504539.8,869.05
431944.89,4504542.04,868.93
431924.95,4504544.14,868.82
431905,4504545.69,868.72
431885.1,4504546.71,868.67
431865.24,4504547.07,868.55
431845.45,4504546.56,868.46
431825.79,4504545.19,868.33
431806.23,4504542.98,868.24
431786.86,4504539.96,868.15
431767.69,4504536.15,868
431748.72,4504531.66,867.88
431729.88,4504526.66,867.76
431710.96,4504521.33,867.58
431691.9,4504515.86,867.44
431672.7,4504510.34,867.31
431653.37,4504504.77,867.21
431633.92,4504499.18,867.12
431614.39,4504493.58,867.01
431594.81,4504488.11,866.89
431575.12,4504482.98,866.73
431555.35,4504478.35,866.58
431535.49,4504474.36,866.48
431515.56,4504471.09,866.35
431495.6,4504468.71,866.23
431475.65,4504467.16,866.14
431455.7,4504466.48,866.01
431435.82,4504466.78,865.91
431416.07,4504468.11,865.8
431396.47,4504470.33,865.67
431377.07,4504473.34,865.52
431357.86,4504477.04,865.32
431338.83,4504481.3,865.16
431319.95,4504485.95,864.9
431301.17,4504490.72,864.65
431282.39,4504495.41,864.35
431263.59,4504499.98,863.99
431244.68,4504504.15,863.59
431225.6,4504507.69,863.17
431206.35,4504510.5,862.67
431186.93,4504512.42,862.14
431167.33,4504513.6,861.56
431147.59,4504513.98,860.98
431127.73,4504513.5,860.32
431107.8,4504512.15,859.63
431087.82,4504509.81,858.98
431067.83,4504506.53,858.25
431047.86,4504502.42,857.55
431027.91,4504497.52,856.82
431008.04,4504491.82,856.12
430988.2,4504485.55,855.39
430968.24,4504479.09,854.59
430948.15,4504472.52,853.81
430927.93,4504465.82,853.05
430907.56,4504459.01,852.19
430887.06,4504452.07,851.27
430866.35,4504445.06,850.2
430845.37,4504438.07,848.97
430824.1,4504431.02,847.57
430802.54,4504423.84,846.21
430780.7,4504416.55,844.82
430758.57,4504409.19,843.44
430736.17,4504401.81,842.14
430713.45,4504394.74,840.95
430690.37,4504388.25,839.86
430667.01,4504382.38,838.88
430643.43,4504377.24,838.04
430619.64,4504373.1,837.32
430595.72,4504369.98,836.7
430571.77,4504367.85,836.21
430547.87,4504366.67,835.8
430524.06,4504366.38,835.53
430500.39,4504367,835.39
430476.78,4504368.48,835.42
430453.25,4504370.83,835.44
430429.79,4504374.07,835.63
430406.44,4504378.2,835.87
430383.33,4504383.27,836.33
430360.53,4504389.24,836.83
430338.11,4504396.05,837.47
430316.15,4504403.68,838.2
430294.72,4504412.1,839.03
430273.86,4504421.16,839.99
430253.6,4504430.79,840.98
430233.89,4504440.87,842.03
430214.68,4504451.21,843.04
430195.76,4504461.49,844.09
430177.04,4504471.48,845.09
430158.41,4504481.07,846.02
430139.81,4504490.22,846.87
430121.14,4504498.71,847.68
430102.32,4504506.27,848.48
430083.3,4504512.85,849.16
430064.14,4504518.42,849.82
430044.89,4504523.18,850.42
430025.6,4504527.14,850.99
430006.27,4504530.28,851.5
429986.94,4504532.65,852
429967.63,4504534.22,852.45
429948.34,4504534.93,852.88
429929.12,4504534.82,853.31
429909.99,4504533.87,853.68
429890.97,4504532.08,854.12
429872.08,4504529.56,854.52
429853.34,4504526.3,854.93
429834.8,4504522.28,855.32
429816.44,4504517.63,855.71
429798.25,4504512.54,856.12
429780.11,4504507.34,856.45
429761.98,4504502.18,856.81
429743.88,4504497.1,857.19
429725.8,4504492.17,857.58
429707.7,4504487.53,857.98
429689.57,4504483.23,858.39
429671.43,4504479.32,858.78
429653.27,4504475.78,859.19
429635.11,4504472.62,859.6
429616.94,4504469.83,859.98
429598.79,4504467.31,860.41
429580.74,4504464.79,860.91
429562.79,4504462.2,861.4
429544.95,4504459.46,861.82
429527.17,4504456.37,862.17
429509.47,4504452.73,862.65
429491.93,4504448.26,863.05
429474.54,4504443.03,863.44
429457.22,4504437.15,863.85
429440.03,4504430.65,864.28
429422.98,4504423.54,864.71
429406.11,4504415.82,865.11
429389.45,4504407.47,865.52
429373.03,4504398.5,865.93
429356.63,4504389.3,866.22
429340.08,4504380.15,866.5
429323.39,4504371.02,866.79
429306.54,4504361.95,867.01
429289.5,4504353.04,867.22
429272.19,4504344.49,867.37
429254.59,4504336.38,867.45
429236.72,4504328.65,867.54
429218.64,4504321.22,867.58
429200.38,4504313.96,867.53
429181.95,4504306.79,867.29
429163.38,4504299.6,867.16
429144.65,4504292.38,866.94
429125.73,4504285.15,866.68
429106.64,4504277.89,866.42
429087.35,4504270.61,866.13
429067.84,4504263.37,865.77
429048.27,4504256.29,865.47
429028.71,4504249.48,865.24
429009.17,4504243.11,865.01
428989.62,4504237.27,864.86
428970.07,4504232.1,864.76
428950.48,4504227.54,864.68
428930.81,4504223.45,864.64
428911.01,4504219.87,864.67
428891.14,4504216.84,864.72
428871.25,4504214.27,864.82
428851.38,4504211.96,864.93
428831.53,4504209.8,865
428811.72,4504207.74,865.07
428791.95,4504205.74,865.17
428772.23,4504203.74,865.23
428752.64,4504201.69,865.34
428733.21,4504199.54,865.41
428713.95,4504197.35,865.46
428694.85,4504195.24,865.54
428675.91,4504193.26,865.64
428657.17,4504191.3,865.8
428638.65,4504189.26,865.99
428620.39,4504187.23,866.3
428602.43,4504185.17,866.64
428584.88,4504183.15,867.05
428567.69,4504181.29,867.53
428550.79,4504179.5,868.04
428534.11,4504177.59,868.65
428517.56,4504175.64,869.29
428501.12,4504173.56,869.95
428484.75,4504171.19,870.61
428468.39,4504168.34,871.26
428452.09,4504164.83,871.81
428435.83,4504160.66,872.35
428419.58,4504155.87,872.84
428403.33,4504150.55,873.26
428387.1,4504144.7,873.62
428370.92,4504138.27,873.96
428354.81,4504131.18,874.25
428338.8,4504123.44,874.46
428322.83,4504115.14,874.65
428306.88,4504106.28,874.84
428290.91,4504096.98,874.92
428274.84,4504087.39,874.89
428258.56,4504077.67,874.75
428242.05,4504067.78,874.59
428225.29,4504057.7,874.38
428208.23,4504047.55,873.9
428190.95,4504037.19,873.56
428173.39,4504026.65,873.12
428155.59,4504016,872.63
428137.74,4504005.44,872.05
428119.78,4503995.29,871.5
428101.63,4503985.78,870.92
428083.25,4503976.98,870.35
428064.7,4503968.88,869.78
428045.92,4503961.63,869.21
428026.86,4503955.26,868.68
428007.53,4503949.74,868.13
427987.93,4503945.06,867.58
427968.13,4503941.22,867.09
427948.18,4503938.34,866.67
427928.11,4503936.27,866.4
427907.95,4503935.05,866.16
427887.74,4503934.67,866.1
427867.56,4503935.12,866.1
427847.48,4503936.38,866.25
427827.53,4503938.49,866.46
427807.72,4503941.58,866.72
427788.1,4503945.57,866.95
427768.67,4503950.28,867.24
427749.47,4503955.77,867.53
427730.56,4503962.06,867.82
427711.93,4503969.1,868.08
427693.56,4503976.75,868.35
427675.37,4503984.77,868.63
427657.26,4503992.94,868.96
427639.15,4504000.99,869.24
427620.9,4504008.76,869.41
427602.49,4504016.26,869.55
427583.86,4504023.37,869.63
427564.9,4504029.84,869.7
427545.79,4504035.63,869.18
427526.27,4504040.31,869.31
427506.82,4504044.25,869.23
427487.4,4504047.47,869.19
427468.06,4504049.94,869.12
427448.76,4504051.57,869.07
427429.4,4504052.4,869.02
427410.01,4504052.52,869.15
427390.66,4504051.95,869.27
427371.42,4504050.67,869.39
427352.3,4504048.66,869.57
427333.35,4504046.02,869.8
427314.55,4504042.9,870
427295.89,4504039.54,870.32
427277.36,4504036.23,870.55
427258.96,4504033,870.91
427240.71,4504029.78,871.27
427222.62,4504026.53,871.59
427204.66,4504023.33,871.85
427186.77,4504020.28,872.11
427168.91,4504017.37,872.22
427150.93,4504014.59,872.36
427132.83,4504011.99,872.44
427114.57,4504009.44,872.47
427096.12,4504006.97,872.45
427077.41,4504004.6,872.38
427058.42,4504002.5,872.25
427039.13,4504000.59,872.16
427019.58,4503998.75,872.04
426999.78,4503996.97,871.94
426979.74,4503995.23,871.85
426959.49,4503993.53,871.83
426939.07,4503991.78,871.93
426918.53,4503989.99,872.07
426897.89,4503988.2,872.34
426877.2,4503986.37,872.59
426856.41,4503984.58,872.85
426835.59,4503982.77,873.17
426814.68,4503980.92,873.45
426793.71,4503979.07,873.74
426772.67,4503977.23,874.05
426751.53,4503975.37,874.3
426730.33,4503973.5,874.6
426709.05,4503971.67,874.91
426687.72,4503969.88,875.21
426666.35,4503968.11,875.52
426645,4503966.34,875.82
426623.62,4503964.58,876.09
426602.23,4503962.89,876.38
426580.81,4503961.31,876.66
426559.37,4503959.93,876.98
426537.91,4503958.78,877.26
426516.43,4503957.86,877.56
426494.96,4503957.19,877.86
426473.49,4503956.8,878.15
426452.01,4503956.68,878.43
426430.54,4503956.82,878.73
