S,G
0.000000,-0.017729
10.716809,-0.017729
21.679587,-0.015507
32.889605,-0.003568
44.283941,-0.012287
55.911172,-0.012901
67.749774,-0.010136
79.742722,0.001668
91.976450,-0.033514
104.276129,-0.002439
116.650312,-0.002424
129.075436,0.004829
141.534497,0.005618
154.013126,0.005610
166.470578,0.019266
179.061388,0.010325
191.931648,0.010878
205.085389,0.016725
218.429099,0.017237
231.929666,0.026666
245.502263,0.036839
259.179463,0.032901
272.889030,0.035012
286.569687,0.038741
300.281850,0.042298
314.005414,0.039348
327.786665,0.041361
341.613917,0.040500
355.610163,0.041440
369.784877,0.038801
384.126693,0.040441
398.614937,0.042103
413.225098,0.039014
427.967540,0.037307
442.842835,0.033613
457.838291,0.033343
472.954375,0.033077
488.186985,0.030855
503.580701,0.024036
519.148906,0.024409
534.891602,0.020327
550.835018,0.020698
567.001579,-0.006186
583.311481,0.017781
599.757505,0.039523
616.402795,0.016221
633.178212,0.017287
650.050808,0.017188
667.018298,0.015913
684.047173,0.019966
701.156054,0.016950
718.307733,0.017491
735.504166,0.017445
752.749597,0.017396
770.017756,0.016215
787.319050,0.019074
804.626188,0.019645
821.923138,0.021391
839.228640,0.008090
856.554831,0.016161
873.903782,0.019021
891.270584,0.017850
908.660018,0.024153
926.104295,0.013185
943.609200,0.009712
961.253250,0.005101
979.009209,0.003379
996.934479,-0.001116
1015.050604,-0.004416
1033.351451,-0.006011
1051.851116,-0.012433
1070.563989,-0.020841
1089.542305,-0.018442
1108.723246,-0.022418
1128.119102,-0.015983
1147.716127,-0.027555
1167.564313,-0.029222
1187.576799,-0.026983
1207.665067,-0.023397
1227.618626,-0.023054
1247.412817,-0.018692
1267.141507,-0.017741
1286.802005,-0.015768
1306.380222,-0.014302
1325.895304,-0.012811
1345.297193,-0.010824
1364.582358,-0.007778
1383.731972,-0.007833
1402.722838,-0.005792
1421.553366,-0.005842
1440.238186,-0.004817
1458.764149,-0.008637
1477.180235,-0.020634
1495.440676,-0.004381
1513.539454,-0.006630
1531.504045,-0.007793
1549.357058,-0.007842
1567.098270,-0.006764
1584.682729,0.004549
1602.164726,-0.011440
1619.548471,-0.011505
1636.847361,-0.011561
1654.092549,-0.014497
1671.270480,-0.012225
1688.408265,-0.022173
1705.545748,-0.016338
1722.692342,-0.014580
1740.036402,-0.017874
1757.738472,-0.017512
1775.771298,-0.016636
1794.127038,-0.016888
1812.812083,-0.018732
1831.801006,-0.016325
1851.085054,-0.015557
1870.628505,-0.029166
1890.358710,-0.017232
1910.212320,-0.007555
1930.236530,-0.016480
1950.245231,-0.017992
1970.178281,-0.018060
1990.062873,-0.017602
2009.875798,-0.017161
2029.619800,-0.019246
2049.311029,-0.019298
2068.931855,-0.016309
2088.436075,-0.014869
2107.843983,-0.011851
2127.083289,-0.008316
2146.286372,-0.005207
2165.604369,-0.002071
2185.002412,-0.003609
2204.421928,-0.003090
2223.815311,-0.001547
2243.131595,-0.002071
2262.391379,-0.002596
2281.586662,-0.003647
2300.727522,-0.001567
2319.792238,-0.002098
2338.812296,-0.002103
2357.760755,0.000000
2376.620111,0.001060
2395.426094,-0.002127
2414.170933,-0.003201
2432.859542,-0.003211
2451.510788,-0.002145
2470.099183,-0.001614
2488.716986,-0.003223
2507.400032,-0.001070
2526.165108,-0.004263
2545.006873,-0.000531
2563.888398,-0.004767
2582.869326,-0.002107
2601.923029,-0.005248
2621.061589,-0.015153
2640.207868,-0.002089
2659.348798,-0.004702
2678.458403,-0.001047
2697.522049,-0.004196
2716.539118,0.014724
2735.590651,-0.000525
2754.592453,-0.001053
2773.545872,0.004221
2792.403073,0.004242
2811.135005,0.008542
2829.753324,0.009131
2848.244501,0.010275
2866.663664,0.010858
2885.048441,0.008703
2903.415939,0.012522
2921.774863,0.013073
2940.174953,0.013043
2958.617914,0.012471
2977.112367,0.011895
2995.643047,0.012951
3014.220803,0.012919
3032.857031,0.008049
3051.607284,0.005333
3070.453146,0.004245
3089.431020,0.001581
3108.546940,0.000000
3127.819015,-0.001557
3147.230200,-0.004121
3166.821101,-0.005615
3186.590231,-0.006576
3206.527495,-0.005517
3226.617981,-0.005973
3246.865679,-0.006914
3267.254407,-0.006376
3287.740158,-0.009763
3308.305653,-0.004863
3328.881117,-0.006318
3349.434272,-0.004865
3369.734302,-0.005911
3389.693032,-0.007014
3409.469998,-0.007079
3429.277638,-0.013126
3449.146634,-0.014092
3469.116103,-0.020031
3489.145394,-0.019971
3509.234508,-0.026880
3529.364734,-0.031296
3549.514464,-0.033251
3569.650387,-0.035757
3589.718595,-0.042854
3609.793057,-0.042342
3629.883365,-0.047286
3649.987765,-0.046756
3670.135621,-0.047151
3690.287296,-0.046150
3710.451921,-0.045624
3730.631158,-0.047078
3750.830133,-0.046537
3771.037523,-0.046023
3791.257523,-0.045500
3811.496458,-0.047433
3831.779695,-0.045358
3852.069912,-0.043864
3872.387975,-0.042819
3892.715100,-0.043292
3913.071704,-0.042247
3933.426339,-0.043725
3953.784262,-0.042735
3974.264030,-0.044434
3994.868932,-0.043679
4015.600917,-0.042446
4036.378812,-0.043797
4057.154802,-0.040913
4077.897755,-0.037603
4098.587352,-0.038667
4119.230980,-0.037300
4139.791391,-0.029669
4160.195746,-0.024995
4180.412062,-0.021765
4200.398907,-0.017011
4220.236813,-0.013610
4239.963336,-0.008111
4259.649270,-0.005080
4279.289030,-0.003564
4298.861105,-0.005620
4318.391791,-0.005120
4337.893591,-0.007179
4357.359458,-0.006165
4376.821242,-0.006680
4396.255328,-0.006175
4415.675822,-0.005664
4435.062317,-0.004642
4454.424954,-0.006198
4473.745930,-0.004141
4493.015898,-0.004152
4512.260308,-0.004157
4531.469998,-0.005206
4550.599350,-0.002614
4569.679541,-0.004193
4588.693676,-0.005259
4607.654976,-0.004747
4626.568053,-0.004759
4645.432339,-0.004771
4664.238182,-0.005849
4682.983048,-0.003734
4701.674728,-0.004815
4720.322186,-0.005899
4738.913681,-0.004841
4757.471709,-0.005389
4775.969417,-0.003784
4794.427816,-0.009752
4812.893839,-0.010831
4831.360320,-0.010289
4849.851399,-0.011898
4868.348431,-0.012434
4886.881736,-0.014029
4905.462608,-0.013993
4924.062651,-0.011828
4942.705065,-0.015020
4961.392868,-0.014983
4980.097512,-0.013900
4998.829146,-0.013346
5017.569717,-0.012806
5036.350696,-0.015441
5055.132946,-0.012778
5073.925333,-0.012771
5092.736088,-0.013822
5111.560311,-0.014343
5130.432579,-0.013777
5149.357296,-0.016381
5168.255150,-0.004762
5187.233565,-0.015807
5206.250152,-0.010517
5225.287507,-0.013657
5244.345634,-0.015217
5263.458732,-0.013080
5282.600741,-0.012538
5301.775414,-0.014603
5320.989911,-0.014572
5340.243301,-0.012465
