S,Z
0.000000,911.280000
10.716809,911.090000
21.679587,910.920000
32.889605,910.880000
44.283941,910.740000
55.911172,910.590000
67.749774,910.470000
79.742722,910.490000
91.976450,910.080000
104.276129,910.050000
116.650312,910.020000
129.075436,910.080000
141.534497,910.150000
154.013126,910.220000
166.470578,910.460000
179.061388,910.590000
191.931648,910.730000
205.085389,910.950000
218.429099,911.180000
231.929666,911.540000
245.502263,912.040000
259.179463,912.490000
272.889030,912.970000
286.569687,913.500000
300.281850,914.080000
314.005414,914.620000
327.786665,915.190000
341.613917,915.750000
355.610163,916.330000
369.784877,916.880000
384.126693,917.460000
398.614937,918.070000
413.225098,918.640000
427.967540,919.190000
442.842835,919.690000
457.838291,920.190000
472.954375,920.690000
488.186985,921.160000
503.580701,921.530000
519.148906,921.910000
534.891602,922.230000
550.835018,922.560000
567.001579,922.460000
583.311481,922.750000
599.757505,923.400000
616.402795,923.670000
633.178212,923.960000
650.050808,924.250000
667.018298,924.520000
684.047173,924.860000
701.156054,925.150000
718.307733,925.450000
735.504166,925.750000
752.749597,926.050000
770.017756,926.330000
787.319050,926.660000
804.626188,927.000000
821.923138,927.370000
839.228640,927.510000
856.554831,927.790000
873.903782,928.120000
891.270584,928.430000
908.660018,928.850000
926.104295,929.080000
943.609200,929.250000
961.253250,929.340000
979.009209,929.400000
996.934479,929.380000
1015.050604,929.300000
1033.351451,929.190000
1051.851116,928.960000
1070.563989,928.570000
1089.542305,928.220000
1108.723246,927.790000
1128.119102,927.480000
1147.716127,926.940000
1167.564313,926.360000
1187.576799,925.820000
1207.665067,925.350000
1227.618626,924.890000
1247.412817,924.520000
1267.141507,924.170000
1286.802005,923.860000
1306.380222,923.580000
1325.895304,923.330000
1345.297193,923.120000
1364.582358,922.970000
1383.731972,922.820000
1402.722838,922.710000
1421.553366,922.600000
1440.238186,922.510000
1458.764149,922.350000
1477.180235,921.970000
1495.440676,921.890000
1513.539454,921.770000
1531.504045,921.630000
1549.357058,921.490000
1567.098270,921.370000
1584.682729,921.450000
1602.164726,921.250000
1619.548471,921.050000
1636.847361,920.850000
1654.092549,920.600000
1671.270480,920.390000
1688.408265,920.010000
1705.545748,919.730000
1722.692342,919.480000
1740.036402,919.170000
1757.738472,918.860000
1775.771298,918.560000
1794.127038,918.250000
1812.812083,917.900000
1831.801006,917.590000
1851.085054,917.290000
1870.628505,916.720000
1890.358710,916.380000
1910.212320,916.230000
1930.236530,915.900000
1950.245231,915.540000
1970.178281,915.180000
1990.062873,914.830000
2009.875798,914.490000
2029.619800,914.110000
2049.311029,913.730000
2068.931855,913.410000
2088.436075,913.120000
2107.843983,912.890000
2127.083289,912.730000
2146.286372,912.630000
2165.604369,912.590000
2185.002412,912.520000
2204.421928,912.460000
2223.815311,912.430000
2243.131595,912.390000
2262.391379,912.340000
2281.586662,912.270000
2300.727522,912.240000
2319.792238,912.200000
2338.812296,912.160000
2357.760755,912.160000
2376.620111,912.180000
2395.426094,912.140000
2414.170933,912.080000
2432.859542,912.020000
2451.510788,911.980000
2470.099183,911.950000
2488.716986,911.890000
2507.400032,911.870000
2526.165108,911.790000
2545.006873,911.780000
2563.888398,911.690000
2582.869326,911.650000
2601.923029,911.550000
2621.061589,911.260000
2640.207868,911.220000
2659.348798,911.130000
2678.458403,911.110000
2697.522049,911.030000
2716.539118,911.310000
2735.590651,911.300000
2754.592453,911.280000
2773.545872,911.360000
2792.403073,911.440000
2811.135005,911.600000
2829.753324,911.770000
2848.244501,911.960000
2866.663664,912.160000
2885.048441,912.320000
2903.415939,912.550000
2921.774863,912.790000
2940.174953,913.030000
2958.617914,913.260000
2977.112367,913.480000
2995.643047,913.720000
3014.220803,913.960000
3032.857031,914.110000
3051.607284,914.210000
3070.453146,914.290000
3089.431020,914.320000
3108.546940,914.320000
3127.819015,914.290000
3147.230200,914.210000
3166.821101,914.100000
3186.590231,913.970000
3206.527495,913.860000
3226.617981,913.740000
3246.865679,913.600000
3267.254407,913.470000
3287.740158,913.270000
3308.305653,913.170000
3328.881117,913.040000
3349.434272,912.940000
3369.734302,912.820000
3389.693032,912.680000
3409.469998,912.540000
3429.277638,912.280000
3449.146634,912.000000
3469.116103,911.600000
3489.145394,911.200000
3509.234508,910.660000
3529.364734,910.030000
3549.514464,909.360000
3569.650387,908.640000
3589.718595,907.780000
3609.793057,906.930000
3629.883365,905.980000
3649.987765,905.040000
3670.135621,904.090000
3690.287296,903.160000
3710.451921,902.240000
3730.631158,901.290000
3750.830133,900.350000
3771.037523,899.420000
3791.257523,898.500000
3811.496458,897.540000
3831.779695,896.620000
3852.069912,895.730000
3872.387975,894.860000
3892.715100,893.980000
3913.071704,893.120000
3933.426339,892.230000
3953.784262,891.360000
3974.264030,890.450000
3994.868932,889.550000
4015.600917,888.670000
4036.378812,887.760000
4057.154802,886.910000
4077.897755,886.130000
4098.587352,885.330000
4119.230980,884.560000
4139.791391,883.950000
4160.195746,883.440000
4180.412062,883.000000
4200.398907,882.660000
4220.236813,882.390000
4239.963336,882.230000
4259.649270,882.130000
4279.289030,882.060000
4298.861105,881.950000
4318.391791,881.850000
4337.893591,881.710000
4357.359458,881.590000
4376.821242,881.460000
4396.255328,881.340000
4415.675822,881.230000
4435.062317,881.140000
4454.424954,881.020000
4473.745930,880.940000
4493.015898,880.860000
4512.260308,880.780000
4531.469998,880.680000
4550.599350,880.630000
4569.679541,880.550000
4588.693676,880.450000
4607.654976,880.360000
4626.568053,880.270000
4645.432339,880.180000
4664.238182,880.070000
4682.983048,880.000000
4701.674728,879.910000
4720.322186,879.800000
4738.913681,879.710000
4757.471709,879.610000
4775.969417,879.540000
4794.427816,879.360000
4812.893839,879.160000
4831.360320,878.970000
4849.851399,878.750000
4868.348431,878.520000
4886.881736,878.260000
4905.462608,878.000000
4924.062651,877.780000
4942.705065,877.500000
4961.392868,877.220000
4980.097512,876.960000
4998.829146,876.710000
5017.569717,876.470000
5036.350696,876.180000
5055.132946,875.940000
5073.925333,875.700000
5092.736088,875.440000
5111.560311,875.170000
5130.432579,874.910000
5149.357296,874.600000
5168.255150,874.510000
5187.233565,874.210000
5206.250152,874.010000
5225.287507,873.750000
5244.345634,873.460000
5263.458732,873.210000
5282.600741,872.970000
5301.775414,872.690000
5320.989911,872.410000
5340.243301,872.170000
5359.514756,871.970000
5378.797209,871.730000
5398.072899,871.630000
5417.284749,871.540000
5436.410452,871.640000
5455.405780,871.740000
5474.247290,871.840000
5492.942030,871.930000
5511.503765,872.050000
5529.910027,872.160000
5548.186493,872.230000
5566.336496,872.270000
5584.379522,872.230000
5602.379750,872.170000
5620.332427,872.050000
5638.288442,871.930000
5656.372657,871.700000
5674.625352,871.420000
5693.080110,871.110000
5711.777418,870.760000
5730.688499,870.390000
5749.787203,869.990000
5769.017713,869.650000
5788.326563,869.400000
5807.723991,869.140000
5827.150347,868.940000
5846.590105,868.820000
5866.021317,868.720000
5885.451628,868.640000
5904.793048,868.710000
5924.035651,868.760000
5943.156867,868.810000
5962.135086,868.850000
5980.941301,868.960000
5999.625211,868.810000
6018.135546,868.830000
6036.530763,868.800000
6054.812666,868.760000
6073.022169,868.670000
6091.162161,868.570000
6109.248758,868.400000
6127.310430,868.230000
6145.347040,868.040000
6163.372800,867.800000
6181.389881,867.680000
6199.480279,867.460000
6217.803564,867.210000
6236.345301,866.980000
6255.122428,866.720000
6274.086913,866.510000
6293.251425,866.240000
6312.597189,866.000000
6332.104944,865.840000
6351.730438,865.760000
6371.410692,865.780000
6391.125734,865.920000
6410.788534,866.130000
6430.369395,866.440000
6449.814867,866.870000
6469.103011,867.360000
6488.178527,867.860000
6507.075355,868.400000
6525.780287,868.890000
6544.313873,869.380000
6562.670030,869.940000
6580.840393,870.430000
6598.846714,870.910000
6616.701879,871.390000
6634.439579,871.850000
6652.038812,872.280000
6669.542120,872.650000
6686.968172,873.020000
6704.330799,873.330000
6721.640233,873.580000
6738.905067,873.780000
6756.169901,873.940000
6773.460511,874.070000
6790.787014,874.100000
6808.209600,874.080000
6825.734970,873.990000
6843.400807,873.850000
6861.184181,873.650000
6879.109351,873.420000
6897.221115,873.110000
6915.547394,872.740000
6934.093795,872.330000
6952.767662,871.830000
6971.417965,871.260000
6989.993661,870.630000
7008.495299,869.990000
7026.949139,869.250000
7045.465567,868.550000
7063.987675,867.870000
7082.520295,867.250000
7101.020198,866.720000
7119.393572,866.260000
7137.693305,865.850000
7155.947293,865.530000
7174.133222,865.240000
7192.260585,865.070000
7210.533858,864.920000
7228.957346,864.810000
7247.517963,864.750000
7266.197933,864.710000
7284.986294,864.620000
7303.955756,864.540000
7323.101557,864.450000
7342.401809,864.370000
7361.863168,864.300000
7381.429683,864.320000
7401.156195,864.240000
7421.075297,864.160000
7441.150269,864.120000
7461.380093,864.110000
7481.723262,864.130000
7502.166786,864.210000
7522.723775,864.320000
7543.306693,864.480000
7563.912750,864.680000
7584.459665,864.910000
7604.847392,865.180000
7625.038206,865.490000
7645.022010,865.770000
7664.768192,866.000000
7684.282561,866.240000
7703.548723,866.460000
7722.589143,866.680000
7741.405391,866.840000
7760.051713,866.930000
7778.571113,866.950000
7796.961157,866.950000
7815.262777,866.880000
7833.464057,866.780000
7851.603068,866.620000
7869.715522,866.420000
7887.782666,866.170000
