S,G
0.000000,-0.035772
21.245874,-0.035772
42.526149,-0.037124
64.009257,-0.029325
85.056151,-0.037060
107.487600,-0.024965
129.409089,-0.026458
151.583717,-0.021646
174.755813,-0.029777
197.463326,-0.029506
219.210878,-0.038165
241.433779,-0.013050
263.210592,0.008725
284.999035,0.019735
307.484103,0.020013
330.671339,0.027170
354.147338,0.029392
377.212215,0.016909
399.769286,0.006650
422.134668,0.004024
444.125463,0.003638
465.710999,-0.029186
487.299795,-0.047247
509.959764,-0.057811
533.829997,-0.062840
557.648254,-0.065916
581.939057,-0.067927
606.496260,-0.059860
630.778102,-0.056421
654.591649,-0.056270
678.531240,-0.050126
702.670402,-0.051369
726.473651,-0.055035
750.074658,-0.047879
774.956109,-0.041396
799.106020,-0.045549
822.817993,-0.047234
846.245329,-0.057625
870.254512,-0.039152
894.768738,-0.030594
919.441717,-0.025129
944.033649,0.004473
967.833293,0.025631
991.551919,0.031199
1015.059939,0.035732
1038.523040,0.028129
1061.978509,0.006821
1085.513293,-0.019546
1108.728715,-0.035752
1132.038549,-0.041184
1156.032819,-0.043760
1180.427580,-0.042222
1204.155180,-0.026551
1227.197376,-0.023435
1249.185034,-0.021376
1271.463576,-0.018852
1293.896434,-0.014711
1315.985468,-0.013129
1337.810093,-0.010997
1359.386902,-0.004635
1381.943745,0.009310
1404.584791,0.011925
1426.940167,0.010736
1450.507629,0.009335
1473.291948,0.010972
1495.945496,0.010594
1519.101656,0.014251
1542.652376,-0.005520
1566.813015,0.001656
1589.455039,-0.009275
1612.309163,-0.011377
1634.493663,-0.025243
1657.713020,-0.024979
1681.354790,-0.018611
1705.237740,0.001675
1728.914192,0.008447
1752.826533,0.000836
1776.723046,0.000837
1800.506032,0.002102
1824.372668,-0.002095
1847.844913,-0.000426
1871.541703,-0.005908
1895.240238,-0.006330
1919.323827,-0.008304
1942.825329,-0.022977
1966.654823,-0.024340
1989.662721,-0.006520
2013.545151,0.002512
2037.272070,0.000843
2061.164487,0.005023
2085.355163,-0.004961
2109.326868,-0.010429
2133.790869,-0.007767
2157.607819,-0.000420
2181.784670,-0.000827
2205.549543,0.001262
2229.890554,0.000822
2254.233844,-0.000411
2278.644581,-0.004916
2302.020726,-0.010695
2325.153794,-0.019885
2349.209397,-0.025358
2373.736747,-0.030986
2398.801754,-0.030321
2423.848265,-0.021161
2449.441127,-0.014457
2474.880020,-0.010221
2500.272644,-0.015753
2525.348350,-0.023928
2549.876351,-0.039547
2574.754178,-0.050246
2599.794993,-0.054711
2625.191492,-0.053157
2651.378957,-0.053079
2677.101057,-0.054039
2703.233733,-0.055486
2728.600308,-0.055979
2754.234890,-0.054614
