S,Z
0.000000,971.190000
21.245874,970.430000
42.526149,969.640000
64.009257,969.010000
85.056151,968.230000
107.487600,967.670000
129.409089,967.090000
151.583717,966.610000
174.755813,965.920000
197.463326,965.250000
219.210878,964.420000
241.433779,964.130000
263.210592,964.320000
284.999035,964.750000
307.484103,965.200000
330.671339,965.830000
354.147338,966.520000
377.212215,966.910000
399.769286,967.060000
422.134668,967.150000
444.125463,967.230000
465.710999,966.600000
487.299795,965.580000
509.959764,964.270000
533.829997,962.770000
557.648254,961.200000
581.939057,959.550000
606.496260,958.080000
630.778102,956.710000
654.591649,955.370000
678.531240,954.170000
702.670402,952.930000
726.473651,951.620000
750.074658,950.490000
774.956109,949.460000
799.106020,948.360000
822.817993,947.240000
846.245329,945.890000
870.254512,944.950000
894.768738,944.200000
919.441717,943.580000
944.033649,943.690000
967.833293,944.300000
991.551919,945.040000
1015.059939,945.880000
1038.523040,946.540000
1061.978509,946.700000
1085.513293,946.240000
1108.728715,945.410000
1132.038549,944.450000
1156.032819,943.400000
1180.427580,942.370000
1204.155180,941.740000
1227.197376,941.200000
1249.185034,940.730000
1271.463576,940.310000
1293.896434,939.980000
1315.985468,939.690000
1337.810093,939.450000
1359.386902,939.350000
1381.943745,939.560000
1404.584791,939.830000
1426.940167,940.070000
1450.507629,940.290000
1473.291948,940.540000
1495.945496,940.780000
1519.101656,941.110000
1542.652376,940.980000
1566.813015,941.020000
1589.455039,940.810000
1612.309163,940.550000
1634.493663,939.990000
1657.713020,939.410000
1681.354790,938.970000
1705.237740,939.010000
1728.914192,939.210000
1752.826533,939.230000
1776.723046,939.250000
1800.506032,939.300000
1824.372668,939.250000
1847.844913,939.240000
1871.541703,939.100000
1895.240238,938.950000
1919.323827,938.750000
1942.825329,938.210000
1966.654823,937.630000
1989.662721,937.480000
2013.545151,937.540000
2037.272070,937.560000
2061.164487,937.680000
2085.355163,937.560000
2109.326868,937.310000
2133.790869,937.120000
2157.607819,937.110000
2181.784670,937.090000
2205.549543,937.120000
2229.890554,937.140000
2254.233844,937.130000
2278.644581,937.010000
2302.020726,936.760000
2325.153794,936.300000
2349.209397,935.690000
2373.736747,934.930000
2398.801754,934.170000
2423.848265,933.640000
2449.441127,933.270000
2474.880020,933.010000
2500.272644,932.610000
2525.348350,932.010000
2549.876351,931.040000
2574.754178,929.790000
2599.794993,928.420000
2625.191492,927.070000
2651.378957,925.680000
