S,G
0.000000,-0.042859
14.699272,-0.042859
29.019014,-0.028632
44.505188,-0.004520
60.229842,0.011447
77.769930,0.017104
96.280324,0.026472
115.582739,0.041446
134.999158,0.038112
153.606069,0.027947
170.943406,0.006345
188.578805,-0.004536
206.596376,0.000000
224.423375,0.004488
242.605041,-0.001650
260.432085,0.003927
277.851017,0.016649
295.423164,0.018211
313.302916,0.016219
330.877383,0.002845
348.489338,-0.007381
366.260648,-0.009566
383.318271,-0.016415
400.500081,-0.021534
417.405249,-0.018338
434.785668,-0.016685
453.325881,-0.003776
472.387172,0.009968
491.186648,0.021277
510.176591,0.026330
529.920074,0.023299
549.235413,0.027957
568.600152,0.026853
587.466233,0.030743
605.907621,0.039585
625.208325,0.029533
645.134367,0.026097
664.583233,0.022109
683.534563,0.019524
702.723293,0.029184
722.556522,0.028740
742.939332,0.033852
762.763989,0.030770
781.867409,0.028267
801.973095,0.024371
821.421812,0.028794
840.948804,0.024069
860.292753,0.016543
879.573321,0.016078
899.116364,0.014839
918.920066,0.013129
938.634820,0.012174
957.795898,0.023485
977.216614,0.027805
997.007237,0.017180
1016.401381,0.015469
1035.478030,0.019920
1055.048741,0.009197
1074.341412,0.012958
1093.884273,0.009722
1113.938800,0.007978
1134.069283,0.013909
1153.945651,0.010062
1173.877098,-0.000502
1194.365136,-0.004393
1215.193278,-0.012003
1236.299252,-0.018952
1257.348167,-0.023754
1278.006543,-0.025171
1298.194273,-0.020309
1317.772128,-0.026561
1337.653793,-0.028167
1357.446489,-0.019704
1377.617909,-0.022309
1397.673820,-0.019944
1418.176872,-0.021460
1438.312773,-0.023838
1458.511690,-0.021288
1478.983335,-0.019051
1499.680293,-0.011596
1521.112328,-0.005133
1542.814641,-0.009216
1564.793395,-0.008190
1586.723055,-0.008208
1608.956690,-0.013043
1630.264912,-0.013140
1651.356144,-0.014698
1672.447397,-0.015646
1693.769475,-0.017822
1715.354407,-0.016215
1737.063257,-0.013359
1758.554393,-0.005118
1780.292337,-0.002300
1802.167973,-0.004114
1824.659401,-0.008448
1846.766423,-0.012213
1869.134356,-0.020118
1891.409561,-0.021100
1913.447162,-0.024050
1935.443643,-0.017730
1956.964251,-0.015334
1978.803624,-0.017400
2000.605458,-0.016054
2022.248210,-0.018020
2044.243438,-0.012275
2066.040557,-0.030738
2088.114123,-0.030353
2110.070995,-0.028237
2132.263292,-0.016222
2154.379535,-0.008591
2176.387827,-0.007724
2198.431306,-0.008166
2219.862914,-0.009799
2241.914622,0.001360
2264.298755,0.002680
2286.880477,0.002657
2308.985024,0.005881
2330.839519,-0.000458
2352.444670,-0.008794
2374.375045,-0.009576
2395.807872,-0.009798
2417.489137,-0.010147
2439.120439,-0.013406
2460.767069,-0.006006
2482.888932,-0.003616
2505.199900,-0.001345
2527.431556,0.003149
2549.909621,-0.009342
2571.916073,-0.010451
2593.739499,-0.006873
2615.538925,0.000459
2637.397534,0.002745
2659.378437,0.003640
2681.057177,-0.004613
2702.255526,-0.010378
2723.592587,-0.021090
2745.074821,-0.030258
2766.460416,-0.043020
2788.606144,-0.032963
2810.806086,-0.027478
2832.643241,-0.025644
2854.480420,-0.016944
2877.049693,-0.003545
2899.506128,0.007125
2922.056195,0.012417
2944.994211,0.022670
2967.707656,0.032580
2989.228946,0.022768
3010.769359,0.012535
3032.366074,0.010650
3054.206391,0.013736
3076.372729,0.013083
3098.607739,0.020238
3120.980880,0.012962
3143.298796,0.004929
3165.498108,-0.004054
3187.841226,-0.000895
3210.077807,0.000450
3232.643365,0.010193
3255.338420,0.012337
3277.332848,0.021824
3300.420247,0.019924
3322.908879,0.012451
3344.818892,0.008215
3366.402661,0.004633
3387.716850,0.013137
3409.542452,0.016494
3432.223139,0.001764
3455.345756,0.006487
3477.870817,0.005327
3500.202951,0.012090
3522.788356,0.030108
3545.053515,0.004491
3567.333062,0.005835
3590.388852,0.000000
3613.122205,-0.003519
3634.976396,-0.011897
3656.633107,-0.048022
3680.018273,-0.060295
3703.007096,-0.043064
3726.625244,-0.061817
3750.552633,-0.063943
3774.550879,-0.056671
3798.090254,-0.046730
3820.609403,-0.059061
3843.361592,-0.075158
3866.808938,-0.075488
3890.731139,-0.070646
3914.602343,-0.064513
3938.080086,-0.062187
3961.811885,-0.047194
3985.154621,-0.046267
4009.179359,-0.038710
4033.229417,-0.031185
4057.137738,-0.032206
4080.662351,-0.037408
4104.441714,-0.036166
4128.109942,-0.043518
4151.358990,-0.050755
4175.102000,-0.055595
4198.937332,-0.046150
4222.912573,-0.032534
4246.778007,-0.035616
4270.456595,-0.034630
4294.001371,-0.020387
4317.981106,0.002085
4341.702469,0.020656
4364.959730,0.035258
4387.959631,0.032609
4410.883675,0.028791
4433.494001,0.019902
4456.286202,0.022376
