S,Z
0.000000,987.410000
14.699272,986.780000
29.019014,986.370000
44.505188,986.300000
60.229842,986.480000
77.769930,986.780000
96.280324,987.270000
115.582739,988.070000
134.999158,988.810000
153.606069,989.330000
170.943406,989.440000
188.578805,989.360000
206.596376,989.360000
224.423375,989.440000
242.605041,989.410000
260.432085,989.480000
277.851017,989.770000
295.423164,990.090000
313.302916,990.380000
330.877383,990.430000
348.489338,990.300000
366.260648,990.130000
383.318271,989.850000
400.500081,989.480000
417.405249,989.170000
434.785668,988.880000
453.325881,988.810000
472.387172,989.000000
491.186648,989.400000
510.176591,989.900000
529.920074,990.360000
549.235413,990.900000
568.600152,991.420000
587.466233,992.000000
605.907621,992.730000
625.208325,993.300000
645.134367,993.820000
664.583233,994.250000
683.534563,994.620000
702.723293,995.180000
722.556522,995.750000
742.939332,996.440000
762.763989,997.050000
781.867409,997.590000
801.973095,998.080000
821.421812,998.640000
840.948804,999.110000
860.292753,999.430000
879.573321,999.740000
899.116364,1000.030000
918.920066,1000.290000
938.634820,1000.530000
957.795898,1000.980000
977.216614,1001.520000
997.007237,1001.860000
1016.401381,1002.160000
1035.478030,1002.540000
1055.048741,1002.720000
1074.341412,1002.970000
1093.884273,1003.160000
1113.938800,1003.320000
1134.069283,1003.600000
1153.945651,1003.800000
1173.877098,1003.790000
1194.365136,1003.700000
1215.193278,1003.450000
1236.299252,1003.050000
1257.348167,1002.550000
1278.006543,1002.030000
1298.194273,1001.620000
1317.772128,1001.100000
1337.653793,1000.540000
1357.446489,1000.150000
1377.617909,999.700000
1397.673820,999.300000
1418.176872,998.860000
1438.312773,998.380000
1458.511690,997.950000
1478.983335,997.560000
1499.680293,997.320000
1521.112328,997.210000
1542.814641,997.010000
1564.793395,996.830000
1586.723055,996.650000
1608.956690,996.360000
1630.264912,996.080000
1651.356144,995.770000
1672.447397,995.440000
1693.769475,995.060000
1715.354407,994.710000
1737.063257,994.420000
1758.554393,994.310000
1780.292337,994.260000
1802.167973,994.170000
1824.659401,993.980000
1846.766423,993.710000
1869.134356,993.260000
1891.409561,992.790000
1913.447162,992.260000
1935.443643,991.870000
