S,G
0.000000,-0.025279
20.768378,-0.025279
41.601359,-0.025440
62.689656,-0.025370
84.473386,-0.019280
106.147385,-0.018455
127.384991,-0.016245
159.863240,-0.022169
181.473594,-0.026145
202.530643,-0.027544
223.843667,-0.007038
244.889397,0.002613
266.243189,0.006556
287.838827,0.005094
309.914094,0.005209
331.933089,0.003179
363.327474,-0.015767
384.601628,-0.012691
405.798329,-0.016512
426.866151,-0.021122
447.745186,-0.037598
468.625276,-0.047414
490.176628,-0.051737
512.467523,-0.053609
534.694931,-0.052638
567.816011,-0.045741
590.751196,-0.046871
613.721052,-0.043318
636.360391,-0.041300
659.065217,-0.036116
681.727301,-0.035522
703.983668,-0.042684
726.532507,-0.036144
760.248066,-0.012754
782.792143,-0.003770
805.122427,-0.002015
826.983136,-0.004574
848.801115,-0.002292
870.991955,-0.001352
903.057828,-0.013098
925.208858,-0.020089
947.156702,-0.025971
969.309587,-0.027987
991.144416,-0.012595
1022.988285,-0.000471
1044.792453,0.008714
1066.554789,-0.007582
1087.978404,-0.024272
1109.488813,-0.027893
1131.956302,-0.022922
1165.013533,-0.019360
1187.059892,-0.016556
1208.529970,-0.017466
1229.634622,-0.014689
1250.928654,-0.012914
1272.549982,-0.006244
1293.867602,-0.004926
1315.105398,-0.004002
1336.212404,-0.002843
1357.095927,0.000239
1387.911202,-0.006166
1409.313751,-0.002336
1431.367007,-0.001360
1453.351477,0.000910
1475.156666,0.001376
1497.242682,-0.002264
1519.955966,-0.013208
1542.600540,-0.006624
1564.527220,-0.014138
1586.396816,-0.009145
1607.990549,-0.016903
1640.439404,-0.009862
1662.372161,-0.007067
1684.538208,0.003835
1706.276481,0.008510
1728.226349,0.001139
1750.070101,0.000458
1781.360449,-0.003675
1803.024141,-0.004154
1824.556044,-0.011611
1845.885834,-0.013830
1877.076122,-0.016672
1899.092806,-0.021347
1920.967031,-0.023087
1943.289467,-0.021951
1965.344336,-0.009522
1998.079306,-0.014816
2020.421707,-0.008952
2042.807623,-0.005137
2065.167762,-0.007826
2087.286054,-0.014920
2109.130633,-0.010529
2140.316512,-0.023248
2162.649525,-0.021045
2184.963997,-0.019494
2207.246186,-0.020420
2229.490725,-0.022028
2260.490456,-0.030000
2281.446431,-0.025768
2302.225637,-0.033447
2323.495453,-0.032205
2354.563064,-0.037499
2376.593692,-0.032228
2398.772987,-0.028630
2430.999487,-0.028238
2453.479705,-0.020462
2475.895261,-0.023421
2507.675612,-0.030679
2529.513094,-0.037321
2551.470538,-0.041672
2583.156462,-0.035820
2604.969392,-0.041718
2627.396057,-0.043029
2659.344725,-0.037247
2682.029691,-0.039013
2704.641073,-0.040909
2737.298389,-0.030315
2760.791262,-0.028945
2785.033818,-0.027431
2809.233760,-0.020455
2834.029613,-0.005243
2858.240630,-0.009087
2893.883309,-0.000281
2918.495383,-0.008939
2942.789839,-0.002676
2967.925507,0.003978
2993.016441,0.010362
3018.190017,0.015890
3043.517389,0.018162
3080.875146,0.026367
3105.855043,0.025420
3130.471797,0.036967
3154.806660,0.029793
3179.171134,0.031603
3203.196432,0.026430
3226.130477,0.019621
3249.009072,0.005027
3270.628984,0.024746
3292.144531,0.036485
3314.162214,0.026342
3335.853169,0.030888
3358.088983,0.042049
3380.502679,0.039039
3402.376529,0.037031
3424.148730,0.044093
3446.601952,0.028504
3468.536274,0.023023
3489.685530,0.022696
3510.756495,0.018034
3532.095618,0.013121
3553.564873,0.013275
3575.775718,0.017784
3598.386766,0.016143
3620.732836,0.023047
3643.678056,0.019830
3654.502454,0.018939
3676.959760,0.011578
3699.402525,0.012476
3721.627460,0.024522
3744.005133,0.029047
3766.699629,0.032827
3789.435359,0.038266
3811.911713,0.040709
3845.124237,0.037034
3867.415370,0.028038
3889.894378,0.020241
3901.049754,0.031823
3934.940704,0.016819
3957.607745,0.016323
3980.474030,0.015962
4003.257843,0.011851
4026.194336,0.006758
4049.267601,0.008885
4072.688349,0.004270
4096.191963,0.012977
4119.145975,0.014159
4142.425815,0.014605
4165.411481,0.012399
4188.087390,0.010143
4211.075944,-0.000652
4245.182983,-0.012754
4268.169231,-0.017837
4291.271709,-0.022725
4314.590666,-0.020799
4337.850047,-0.016767
4361.148985,-0.013735
4384.941904,-0.020174
4409.129563,-0.019225
4433.455435,-0.013566
4457.293345,-0.007131
4480.991084,-0.004642
4504.368227,0.002139
4527.897313,0.003400
4551.529032,0.007194
4575.181161,0.007610
4598.890653,0.009912
4633.983951,0.014960
4657.671105,0.012665
4681.164709,0.010641
4705.240825,0.008307
4728.320182,0.012782
4752.438290,0.008707
4776.640357,0.016941
4800.542252,0.022383
4824.822010,0.017504
4849.137623,0.016656
4872.769117,0.017138
4896.190599,0.022629
4919.602022,0.015591
4943.271842,0.008027
4967.300555,0.010612
4991.490293,0.020050
5015.288577,0.030885
5038.256583,0.030695
5061.693706,0.027094
5084.855590,0.012305
5108.116612,0.001290
5131.378970,0.000645
5154.973706,-0.010807
5178.186962,-0.010339
5201.408996,-0.014211
5224.624996,-0.016368
5247.652065,0.002606
5270.832449,0.009059
5294.042679,0.007324
5317.342809,-0.008584
5351.905532,-0.029946
5374.997157,-0.018621
5398.007672,-0.011516
5421.314886,-0.007508
5444.463847,-0.005184
5467.704660,-0.001076
5491.382943,0.000422
5514.917049,0.002974
5538.860776,0.001671
5562.378186,0.004252
5586.088625,0.001054
5608.854811,-0.006149
5631.719305,-0.008529
5654.925565,-0.021761
5678.168633,-0.037646
5701.162959,-0.030877
5724.925368,-0.019358
5748.723633,-0.007564
5783.987344,0.010776
5807.846124,0.005030
5831.376370,0.022524
5854.629866,0.008816
5878.091728,0.010229
5901.913956,0.002938
5925.461593,-0.003397
5948.050472,-0.009739
5970.959451,-0.022699
5994.292069,-0.016286
6017.705674,-0.000427
6040.733652,0.007382
6063.600399,0.002843
6098.816312,-0.000284
6123.112808,-0.008643
6147.943736,-0.003826
6173.136257,-0.003374
6196.889464,0.002315
6220.626015,0.014113
6244.702246,0.009345
6268.980720,0.021830
6293.699930,0.026295
6317.983411,0.026973
6342.371596,0.025832
6366.043127,0.020489
6389.869836,0.013011
6413.956983,0.011832
6438.298457,0.006984
6462.618480,0.001645
6486.833060,0.007227
6511.323504,0.003062
6535.874971,0.001426
6560.299739,0.000614
6584.671361,0.004924
6609.169152,0.000000
6633.851967,0.000810
6658.118701,0.002473
6682.516692,0.004509
6707.283735,0.005451
6731.681743,0.009222
6756.000733,0.008430
6780.209756,0.012186
6804.406369,0.015085
6828.686969,0.019975
6853.268957,0.023798
6877.789470,0.023246
6902.189946,0.019877
6926.698916,0.026317
6951.260378,0.027075
6975.831881,0.033169
7013.040007,0.035342
7037.072151,0.023302
7061.216359,0.018224
7085.094829,0.010470
7109.012008,0.003972
7132.718369,0.004640
7155.889332,0.008847
7178.968897,0.008882
7201.928719,-0.000436
7225.159085,0.007748
7248.613052,0.008314
7272.805931,0.010334
7296.141099,0.014785
7319.109179,0.013715
7342.282897,0.007983
7364.981246,0.016741
7399.303418,0.009906
7422.472850,0.000863
7445.912493,-0.002133
7469.666162,-0.008630
7492.828482,-0.001943
7516.126130,-0.003219
7539.475525,-0.001713
7562.452116,-0.000218
7585.438732,0.006308
7608.371992,0.002834
7631.251449,0.001530
7654.635368,-0.002994
7678.335668,-0.000844
7702.429945,0.008093
7726.132638,0.018563
7750.000855,0.023043
7773.824246,0.022667
7797.898293,0.020977
7822.245024,0.025465
7847.032281,0.023197
7871.701225,0.027565
7896.664217,0.026239
7921.579896,0.023078
7946.489962,0.035729
7971.449170,0.041267
7996.343711,0.043383
8032.627652,0.047817
8056.807959,0.053142
8080.654528,0.056822
8104.555981,0.055854
8128.427160,0.060324
8152.005920,0.062980
8175.398340,0.059848
8198.935301,0.048859
8222.952720,0.044343
8247.175860,0.051397
8271.586736,0.048134
8295.576262,0.037725
8319.661160,0.036745
8344.441156,0.046408
8367.676937,0.037873
8391.158067,0.026830
8414.979187,0.024348
8439.144840,0.023173
8473.675844,0.008977
8497.485441,0.006930
8521.166111,0.013302
8544.642966,0.013204
8568.162026,0.005527
8591.723289,0.001273
8614.939540,-0.005384
8638.575828,-0.004442
8673.134290,-0.001013
8697.199535,-0.004363
8721.568047,-0.007797
8745.179918,-0.004447
8768.972808,-0.001051
8792.610027,0.006346
8816.107157,0.010427
8839.621673,0.010844
8874.376924,0.005611
8898.430811,0.004989
8923.008463,0.006510
8947.475457,0.008583
8970.983455,0.011060
8993.957133,0.011100
9028.032793,-0.000440
9051.952497,-0.002090
9075.986788,0.008321
9100.057162,0.011840
9124.504121,0.011658
9149.014714,0.013056
9172.829639,0.013227
9208.009808,0.018334
9232.153991,0.016153
9255.679888,0.019765
9279.137587,0.018757
9302.439200,0.013089
9326.035641,0.002331
9360.304641,-0.009046
9383.421423,-0.027037
9406.667575,-0.024305
9429.883537,-0.020675
9452.992433,-0.015578
9476.175588,-0.014019
9499.623597,-0.013860
9523.093667,-0.006817
9545.879635,0.003950
9579.651752,0.008439
9602.542329,0.008956
9625.764215,0.013349
9649.476410,-0.006748
9672.762355,-0.007945
9695.910052,-0.009504
9719.421378,-0.018076
9754.584594,-0.008674
9778.666426,-0.006229
9802.640738,-0.002920
9826.513067,-0.014452
9850.147447,-0.024117
9873.851044,-0.021516
9908.540982,-0.004756
9932.253331,-0.013073
9955.807627,-0.011887
9979.796382,-0.010213
10003.607327,-0.010499
10027.161839,-0.010826
10061.634342,0.001886
10085.170784,0.007860
10108.888965,0.024665
10132.782996,0.038713
10156.718481,0.055775
10180.347549,0.057979
10215.353164,0.040708
10239.012964,0.046281
10262.920372,0.044338
10286.951827,0.044109
10310.897344,0.041135
10345.232339,0.030581
10368.877416,0.035525
10391.878643,0.031303
10415.042156,0.025255
10438.254009,0.013355
10461.327579,0.009751
10484.211386,0.009395
10517.105748,0.012160
10539.535695,0.024298
10561.711068,0.032017
10584.033998,0.029566
10606.350686,0.028006
10638.323271,0.023927
10660.218150,0.015529
10682.255968,0.021554
10703.496680,0.015065
10725.651617,0.003837
10759.297925,0.010700
10782.843191,0.008070
10805.933470,0.008012
10828.650635,0.003301
10860.552553,-0.001254
10882.754731,-0.001576
10904.830182,0.002718
10926.834968,0.002499
10948.668365,0.001603
10980.398169,-0.004097
11002.618522,-0.000225
11025.096840,-0.002669
11056.898378,-0.013364
11079.290043,-0.004019
11101.619744,-0.008957
11124.049098,-0.013598
11155.929269,-0.016625
11178.332996,-0.020755
11200.645113,-0.024874
11232.817926,-0.027974
11255.721386,-0.023796
11279.104685,-0.032929
11311.597236,-0.033700
11333.620670,-0.035871
11355.895623,-0.043771
11378.287089,-0.038854
11409.405919,-0.043061
11430.712687,-0.035200
11452.329584,-0.020354
11473.870369,-0.012999
11505.487068,-0.002847
11527.199812,0.009902
11548.904337,0.009445
11579.133952,0.008105
11599.727329,0.008741
11620.287939,0.004864
11649.877293,0.001521
11671.159952,-0.028662
11701.302767,-0.027370
11722.521298,-0.040531
11743.919697,-0.038554
11774.809830,-0.017643
11796.240648,-0.021464
11826.174580,-0.009855
11846.704011,-0.014126
11867.646319,-0.030321
11888.766266,-0.032434
11918.700568,-0.026725
11938.560507,-0.013847
11957.057578,-0.035411
11974.277593,-0.035424
11997.165919,0.005024
