S,Z
0.000000,967.110000
20.768378,966.585000
41.601359,966.055000
62.689656,965.520000
84.473386,965.100000
106.147385,964.700000
127.384991,964.355000
159.863240,963.635000
181.473594,963.070000
202.530643,962.490000
223.843667,962.340000
244.889397,962.395000
266.243189,962.535000
287.838827,962.645000
309.914094,962.760000
331.933089,962.830000
363.327474,962.335000
384.601628,962.065000
405.798329,961.715000
426.866151,961.270000
447.745186,960.485000
468.625276,959.495000
490.176628,958.380000
512.467523,957.185000
534.694931,956.015000
567.816011,954.500000
590.751196,953.425000
613.721052,952.430000
636.360391,951.495000
659.065217,950.675000
681.727301,949.870000
703.983668,948.920000
726.532507,948.105000
760.248066,947.675000
782.792143,947.590000
805.122427,947.545000
826.983136,947.445000
848.801115,947.395000
870.991955,947.365000
903.057828,946.945000
925.208858,946.500000
947.156702,945.930000
969.309587,945.310000
991.144416,945.035000
1022.988285,945.020000
1044.792453,945.210000
1066.554789,945.045000
1087.978404,944.525000
1109.488813,943.925000
1131.956302,943.410000
1165.013533,942.770000
1187.059892,942.405000
1208.529970,942.030000
1229.634622,941.720000
1250.928654,941.445000
1272.549982,941.310000
1293.867602,941.205000
1315.105398,941.120000
1336.212404,941.060000
1357.095927,941.065000
1387.911202,940.875000
1409.313751,940.825000
1431.367007,940.795000
1453.351477,940.815000
1475.156666,940.845000
1497.242682,940.795000
1519.955966,940.495000
1542.600540,940.345000
1564.527220,940.035000
1586.396816,939.835000
1607.990549,939.470000
1640.439404,939.150000
1662.372161,938.995000
1684.538208,939.080000
1706.276481,939.265000
1728.226349,939.290000
1750.070101,939.300000
1781.360449,939.185000
1803.024141,939.095000
1824.556044,938.845000
1845.885834,938.550000
1877.076122,938.030000
1899.092806,937.560000
1920.967031,937.055000
1943.289467,936.565000
1965.344336,936.355000
1998.079306,935.870000
2020.421707,935.670000
2042.807623,935.555000
2065.167762,935.380000
2087.286054,935.050000
2109.130633,934.820000
2140.316512,934.095000
2162.649525,933.625000
2184.963997,933.190000
2207.246186,932.735000
2229.490725,932.245000
2260.490456,931.315000
2281.446431,930.775000
2302.225637,930.080000
2323.495453,929.395000
2354.563064,928.230000
2376.593692,927.520000
2398.772987,926.885000
2430.999487,925.975000
2453.479705,925.515000
2475.895261,924.990000
2507.675612,924.015000
2529.513094,923.200000
2551.470538,922.285000
2583.156462,921.150000
2604.969392,920.240000
2627.396057,919.275000
2659.344725,918.085000
2682.029691,917.200000
2704.641073,916.275000
2737.298389,915.285000
2760.791262,914.605000
2785.033818,913.940000
2809.233760,913.445000
2834.029613,913.315000
2858.240630,913.095000
2893.883309,913.085000
2918.495383,912.865000
2942.789839,912.800000
2967.925507,912.900000
2993.016441,913.160000
3018.190017,913.560000
3043.517389,914.020000
3080.875146,915.005000
3105.855043,915.640000
3130.471797,916.550000
3154.806660,917.275000
3179.171134,918.045000
3203.196432,918.680000
3226.130477,919.130000
3249.009072,919.245000
3270.628984,919.780000
3292.144531,920.565000
3314.162214,921.145000
3335.853169,921.815000
3358.088983,922.750000
3380.502679,923.625000
3402.376529,924.435000
3424.148730,925.395000
3446.601952,926.035000
3468.536274,926.540000
3489.685530,927.020000
3510.756495,927.400000
3532.095618,927.680000
3553.564873,927.965000
3575.775718,928.360000
3598.386766,928.725000
3620.732836,929.240000
3643.678056,929.695000
3654.502454,929.900000
3676.959760,930.160000
3699.402525,930.440000
3721.627460,930.985000
3744.005133,931.635000
3766.699629,932.380000
3789.435359,933.250000
3811.911713,934.165000
3845.124237,935.395000
3867.415370,936.020000
3889.894378,936.475000
3901.049754,936.830000
3934.940704,937.400000
3957.607745,937.770000
3980.474030,938.135000
4003.257843,938.405000
4026.194336,938.560000
4049.267601,938.765000
4072.688349,938.865000
4096.191963,939.170000
4119.145975,939.495000
4142.425815,939.835000
4165.411481,940.120000
4188.087390,940.350000
4211.075944,940.335000
4245.182983,939.900000
4268.169231,939.490000
4291.271709,938.965000
4314.590666,938.480000
4337.850047,938.090000
4361.148985,937.770000
4384.941904,937.290000
4409.129563,936.825000
4433.455435,936.495000
4457.293345,936.325000
4480.991084,936.215000
4504.368227,936.265000
4527.897313,936.345000
4551.529032,936.515000
4575.181161,936.695000
4598.890653,936.930000
4633.983951,937.455000
4657.671105,937.755000
4681.164709,938.005000
4705.240825,938.205000
4728.320182,938.500000
4752.438290,938.710000
4776.640357,939.120000
4800.542252,939.655000
4824.822010,940.080000
4849.137623,940.485000
4872.769117,940.890000
4896.190599,941.420000
4919.602022,941.785000
4943.271842,941.975000
4967.300555,942.230000
4991.490293,942.715000
5015.288577,943.450000
5038.256583,944.155000
5061.693706,944.790000
5084.855590,945.075000
5108.116612,945.105000
5131.378970,945.120000
5154.973706,944.865000
5178.186962,944.625000
5201.408996,944.295000
5224.624996,943.915000
5247.652065,943.975000
5270.832449,944.185000
5294.042679,944.355000
5317.342809,944.155000
5351.905532,943.120000
5374.997157,942.690000
5398.007672,942.425000
5421.314886,942.250000
5444.463847,942.130000
5467.704660,942.105000
5491.382943,942.115000
5514.917049,942.185000
5538.860776,942.225000
5562.378186,942.325000
5586.088625,942.350000
5608.854811,942.210000
5631.719305,942.015000
5654.925565,941.510000
5678.168633,940.635000
5701.162959,939.925000
5724.925368,939.465000
5748.723633,939.285000
5783.987344,939.665000
5807.846124,939.785000
5831.376370,940.315000
5854.629866,940.520000
5878.091728,940.760000
5901.913956,940.830000
5925.461593,940.750000
5948.050472,940.530000
5970.959451,940.010000
5994.292069,939.630000
6017.705674,939.620000
6040.733652,939.790000
6063.600399,939.855000
6098.816312,939.845000
6123.112808,939.635000
6147.943736,939.540000
6173.136257,939.455000
6196.889464,939.510000
6220.626015,939.845000
6244.702246,940.070000
6268.980720,940.600000
6293.699930,941.250000
6317.983411,941.905000
6342.371596,942.535000
6366.043127,943.020000
6389.869836,943.330000
6413.956983,943.615000
6438.298457,943.785000
6462.618480,943.825000
6486.833060,944.000000
6511.323504,944.075000
6535.874971,944.110000
6560.299739,944.125000
6584.671361,944.245000
6609.169152,944.245000
6633.851967,944.265000
6658.118701,944.325000
6682.516692,944.435000
6707.283735,944.570000
6731.681743,944.795000
6756.000733,945.000000
6780.209756,945.295000
6804.406369,945.660000
6828.686969,946.145000
6853.268957,946.730000
6877.789470,947.300000
6902.189946,947.785000
6926.698916,948.430000
6951.260378,949.095000
6975.831881,949.910000
7013.040007,951.225000
7037.072151,951.785000
7061.216359,952.225000
7085.094829,952.475000
7109.012008,952.570000
7132.718369,952.680000
7155.889332,952.885000
7178.968897,953.090000
7201.928719,953.080000
7225.159085,953.260000
7248.613052,953.455000
7272.805931,953.705000
7296.141099,954.050000
7319.109179,954.365000
7342.282897,954.550000
7364.981246,954.930000
7399.303418,955.270000
7422.472850,955.290000
7445.912493,955.240000
7469.666162,955.035000
7492.828482,954.990000
7516.126130,954.915000
7539.475525,954.875000
7562.452116,954.870000
7585.438732,955.015000
7608.371992,955.080000
7631.251449,955.115000
7654.635368,955.045000
7678.335668,955.025000
7702.429945,955.220000
7726.132638,955.660000
7750.000855,956.210000
7773.824246,956.750000
7797.898293,957.255000
7822.245024,957.875000
7847.032281,958.450000
7871.701225,959.130000
7896.664217,959.785000
7921.579896,960.360000
7946.489962,961.250000
7971.449170,962.280000
7996.343711,963.360000
8032.627652,965.095000
8056.807959,966.380000
8080.654528,967.735000
8104.555981,969.070000
8128.427160,970.510000
8152.005920,971.995000
8175.398340,973.395000
8198.935301,974.545000
8222.952720,975.610000
8247.175860,976.855000
8271.586736,978.030000
8295.576262,978.935000
8319.661160,979.820000
8344.441156,980.970000
8367.676937,981.850000
8391.158067,982.480000
8414.979187,983.060000
8439.144840,983.620000
8473.675844,983.930000
8497.485441,984.095000
8521.166111,984.410000
8544.642966,984.720000
8568.162026,984.850000
8591.723289,984.880000
8614.939540,984.755000
8638.575828,984.650000
8673.134290,984.615000
8697.199535,984.510000
8721.568047,984.320000
8745.179918,984.215000
8768.972808,984.190000
8792.610027,984.340000
8816.107157,984.585000
8839.621673,984.840000
8874.376924,985.035000
8898.430811,985.155000
8923.008463,985.315000
8947.475457,985.525000
8970.983455,985.785000
8993.957133,986.040000
9028.032793,986.025000
9051.952497,985.975000
9075.986788,986.175000
9100.057162,986.460000
9124.504121,986.745000
9149.014714,987.065000
9172.829639,987.380000
9208.009808,988.025000
9232.153991,988.415000
9255.679888,988.880000
9279.137587,989.320000
9302.439200,989.625000
9326.035641,989.680000
9360.304641,989.370000
9383.421423,988.745000
9406.667575,988.180000
9429.883537,987.700000
9452.992433,987.340000
9476.175588,987.015000
9499.623597,986.690000
9523.093667,986.530000
9545.879635,986.620000
9579.651752,986.905000
9602.542329,987.110000
9625.764215,987.420000
9649.476410,987.260000
9672.762355,987.075000
9695.910052,986.855000
9719.421378,986.430000
9754.584594,986.125000
9778.666426,985.975000
9802.640738,985.905000
9826.513067,985.560000
9850.147447,984.990000
9873.851044,984.480000
9908.540982,984.315000
9932.253331,984.005000
9955.807627,983.725000
9979.796382,983.480000
10003.607327,983.230000
10027.161839,982.975000
10061.634342,983.040000
10085.170784,983.225000
10108.888965,983.810000
10132.782996,984.735000
10156.718481,986.070000
10180.347549,987.440000
10215.353164,988.865000
10239.012964,989.960000
10262.920372,991.020000
10286.951827,992.080000
10310.897344,993.065000
10345.232339,994.115000
10368.877416,994.955000
10391.878643,995.675000
10415.042156,996.260000
10438.254009,996.570000
10461.327579,996.795000
10484.211386,997.010000
10517.105748,997.410000
10539.535695,997.955000
10561.711068,998.665000
10584.033998,999.325000
10606.350686,999.950000
10638.323271,1000.715000
10660.218150,1001.055000
10682.255968,1001.530000
10703.496680,1001.850000
10725.651617,1001.935000
10759.297925,1002.295000
10782.843191,1002.485000
10805.933470,1002.670000
