y,x,z
4503931.823,434172.649,991.722
4502050.098,438420.926,934.87
4502050.098,438420.925,934.869
4502050.098,438420.926,934.87
4502050.098,438420.926,934.869
4502050.097,438420.927,934.87
4502050.097,438420.926,934.868
4502050.099,438420.924,934.869
4502050.098,438420.925,934.871
4502050.098,438420.924,934.873
4502050.1,438420.924,934.869
4502050.099,438420.925,934.867
4502050.099,438420.925,934.87
4502050.098,438420.925,934.869
4502050.097,438420.926,934.87
4502050.098,438420.926,934.871
4502050.097,438420.927,934.869
4502050.098,438420.927,934.869
4502050.098,438420.925,934.871
4502050.098,438420.925,934.871
4502050.098,438420.925,934.871
4502050.098,438420.926,934.869
4502050.098,438420.926,934.872
4502050.097,438420.926,934.872
4502050.097,438420.926,934.876
4502050.096,438420.926,934.873
4502050.097,438420.927,934.87
4502050.096,438420.926,934.873
4502050.097,438420.927,934.872
4502050.097,438420.924,934.876
4502050.098,438420.925,934.872
4502050.098,438420.925,934.875
4502050.096,438420.925,934.876
4502050.096,438420.924,934.877
4502050.097,438420.925,934.875
4502050.096,438420.925,934.875
4502050.095,438420.925,934.874
4502050.1,438420.923,934.873
4502050.099,438420.924,934.871
4502050.099,438420.923,934.874
4502050.099,438420.924,934.867
4502050.099,438420.924,934.872
4502050.098,438420.924,934.873
4502050.099,438420.923,934.872
4502050.099,438420.925,934.873
4502050.099,438420.924,934.876
4502050.1,438420.925,934.87
4502050.098,438420.925,934.872
4502050.1,438420.922,934.87
4502050.1,438420.923,934.866
4502050.1,438420.923,934.869
4502050.1,438420.923,934.867
4502050.1,438420.924,934.865
4502050.101,438420.923,934.868
4502050.101,438420.923,934.868
4502050.101,438420.922,934.868
4502050.101,438420.923,934.865
4502050.101,438420.922,934.867
4502050.101,438420.923,934.865
4502050.101,438420.922,934.869
4502050.1,438420.922,934.868
4502050.101,438420.923,934.866
4503970.815,434079.851,990.135
4503992.256,434029.064,988.514
4503993.012,434027.245,988.455
4503993.769,434025.423,988.387
4503994.53,434023.598,988.323
4503995.295,434021.771,988.254
4503996.052,434019.943,988.169
4503996.81,434018.111,988.092
4503997.577,434016.275,988.024
4503998.348,434014.437,987.956
