S,G
0.000000,-0.012236
4646.369168,-0.012236
4646.370168,-1.000000
4646.371168,1.000000
4646.372582,0.707107
4646.373582,-2.000000
4646.376411,0.353553
4646.377825,1.414213
4646.378825,2.000000
4646.380825,-2.000001
4646.382239,-1.414214
4646.383239,-1.000000
4646.384653,0.707107
4646.385653,1.000000
4646.387067,-1.414213
4646.388067,0.000000
4646.390067,1.000000
4646.391067,-2.000000
4646.392067,0.000000
4646.393067,-3.000000
4646.394482,-2.121320
4646.395896,2.121320
4646.397310,-0.707107
4646.400310,1.333333
4646.401724,-2.828427
4646.403724,0.500000
4646.404724,1.000000
4646.406138,-1.414213
4646.407138,0.000000
4646.408138,-1.000000
4646.413524,-0.185695
4646.414938,-1.414214
4646.415938,3.000000
4646.416938,-7.000000
4646.417938,1.000000
4646.419352,-0.707107
4646.421352,0.500000
4646.422352,3.000000
4646.423766,-4.242642
4646.425766,1.000000
4646.429372,-0.554700
4646.430372,-4.000000
4646.431372,-2.000000
4646.432786,2.121320
4646.433786,0.000000
4646.434786,-3.000000
4646.435786,2.000000
4646.436786,-2.000000
4646.437786,4.000000
4646.438786,-1.000000
4646.440200,-1.414213
9393.444348,0.011643
9448.571799,-0.029405
9450.541646,-0.029952
9452.514647,-0.034465
9454.491955,-0.032367
9456.472650,-0.034836
9458.451193,-0.042961
9460.433815,-0.038837
9462.423585,-0.034175
9464.416744,-0.034117
9466.402206,-0.032738
9468.389514,-0.035224
9470.376214,-0.035234
9472.364221,-0.035211
9474.358377,-0.037108
9476.350844,-0.036136
9478.342770,-0.041166
9480.340185,-0.039050
9482.334883,-0.038602
9484.335833,-0.037982
9486.334341,-0.035526
9488.333946,-0.038508
9490.331119,-0.038554
9492.328844,-0.043049
9494.335111,-0.039875
9496.349774,-0.042191
9498.360124,-0.040789
9500.371762,-0.042751
9502.383957,-0.036279
9504.399125,-0.035233
9506.401664,-0.043445
9508.415532,-0.039725
9510.427913,-0.032300
9512.446984,-0.035660
9514.466049,-0.037146
9516.488282,-0.043022
9518.514409,-0.048368
9520.543694,-0.042379
9522.570003,-0.040468
9524.592992,-0.037568
9528.636611,-0.041300
9530.668226,-0.036424
9532.701706,-0.035407
9534.729652,-0.036983
9536.756380,-0.043420
9538.784899,-0.042395
9540.822895,-0.032385
9542.865558,-0.039654
9544.899857,-0.038342
9546.932513,-0.040833
9548.972073,-0.037263
9551.008724,-0.043699
9553.050039,-0.035271
9555.088433,-0.038265
9557.125769,-0.035340
9559.164977,-0.044135
9561.203750,-0.033353
9563.249749,-0.042522
9565.297035,-0.056660
9567.347024,-0.045366
9569.399878,-0.032637
9571.445073,-0.043028
9573.491174,-0.037144
9575.540095,-0.042461
9577.591921,-0.035578
9579.644431,-0.039951
9581.692246,-0.041508
9583.744171,-0.036064
9585.792069,-0.035158
9587.839418,-0.039075
9589.887926,-0.043446
9591.936382,-0.041495
9593.984946,-0.043933
9596.027797,-0.029371
9598.073534,-0.031285
9600.121614,-0.041014
9602.161403,-0.043142
9604.212316,-0.035594
9606.270133,-0.018466
9608.330293,-0.044171
9610.382349,-0.040935
9612.434728,-0.041415
9614.482976,-0.041011
9776.615619,-0.039289
9778.638620,-0.039545
9780.671632,-0.030005
9782.700657,-0.039428
9784.728799,-0.039938
9786.756918,-0.040432
9788.777112,-0.037620
9790.808397,-0.040861
9792.838874,-0.037922
9794.865289,-0.045894
9796.883272,-0.031219
9798.913130,-0.046801
9800.937375,-0.036557
9802.962996,-0.039000
9804.989995,-0.035520
9807.015465,-0.040484
9809.038297,-0.040043
9811.063621,-0.041969
9813.090541,-0.037495
9815.109612,-0.032193
9817.137094,-0.045376
9819.162744,-0.036531
9821.180917,-0.042613
9823.202676,-0.033634
9825.222831,-0.023761
9827.251728,-0.044359
9829.261589,-0.035326
9833.163995,-0.018194
9834.759752,-0.087106
10632.736524,-0.019262
10634.689830,-0.006143
10636.651057,-0.007138
10638.612940,-0.010194
10640.574813,-0.005097
10642.543015,-0.003557
10644.511527,-0.011176
10646.477183,-0.013736
10648.443922,-0.008135
10652.388886,-0.008365
10654.364132,-0.012150
10656.344773,-0.013632
10658.324514,-0.012123
10660.308172,-0.004033
10662.292522,-0.013103
10664.275400,-0.012104
10666.265282,-0.019599
10668.253526,-0.003018
10670.247996,-0.011031
10672.239599,-0.016067
10674.239109,-0.011003
10676.239602,-0.013497
10678.240828,-0.011993
10680.241194,-0.012998
10682.244952,-0.008484
10684.258339,-0.012914
10686.265482,-0.006975
10688.276956,-0.025852
10690.288783,-0.012427
10692.311255,-0.009394
10694.331850,-0.017322
10696.352445,-0.016827
10698.372644,-0.018315
10700.404338,-0.009844
10702.434748,-0.016745
10704.467300,-0.021648
10706.503994,-0.019640
10708.540572,-0.025042
10710.577011,-0.019642
10712.617514,-0.017153
10714.660666,-0.014683
10716.707503,-0.023451
10718.758199,-0.015604
10720.811903,-0.028242
10722.864535,-0.015103
10724.918975,-0.027745
10726.979636,-0.016985
10729.030701,-0.010726
10731.101736,-0.014968
10733.170303,-0.027555
10735.234340,-0.023255
10737.303176,-0.024652
10739.372454,-0.022713
10741.440818,-0.025624
10743.515028,-0.027480
10745.589306,-0.027479
10747.659092,-0.029955
10749.737096,-0.024062
10751.804286,-0.037732
