S,Z
0.000000,991.722000
4646.369168,934.870000
4646.370168,934.869000
4646.371168,934.870000
4646.371168,934.869000
4646.372582,934.870000
4646.373582,934.868000
4646.376411,934.869000
4646.377825,934.871000
4646.378825,934.873000
4646.380825,934.869000
4646.382239,934.867000
4646.382239,934.870000
4646.383239,934.869000
4646.384653,934.870000
4646.385653,934.871000
4646.387067,934.869000
4646.388067,934.869000
4646.390067,934.871000
4646.390067,934.871000
4646.390067,934.871000
4646.391067,934.869000
4646.391067,934.872000
4646.392067,934.872000
4646.392067,934.876000
4646.393067,934.873000
4646.394482,934.870000
4646.395896,934.873000
4646.397310,934.872000
4646.400310,934.876000
4646.401724,934.872000
4646.401724,934.875000
4646.403724,934.876000
4646.404724,934.877000
4646.406138,934.875000
4646.407138,934.875000
4646.408138,934.874000
4646.413524,934.873000
4646.414938,934.871000
4646.415938,934.874000
4646.416938,934.867000
4646.416938,934.872000
4646.417938,934.873000
4646.419352,934.872000
4646.421352,934.873000
4646.422352,934.876000
4646.423766,934.870000
4646.425766,934.872000
4646.429372,934.870000
4646.430372,934.866000
4646.430372,934.869000
4646.430372,934.867000
4646.431372,934.865000
4646.432786,934.868000
4646.432786,934.868000
4646.433786,934.868000
4646.434786,934.865000
4646.435786,934.867000
4646.436786,934.865000
4646.437786,934.869000
4646.438786,934.868000
4646.440200,934.866000
9393.444348,990.135000
9448.571799,988.514000
9450.541646,988.455000
9452.514647,988.387000
9454.491955,988.323000
9456.472650,988.254000
9458.451193,988.169000
9460.433815,988.092000
9462.423585,988.024000
9464.416744,987.956000
9466.402206,987.891000
9468.389514,987.821000
9470.376214,987.751000
9472.364221,987.681000
9474.358377,987.607000
9476.350844,987.535000
9478.342770,987.453000
9480.340185,987.375000
9482.334883,987.298000
9484.335833,987.222000
9486.334341,987.151000
9488.333946,987.074000
9490.331119,986.997000
9492.328844,986.911000
9494.335111,986.831000
9496.349774,986.746000
9498.360124,986.664000
9500.371762,986.578000
9502.383957,986.505000
9504.399125,986.434000
9506.401664,986.347000
9508.415532,986.267000
9510.427913,986.202000
9512.446984,986.130000
9514.466049,986.055000
9516.488282,985.968000
9518.514409,985.870000
9520.543694,985.784000
9522.570003,985.702000
9524.592992,985.626000
9528.636611,985.459000
9528.636611,985.459000
9530.668226,985.385000
9532.701706,985.313000
9534.729652,985.238000
9536.756380,985.150000
9538.784899,985.064000
9540.822895,984.998000
9542.865558,984.917000
9544.899857,984.839000
9546.932513,984.756000
9548.972073,984.680000
9551.008724,984.591000
9553.050039,984.519000
9555.088433,984.441000
9557.125769,984.369000
9559.164977,984.279000
9561.203750,984.211000
9563.249749,984.124000
9565.297035,984.008000
9567.347024,983.915000
9569.399878,983.848000
9571.445073,983.760000
9573.491174,983.684000
9575.540095,983.597000
9577.591921,983.524000
9579.644431,983.442000
9581.692246,983.357000
9583.744171,983.283000
9585.792069,983.211000
9587.839418,983.131000
9589.887926,983.042000
9591.936382,982.957000
9593.984946,982.867000
9596.027797,982.807000
9598.073534,982.743000
9600.121614,982.659000
9602.161403,982.571000
9604.212316,982.498000
9606.270133,982.460000
9608.330293,982.369000
9610.382349,982.285000
9612.434728,982.200000
9614.482976,982.116000
9776.615619,975.746000
9778.638620,975.666000
9780.671632,975.605000
9782.700657,975.525000
9784.728799,975.444000
9786.756918,975.362000
9788.777112,975.286000
9790.808397,975.203000
9792.838874,975.126000
9794.865289,975.033000
9796.883272,974.970000
9798.913130,974.875000
9800.937375,974.801000
