S,Z
0.000000,1162.070000
12.062520,1163.380000
22.840062,1165.420000
34.480491,1168.530000
50.134133,1170.070000
61.601203,1170.320000
73.049260,1170.280000
85.354462,1169.660000
97.255458,1169.020000
109.570396,1169.070000
128.660270,1168.750000
139.646120,1168.410000
150.230940,1168.090000
168.054576,1166.980000
185.979977,1165.660000
203.122896,1164.720000
216.445696,1164.200000
228.744985,1163.780000
245.302162,1163.040000
264.800274,1162.410000
274.874226,1162.520000
284.907237,1162.630000
303.359207,1162.680000
319.687627,1162.000000
335.160147,1162.080000
351.258768,1159.970000
369.342983,1156.760000
379.668916,1155.260000
390.380335,1153.570000
402.056807,1151.940000
413.935869,1150.320000
425.182566,1148.780000
436.568772,1147.280000
447.616197,1146.050000
458.208695,1145.040000
477.282787,1143.040000
495.783868,1141.740000
505.937060,1141.100000
516.433597,1140.720000
527.432143,1140.410000
538.914899,1140.070000
551.889097,1139.610000
564.907561,1139.240000
577.729187,1138.990000
590.515508,1138.680000
603.523790,1138.330000
617.025749,1137.770000
630.226525,1137.260000
642.974615,1136.420000
655.936996,1135.180000
668.775703,1134.020000
681.627162,1132.890000
694.563409,1131.720000
707.559105,1130.550000
720.482402,1129.430000
733.694336,1128.330000
746.835903,1127.200000
759.488243,1126.190000
771.524787,1125.300000
783.399992,1124.700000
795.126586,1124.390000
806.670177,1124.150000
818.751543,1123.810000
831.242604,1123.370000
843.914798,1122.510000
856.714786,1121.440000
869.310182,1120.280000
881.990423,1119.080000
894.350475,1118.090000
906.580966,1117.120000
918.991562,1116.210000
931.633639,1115.250000
944.476878,1114.310000
957.024404,1113.300000
969.587915,1112.360000
982.396982,1111.550000
994.839317,1110.850000
1006.915181,1110.370000
1018.795248,1110.050000
1030.303285,1109.530000
1041.961012,1108.750000
1052.788329,1107.820000
1063.227663,1106.940000
1073.825102,1106.300000
1083.990578,1105.220000
1094.008626,1103.930000
1104.229879,1102.680000
1114.761683,1101.710000
1125.572881,1101.140000
1136.971477,1100.580000
1148.796366,1099.550000
1160.718031,1098.820000
1172.363481,1097.830000
1183.676593,1096.520000
1194.650899,1095.440000
1205.959091,1094.590000
1217.881444,1093.750000
1230.089249,1093.130000
1243.597339,1092.670000
1256.333249,1092.260000
1268.522888,1091.780000
1280.968196,1091.410000
1293.512781,1091.140000
1306.247191,1090.910000
1318.790883,1090.540000
1330.997344,1090.200000
1342.974426,1089.910000
1355.140432,1089.660000
1367.220536,1089.460000
1379.583598,1089.220000
1392.053802,1088.810000
1404.554014,1088.210000
1417.183155,1087.490000
1429.827094,1086.790000
1442.433267,1086.260000
1454.947439,1085.800000
1467.386077,1085.510000
1479.735591,1085.300000
1492.120000,1085.210000
1504.554927,1085.090000
1516.989275,1084.850000
1529.474410,1084.670000
1541.880364,1084.450000
1554.210380,1084.160000
1566.699099,1083.970000
1579.188731,1083.930000
1591.691119,1083.830000
1604.259539,1083.700000
1616.867414,1083.440000
1629.489177,1083.110000
1641.875173,1082.690000
1654.194203,1082.200000
1666.473983,1081.930000
1678.957732,1081.530000
1691.699914,1081.220000
1704.368399,1080.790000
1716.775095,1080.830000
1729.148760,1081.290000
1741.464364,1081.830000
1753.771699,1082.290000
1766.022597,1082.600000
1778.263843,1082.620000
1789.962065,1082.480000
1801.700076,1082.120000
1813.095812,1081.510000
1824.515904,1080.910000
1835.908226,1080.390000
1847.154457,1079.870000
1858.361334,1079.490000
1869.296781,1079.240000
1880.619153,1078.800000
1892.331219,1077.930000
1904.023302,1077.160000
1915.677524,1076.320000
1927.592641,1075.540000
1939.597781,1074.670000
1951.728507,1074.010000
1963.700077,1073.450000
1974.820976,1073.170000
1985.310423,1072.900000
1995.739158,1072.610000
2007.025402,1072.150000
2018.036873,1071.700000
2029.929177,1071.400000
2042.139550,1071.100000
2054.557674,1070.700000
2067.109315,1070.230000
2079.368679,1069.870000
2091.033481,1069.480000
2102.060656,1069.140000
2112.594606,1069.030000
2131.353105,1067.770000
2151.718198,1066.970000
2162.781651,1066.560000
2174.180537,1066.230000
2185.427412,1065.870000
2197.692819,1065.590000
2209.884004,1065.260000
2222.068396,1064.910000
2234.495930,1064.570000
2246.850832,1064.050000
2258.988496,1063.630000
2270.909356,1063.330000
2282.955820,1062.950000
2294.988696,1062.710000
2307.415285,1062.630000
2319.943094,1062.670000
2332.616444,1062.840000
2345.443330,1063.040000
2358.431016,1063.450000
2371.416150,1063.710000
2384.325840,1064.080000
2397.339218,1064.500000
2410.340545,1064.920000
2422.807016,1065.440000
2434.954266,1065.890000
2447.048364,1066.290000
2458.712261,1066.720000
2470.513638,1067.160000
2482.564750,1067.520000
2494.494817,1067.830000
2506.943532,1068.060000
2519.706486,1068.200000
2532.360861,1068.230000
2544.848972,1068.250000
2556.479492,1068.190000
2568.068392,1068.210000
2579.717263,1068.190000
2591.531428,1068.130000
2603.249662,1068.190000
2615.148590,1068.330000
2626.773533,1068.560000
2638.265060,1068.640000
2649.536485,1068.340000
2660.728218,1067.640000
2672.207634,1067.000000
2683.747673,1066.110000
2695.276164,1065.380000
2706.587243,1064.670000
2717.549806,1064.560000
2728.600205,1064.350000
2740.863373,1064.300000
2752.453028,1064.340000
2764.217062,1064.370000
2775.701182,1064.480000
2787.306719,1064.240000
2798.398563,1063.930000
2810.860268,1063.650000
2823.138562,1063.450000
2835.325965,1063.220000
2847.857785,1062.910000
2860.273601,1062.700000
2872.793669,1062.450000
2885.321478,1062.030000
2898.195099,1061.800000
2911.161833,1061.650000
2924.241516,1061.440000
2937.454275,1061.180000
2950.392687,1061.260000
2963.346948,1061.330000
2975.855526,1061.570000
2988.230217,1061.680000
3000.456145,1061.770000
3012.460498,1061.760000
3024.311979,1061.840000
3035.965069,1061.800000
3047.435975,1061.840000
3058.938080,1062.050000
3070.453157,1062.170000
3080.808643,1062.250000
3099.074962,1062.250000
3118.399666,1062.090000
3128.610768,1062.380000
3139.348668,1062.680000
3150.012931,1062.990000
3162.072935,1063.090000
3174.629758,1063.150000
3187.089906,1063.270000
3199.644842,1063.400000
3212.179964,1063.640000
3224.687790,1063.890000
3237.171267,1064.090000
3249.598286,1064.280000
3262.001967,1064.350000
3274.343150,1064.430000
3286.477469,1064.600000
3298.426616,1064.830000
3310.320097,1064.940000
3322.323401,1065.130000
3334.409463,1065.190000
3346.541346,1065.020000
3358.807744,1064.830000
3370.920650,1064.810000
3383.027776,1064.940000
3395.045534,1065.010000
3407.038002,1064.860000
3419.224474,1064.760000
3431.586970,1064.750000
3443.774061,1064.910000
3455.870491,1065.030000
3467.806361,1065.070000
3479.710700,1065.000000
3491.285920,1064.430000
3503.140594,1064.010000
3514.868620,1063.990000
3526.408412,1064.250000
3538.062841,1064.370000
3550.083531,1064.480000
3562.552136,1064.480000
3575.285497,1064.450000
3587.775373,1064.460000
3600.178941,1064.380000
3612.616212,1064.210000
3624.895369,1064.000000
3637.127294,1063.810000
3649.412997,1063.630000
3661.916837,1063.430000
3674.525013,1063.240000
3687.120968,1063.060000
3699.746506,1062.850000
3712.312130,1062.640000
3724.937667,1062.460000
3737.370177,1062.310000
3749.597434,1062.160000
3761.752634,1061.950000
3773.898415,1061.820000
3786.211697,1061.710000
3798.493362,1061.580000
3811.044904,1061.440000
3823.630344,1061.280000
3836.370273,1061.110000
3849.059875,1060.950000
3861.688624,1060.730000
3874.282273,1060.540000
3886.857185,1060.330000
3899.190716,1060.100000
3911.410864,1059.840000
3923.674966,1059.600000
3936.021212,1059.400000
3948.361277,1059.200000
3960.957233,1059.000000
3973.609715,1058.910000
3986.180017,1058.840000
3998.494123,1058.740000
4010.808090,1058.560000
4022.729705,1058.370000
4035.090223,1058.180000
4047.462232,1057.940000
4059.710334,1057.510000
4071.643267,1057.080000
4083.812182,1056.390000
4096.334375,1055.720000
4109.023886,1055.100000
4121.903296,1054.700000
