x,y,z
446939.45,4519624.08,975.89
446936.58,4519642.09,976.98
446934.63,4519652.22,977.6
446931.21,4519670.33,979.25
446928.03,4519685.29,980.63
446923.96,4519698.08,981.47
446917.7,4519713.09,982.05
446911.45,4519728.25,982.83
446906.82,4519744.66,983.63
446907.99,4519761.85,983.7
446909.83,4519771.71,983.82
446914.5,4519789.69,985.71
446919.41,4519807.23,987.72
446925.03,4519824.16,989.29
446929.18,4519842.3,990.71
446930.22,4519859.12,992.85
446925.67,4519877.51,994.53
446919.64,4519895.98,995.04
446913.08,4519913.43,994.85
446905.79,4519931.27,995.08
446901.98,4519941.21,995.25
446897.88,4519951.4,995.57
446893.16,4519962.55,995.88
446888.48,4519973.07,996.08
446883.05,4519983.68,996.61
446877.45,4519993.66,996.93
446871.53,4520003.27,996.64
446865.35,4520012.33,996.11
446858.89,4520021.22,995.83
446852.13,4520030.38,995.95
446845.53,4520039.12,996.21
446839.07,4520047.85,996.44
446832.61,4520056.85,996.74
446826.13,4520065.52,997.06
446819.73,4520074.21,997.3
446813.19,4520083.25,997.56
446806.22,4520093.73,997.63
446800.1,4520102.89,998.13
446794.08,4520111.87,998.64
446787.8,4520121.43,999.01
446781.98,4520129.94,999.46
446776.45,4520139.06,999.79
446771.49,4520148.98,1000.57
446767.48,4520159.37,1001.34
446763.33,4520170.86,1002.04
446759.56,4520182.87,1002.66
446756.39,4520194.09,1003.04
446753.82,4520205.04,1003.29
446751.72,4520215.94,1003.64
446750,4520226.76,1003.96
446748.23,4520237.48,1004.22
446746.18,4520248.07,1004.29
446743.71,4520258.92,1004.32
446741.19,4520269.39,1004.45
446738.68,4520279.81,1004.59
446736.24,4520290.33,1004.49
446733.88,4520301.07,1004.5
446731.59,4520311.74,1004.38
446729.19,4520322.41,1004.37
446726.93,4520333.41,1003.98
446724.77,4520344.36,1003.51
446722.66,4520355.16,1003.04
446720.54,4520365.86,1002.76
446718.7,4520376.58,1002.66
446716.73,4520387.19,1002.78
446714.89,4520397.67,1003
446713.03,4520408.14,1003.33
446710.81,4520418.61,1003.8
446708.2,4520429.11,1004.31
446704.56,4520439.57,1004.46
446700.08,4520449.68,1004.53
446695.1,4520459.61,1004.74
446689.63,4520469.41,1005.04
446684.01,4520479.16,1005.32
446678.18,4520488.6,1005.67
446672.51,4520498.1,1006.13
446666.63,4520507.31,1006.55
446660.81,4520516.29,1007.07
446654.26,4520525.19,1007.58
446647.1,4520533.78,1007.94
446638.95,4520541.65,1008.29
446630.15,4520549.07,1008.51
446620.6,4520556.09,1008.74
446610.69,4520562.17,1009.08
446600.09,4520566.75,1009.45
446589.38,4520571.02,1010
446579.03,4520575.55,1010.48
446568.84,4520580.19,1010.88
446558.92,4520584.85,1011.52
446548.93,4520589.7,1012.14
446538.92,4520594.7,1012.74
446528.83,4520599.82,1013.29
446518.77,4520604.97,1013.93
446508.95,4520610.32,1014.86
446498.98,4520615.38,1015.7
446489.39,4520620.56,1016.51
446479.82,4520625.68,1017.25
446470.05,4520630.87,1018.05
446460.32,4520636.14,1018.66
