S,G
0.000000,0.059768
18.237242,0.059768
28.553220,0.060101
46.983318,0.089527
62.277565,0.090230
75.699525,0.062584
91.962602,0.035664
108.360410,0.047567
125.411070,0.046919
142.640841,0.004063
152.671055,0.011964
171.247634,0.101741
189.461906,0.110353
207.300328,0.088012
225.908985,0.076309
242.761106,0.126987
261.705620,0.088680
281.135026,0.026249
299.777346,-0.010192
319.049338,0.011934
329.694511,0.015970
340.678413,0.029134
352.786299,0.025603
364.300325,0.017370
376.219092,0.044468
387.662885,0.027963
398.949979,-0.025693
409.917021,-0.048327
420.906275,-0.025479
432.290615,0.010541
443.242674,0.023740
454.102899,0.021178
465.181329,0.027080
476.005344,0.029564
486.797753,0.022238
497.955405,0.023302
510.541560,0.005562
521.557912,0.045387
532.369054,0.047174
543.807236,0.032348
554.117061,0.043648
564.782674,0.030941
575.873572,0.070328
587.010546,0.069139
599.227035,0.057300
611.814846,0.049254
623.474062,0.032592
634.721613,0.022227
645.822063,0.031530
656.777920,0.029208
667.643061,0.023930
678.429655,0.006490
689.557251,0.002696
700.326248,0.012072
711.044294,0.013062
721.843553,-0.009260
732.839789,0.000909
743.752763,-0.010996
754.689348,-0.000914
765.919112,-0.034729
777.080120,-0.042111
788.084306,-0.042711
798.992303,-0.025669
809.869067,-0.009194
820.660406,0.011120
831.300707,0.020676
841.934639,0.031033
852.637409,0.043914
863.456933,0.047137
874.532185,0.013544
885.590327,0.006330
896.699121,0.018904
907.922351,0.026730
919.176101,0.024881
930.271258,0.031545
941.334662,0.041579
952.261624,0.038437
962.962689,0.048593
974.013142,0.046152
985.195883,0.032192
996.525463,0.030893
1008.036171,0.019113
1019.888720,0.019405
1031.515177,0.029244
1043.062315,0.032043
1054.592146,0.047702
1065.890084,0.042486
1077.086766,0.035725
1088.046784,0.058394
1099.151855,0.055830
1110.341140,0.053623
1121.655843,0.048609
1132.957440,0.056629
1144.140235,0.083163
1155.320776,0.075131
1166.220341,0.074315
1177.073879,0.068181
1188.136835,0.072313
1199.202358,0.055126
1210.395580,0.050030
1221.830635,0.045474
1233.426915,0.046567
1244.882656,0.033171
1256.373539,0.034810
1267.971401,0.034489
1279.767129,0.032215
1291.733649,0.030920
1303.507030,0.047565
1315.104892,0.050009
1326.407325,0.042469
1337.780192,0.055395
1348.876795,0.044158
1359.879967,0.036353
1370.816443,0.048462
1381.844444,0.048966
1392.734999,0.046830
1403.922175,0.040225
1414.606537,0.036502
1425.034903,0.044110
1435.737650,0.043914
1446.026853,0.048595
1456.184377,0.042333
1466.294422,0.035608
1486.128002,0.016134
1496.602352,0.001909
1507.665882,0.009039
1518.818065,0.000000
1530.090723,0.003548
1541.416803,0.012361
1552.987015,0.018150
1564.565983,0.014682
1576.089546,0.007810
1587.766711,0.003425
1599.654192,-0.010095
1611.474619,-0.004230
1623.116380,0.006013
1634.717898,0.024135
1645.909055,0.034849
1657.122052,0.041024
1668.470470,0.040534
1679.707881,0.052503
1691.046540,0.051152
1702.123986,0.042429
1713.086103,0.044699
1724.137460,0.035290
1735.174692,0.029899
1746.168372,0.030017
1757.166995,0.022730
1768.109065,0.021934
1778.931874,0.021251
1789.867779,0.006401
1800.924437,-0.003618
1811.890293,-0.012767
1822.819086,-0.041176
1833.978906,-0.052868
1845.122142,-0.047562
1856.444531,-0.027379
1867.759734,-0.015908
1878.827150,-0.027107
1889.542307,-0.036397
1899.959490,-0.043198
1910.151570,0.000981
1920.280539,0.038503
1939.728937,0.040620
1958.934707,0.013538
1978.536855,0.015304
1998.301280,0.014673
2008.332043,-0.013957
2018.582233,0.016585
2028.586972,0.039981
2048.421419,0.042855
2058.534035,0.058343
2068.650892,0.041515
2088.781953,0.031295
2099.057287,0.018491
2109.275002,0.036212
2119.479438,0.017639
2129.755220,0.000000
2140.177974,0.003838
2150.502207,0.029058
2160.869174,0.026044
2171.322088,0.019133
2181.761139,0.026822
2192.312319,0.016112
2203.210507,0.002753
2213.923569,-0.005601
2224.756528,0.016616
2235.498321,-0.007448
2246.121183,-0.016003
2256.501597,-0.003853
2267.533043,-0.004532
2278.330621,0.037045
2289.571889,0.047148
2301.037407,0.052331
2312.616375,0.042318
2324.002516,0.044791
2335.150861,0.033189
2346.016890,0.036812
2356.993238,0.044641
2368.222129,0.047200
2379.415739,0.044668
2390.878727,0.023554
2401.908550,0.032639
2412.562770,0.028158
2422.909412,0.026095
2433.468129,0.004735
2444.299754,0.004616
2455.454829,0.023308
2466.943384,0.016538
2478.720854,0.017831
2490.443418,0.021326
2502.241880,0.016951
2514.350542,0.029731
2526.522152,0.023004
2538.728585,0.018023
2550.683500,0.034296
2562.619873,0.036024
2574.666636,0.035694
2586.922982,0.026109
2599.041005,0.014029
2611.324279,0.013840
2623.813450,0.011210
2636.461505,0.027672
2648.934452,0.033673
2661.431852,0.031206
2673.888067,0.018465
2686.208716,0.006493
2698.557502,-0.003239
2710.874827,0.000000
2722.838075,-0.002508
2734.757273,0.005873
2746.607425,0.012658
2758.445301,0.014361
2770.612655,0.018081
2782.863389,0.018774
2795.074475,0.017197
2807.307626,0.007357
2819.539691,0.000000
2831.955487,0.000000
2844.456723,0.004000
2856.898234,0.005626
2869.323406,0.004024
2881.554465,0.008993
2893.683810,0.011542
2905.420121,0.015337
2917.202761,0.010184
2928.392296,0.017874
2939.172027,0.021336
2949.638951,-0.000955
2960.057689,-0.010558
2970.738929,-0.017788
2981.698172,0.007300
2992.812672,0.008997
3003.654996,0.011068
3015.127507,0.016561
3026.328658,0.024997
3036.914843,0.021726
3047.684527,0.001857
3058.645791,-0.009123
3069.772695,-0.010785
3080.993435,-0.010694
3092.308734,-0.000884
3103.811290,0.000869
3115.157131,0.010577
3126.373641,0.008024
3137.483727,0.008101
3148.616534,0.006288
3159.932828,0.012372
3171.571831,0.016324
3183.045649,0.002615
3194.512863,0.000872
3205.840034,0.036196
3216.948670,0.032407
3227.995199,0.019010
3239.144056,0.008073
3250.301228,0.005378
3261.834875,-0.001734
3273.121473,0.012404
3284.259965,0.024240
3295.497376,0.040935
3306.678261,0.048297
3317.971657,0.054899
3329.431012,0.064576
3340.692450,0.078143
3351.985125,0.083240
3363.249977,0.062140
3374.108729,0.062622
3384.593981,0.048640
3402.869082,0.033926
3422.608271,-0.002026
3433.068199,-0.043021
3443.537263,-0.022925
3454.169789,0.013167
3464.582978,0.033611
3475.034547,0.036358
3485.791173,0.015804
3496.954416,0.012541
3508.104528,0.002691
3520.917073,-0.004683
3534.355082,-0.011162
3547.936102,-0.009572
3561.107966,0.003796
3575.079183,0.015031
3588.624677,0.014027
3601.200387,0.003181
3612.661596,0.013088
3623.929022,0.005325
3635.055769,-0.008987
3646.369381,-0.022981
3657.489965,-0.027876
3668.725801,-0.009790
3680.016159,-0.001771
3691.284704,-0.012424
3702.530614,-0.015117
3713.821540,-0.010628
3725.348383,0.007808
3736.519954,0.016112
3748.098598,-0.000864
3758.976281,-0.026660
3779.528965,-0.051575
3790.679521,-0.030492
3801.303691,-0.019766
3812.065745,-0.024159
3822.758907,0.000935
3833.223021,0.025802
3843.758523,0.041764
3854.917936,0.052870
3866.646214,0.030695
3878.822626,-0.001643
3891.108366,-0.021977
3903.338231,-0.013900
3915.685635,-0.010529
3928.534219,-0.017123
3941.195064,-0.025275
3953.409981,-0.021285
3965.274386,-0.015171
3977.500526,0.000818
3989.957030,0.011239
4002.714749,0.007838
4015.359250,0.004745
4027.794884,0.000804
4040.322502,0.001596
4052.747356,0.004829
4065.169176,-0.003220
4077.735193,-0.011937
4090.007850,-0.014667
4102.634053,-0.013464
4115.229044,-0.013497
4127.870440,-0.014239
4140.278603,-0.010477
4152.654458,-0.008080
4164.911705,-0.000816
4177.277970,0.002426
4189.500523,0.000000
4200.298323,0.009261
4211.175088,0.013791
4222.322899,0.011661
4233.633894,0.003536
4245.120582,-0.008706
4256.692811,-0.002592
4268.468112,-0.003397
4280.299003,-0.005071
4292.533892,-0.000817
4304.774501,0.003268
4317.328803,-0.004779
4329.553274,-0.006544
4341.791648,0.000000
4353.306096,-0.010422
4364.576801,0.014196
4375.296848,0.001866
4385.840633,-0.015175
4395.907181,-0.015894
4406.421334,-0.010462
