S,G
0.000000,2.432082
0.331403,2.432082
0.542546,-2.391745
1.291950,-2.304500
2.967211,0.626768
6.036611,0.360657
10.483493,0.016416
16.896625,-0.028535
22.891865,-0.072724
28.764151,-0.108476
34.726184,0.073129
39.929131,-0.088604
45.163899,0.076221
49.888062,-0.153255
54.309830,0.082546
58.088010,-0.000265
62.692066,-0.057558
67.196332,0.139201
73.144779,-0.163572
79.475256,-0.022905
86.057026,-0.117598
98.910006,0.038979
104.584317,-0.060800
109.920944,0.055091
114.619951,-0.090019
120.300150,-0.094363
125.238931,0.127562
131.018626,0.046369
136.750870,0.082516
142.327130,0.022416
147.687514,0.054287
152.875338,-0.152087
157.944107,0.197484
164.593466,0.021205
172.178371,-0.092025
180.677766,0.142834
189.987029,-0.023525
198.773257,0.091621
207.582168,0.001135
216.287174,0.090063
226.000505,-0.055697
235.439687,0.157535
245.076980,0.079898
255.538043,0.001816
265.962151,0.080582
276.372563,0.074060
287.276738,0.035583
298.302012,0.016417
309.532073,0.028228
321.192777,0.067835
332.654869,-0.010906
343.609074,0.045188
354.311435,0.031769
364.918537,0.102667
376.151933,0.014065
387.650419,0.088186
399.192222,0.066974
411.085952,-0.024803
422.299622,-0.261556
434.657599,0.385176
446.485707,-0.136708
458.052933,0.154488
469.795935,0.097675
481.531809,0.037321
493.054364,0.016142
504.709910,0.014242
516.187416,0.055064
527.906450,0.017322
539.692363,0.056848
551.906415,0.012281
564.033606,0.026057
576.366842,0.040298
589.069433,0.047313
601.993202,0.007273
615.331136,0.052857
628.481071,0.000228
641.983078,-0.038068
655.717930,0.004587
669.938805,-0.046270
699.010014,-0.026796
713.547091,0.073742
727.837118,-0.014696
742.137852,-0.013845
756.553565,-0.065345
769.746128,-0.045935
783.271373,0.018336
796.546301,-0.048814
809.500002,-0.059906
822.299369,-0.034767
835.104872,-0.073796
847.965996,-0.016328
860.563039,-0.064380
873.054580,-0.110315
885.610937,-0.009637
897.781891,-0.053488
908.276329,0.101673
917.440231,-0.144262
925.292734,-0.099204
931.793546,0.153519
938.051340,-0.167152
944.508716,0.010840
951.746765,-0.199639
957.503116,0.046731
962.581758,-0.019493
967.269887,-0.267484
972.743506,-0.073626
978.972319,-0.130522
985.624455,0.040889
992.477744,0.172472
1000.911275,-0.002727
1010.015634,0.028887
1020.264607,-0.083716
1030.833046,-0.036618
1041.777429,-0.029604
1052.420870,0.016066
1063.150722,-0.037372
1073.718089,0.063687
1084.572732,-0.026717
1095.106519,-0.014715
1106.174875,0.073724
1117.360195,-0.065711
1129.228394,0.032777
1141.402525,0.038771
1153.931476,0.053795
1166.855054,-0.036213
1179.630257,0.123677
1192.597795,0.016426
1205.112833,0.036037
1217.517871,0.054575
1229.747087,0.048736
1242.615009,-0.023935
1254.261775,0.014339
1266.064104,-0.006694
1287.170967,0.124841
1295.644480,0.086505
1303.286611,-0.044228
1310.622890,0.139444
1317.137305,-0.124954
1322.972420,-0.059296
1328.177383,0.272817
1332.719529,0.312407
1336.864916,0.385971
1341.707954,-0.215361
1346.376455,0.258541
1351.896208,-0.203270
1357.721597,0.163766
1363.887639,-0.229969
1369.509630,0.172537
1376.044727,-0.179798
1383.101372,0.067738
1391.680792,0.014337
1400.245415,0.041800
1409.195576,-0.003911
1417.625727,0.113758
1425.838636,0.059419
1434.148567,0.105175
1442.374205,-1.600362
1452.295234,0.330913
1462.921672,0.606412
1473.271788,0.171302
1482.995441,0.183779
1493.576501,0.030432
1503.318750,0.125536
1513.104560,0.143780
1522.799086,0.061272
1533.026504,0.105599
1542.773957,0.113773
1552.873945,0.006337
1562.646732,0.052697
1572.330140,0.064027
1582.102489,0.109697
1591.805042,0.099458
1602.084103,0.024710
1612.360683,0.163089
