S,Z
0.000000,956.134000
0.331403,956.940000
0.542546,956.435000
1.291950,954.708000
2.967211,955.758000
6.036611,956.865000
10.483493,956.938000
16.896625,956.755000
22.891865,956.319000
28.764151,955.682000
34.726184,956.118000
39.929131,955.657000
45.163899,956.056000
49.888062,955.332000
54.309830,955.697000
58.088010,955.696000
62.692066,955.431000
67.196332,956.058000
73.144779,955.085000
79.475256,954.940000
86.057026,954.166000
98.910006,954.667000
104.584317,954.322000
109.920944,954.616000
114.619951,954.193000
120.300150,953.657000
125.238931,954.287000
131.018626,954.555000
136.750870,955.028000
142.327130,955.153000
147.687514,955.444000
152.875338,954.655000
157.944107,955.656000
164.593466,955.797000
172.178371,955.099000
180.677766,956.313000
189.987029,956.094000
198.773257,956.899000
207.582168,956.909000
216.287174,957.693000
226.000505,957.152000
235.439687,958.639000
245.076980,959.409000
255.538043,959.428000
265.962151,960.268000
276.372563,961.039000
287.276738,961.427000
298.302012,961.608000
309.532073,961.925000
321.192777,962.716000
332.654869,962.591000
343.609074,963.086000
354.311435,963.426000
364.918537,964.515000
376.151933,964.673000
387.650419,965.687000
399.192222,966.460000
411.085952,966.165000
422.299622,963.232000
434.657599,967.992000
446.485707,966.375000
458.052933,968.162000
469.795935,969.309000
481.531809,969.747000
493.054364,969.933000
504.709910,970.099000
516.187416,970.731000
527.906450,970.934000
539.692363,971.604000
551.906415,971.754000
564.033606,972.070000
576.366842,972.567000
589.069433,973.168000
601.993202,973.262000
615.331136,973.967000
628.481071,973.970000
641.983078,973.456000
655.717930,973.519000
669.938805,972.861000
699.010014,972.082000
713.547091,973.154000
727.837118,972.944000
742.137852,972.746000
756.553565,971.804000
769.746128,971.198000
783.271373,971.446000
796.546301,970.798000
809.500002,970.022000
822.299369,969.577000
835.104872,968.632000
847.965996,968.422000
860.563039,967.611000
873.054580,966.233000
885.610937,966.112000
897.781891,965.461000
908.276329,966.528000
917.440231,965.206000
925.292734,964.427000
931.793546,965.425000
938.051340,964.379000
944.508716,964.449000
951.746765,963.004000
957.503116,963.273000
962.581758,963.174000
967.269887,961.920000
972.743506,961.517000
978.972319,960.704000
985.624455,960.976000
992.477744,962.158000
1000.911275,962.135000
1010.015634,962.398000
1020.264607,961.540000
1030.833046,961.153000
1041.777429,960.829000
1052.420870,961.000000
