S,G
0.000000,0.119495
163.789408,0.119495
170.517683,0.034035
176.512203,0.163149
181.495078,-0.533628
187.689395,-0.018404
190.094430,-0.106028
191.106249,0.105750
191.458790,0.022692
191.551941,-1.449248
192.112940,-1.386812
192.505264,1.901493
192.898716,-0.233828
193.558278,-0.233488
193.660919,-3.936071
194.273433,2.186071
194.657168,-2.621600
194.827091,2.548226
195.019733,0.607342
201.806735,-0.099455
206.633256,-0.127835
242.805832,-0.078568
252.148629,-0.063471
261.347118,-0.016742
270.929556,-0.081712
279.947954,0.021068
289.102800,-0.036156
297.911762,-0.153821
306.742378,0.038729
315.247526,-0.097706
323.358881,0.015657
331.499327,-0.135496
338.700735,-0.052490
346.238799,0.043247
353.559757,0.334656
361.019769,-0.105094
369.068705,-0.076408
377.512405,-0.182977
386.423250,0.057234
395.535814,-0.117530
404.719876,-0.189568
414.353401,0.059272
423.377977,-0.125324
431.857073,-0.056374
439.835981,-0.031082
447.714465,0.045313
455.843000,-0.240265
463.862944,-0.156859
472.485687,-0.099620
481.162487,-0.066269
490.134508,-0.095073
499.690366,-0.081730
509.525078,-0.128829
519.872262,-0.110175
530.337318,-0.024080
541.306043,-0.072023
552.302600,-0.126494
563.748686,-0.059234
574.529301,-0.100736
584.724985,-0.042567
594.149036,-0.113221
603.532162,-0.044868
612.882329,-0.103421
622.795084,-0.090389
632.981825,-0.113186
644.182934,-0.097223
655.133667,-0.029496
667.020651,-0.099773
678.581457,-0.089700
690.688429,0.019245
702.843350,-0.168985
715.124062,-0.069621
727.522510,-0.029359
740.040280,-0.052565
752.318249,-0.061248
765.022071,-0.035659
777.136714,-0.035659
789.644667,-0.030621
802.177217,-0.069978
814.460481,-0.048114
826.784156,-0.097860
839.362723,-0.017490
851.955134,-0.030097
864.405142,-0.121847
876.643983,-0.005066
888.087355,-0.078299
899.095026,0.005087
910.116860,-0.047723
920.938818,-0.074201
932.198379,-0.140503
944.091442,-0.038174
956.095871,-0.132035
968.226741,-0.026214
979.610322,-0.079325
991.542130,-0.047185
1003.458314,-0.014602
1015.643984,-0.189321
1028.123534,-0.043351
1040.998724,0.018485
1053.894319,-0.100422
1066.212296,-0.176571
1078.522825,-0.064091
1091.268114,-0.081677
1103.405596,-0.068054
1115.391922,-0.075836
1127.193154,-0.039487
1138.738698,-0.067645
1150.215239,-0.018472
1161.519347,-0.011323
1172.640260,-0.025088
1183.433980,-0.068095
1193.288609,0.026891
1202.276476,-0.162664
1211.430831,-0.193460
1221.510382,-0.054169
1232.045723,-0.018319
1243.231143,-0.085558
1254.814889,-0.143822
1266.598028,-0.125349
1278.165371,-0.018846
1289.247510,-0.174966
1299.990781,0.053708
1311.231364,-0.179528
1322.360179,-0.083836
1334.110486,-0.062977
1345.684342,-0.069726
1357.947833,-0.053003
1370.045702,-0.066706
1382.468972,0.006520
1394.931184,-0.013240
1407.562063,-0.035548
1420.088584,-0.026344
1432.295279,0.040470
1444.414005,-0.069644
1469.296317,0.005385
1481.893996,-0.077078
1494.583422,0.066827
1507.213457,0.016390
1520.328830,-0.085320
1532.942322,-0.018552
1546.012461,-0.017215
1558.537798,-0.032015
1571.240676,-0.034480
1583.406800,0.054989
