S,Z
0.000000,1140.420000
163.789408,1159.992000
170.517683,1160.221000
176.512203,1161.199000
181.495078,1158.540000
187.689395,1158.426000
190.094430,1158.171000
191.106249,1158.278000
191.458790,1158.286000
191.551941,1158.151000
192.112940,1157.373000
192.505264,1158.119000
192.898716,1158.027000
193.558278,1157.873000
193.660919,1157.469000
194.273433,1158.808000
194.657168,1157.802000
194.827091,1158.235000
195.019733,1158.352000
201.806735,1157.677000
206.633256,1157.060000
242.805832,1154.218000
252.148629,1153.625000
261.347118,1153.471000
270.929556,1152.688000
279.947954,1152.878000
289.102800,1152.547000
297.911762,1151.192000
306.742378,1151.534000
315.247526,1150.703000
323.358881,1150.830000
331.499327,1149.727000
338.700735,1149.349000
346.238799,1149.675000
353.559757,1152.125000
361.019769,1151.341000
369.068705,1150.726000
377.512405,1149.181000
386.423250,1149.691000
395.535814,1148.620000
404.719876,1146.879000
414.353401,1147.450000
423.377977,1146.319000
431.857073,1145.841000
439.835981,1145.593000
447.714465,1145.950000
455.843000,1143.997000
463.862944,1142.739000
472.485687,1141.880000
481.162487,1141.305000
490.134508,1140.452000
499.690366,1139.671000
509.525078,1138.404000
519.872262,1137.264000
530.337318,1137.012000
541.306043,1136.222000
552.302600,1134.831000
563.748686,1134.153000
574.529301,1133.067000
584.724985,1132.633000
594.149036,1131.566000
603.532162,1131.145000
612.882329,1130.178000
622.795084,1129.282000
632.981825,1128.129000
644.182934,1127.040000
655.133667,1126.717000
667.020651,1125.531000
678.581457,1124.494000
690.688429,1124.727000
702.843350,1122.673000
715.124062,1121.818000
727.522510,1121.454000
740.040280,1120.796000
752.318249,1120.044000
765.022071,1119.591000
777.136714,1119.159000
789.644667,1118.776000
802.177217,1117.899000
814.460481,1117.308000
826.784156,1116.102000
839.362723,1115.882000
851.955134,1115.503000
864.405142,1113.986000
876.643983,1113.924000
888.087355,1113.028000
899.095026,1113.084000
910.116860,1112.558000
920.938818,1111.755000
932.198379,1110.173000
944.091442,1109.719000
956.095871,1108.134000
968.226741,1107.816000
979.610322,1106.913000
991.542130,1106.350000
1003.458314,1106.176000
1015.643984,1103.869000
1028.123534,1103.328000
1040.998724,1103.566000
1053.894319,1102.271000
1066.212296,1100.096000
1078.522825,1099.307000
1091.268114,1098.266000
1103.405596,1097.440000
1115.391922,1096.531000
1127.193154,1096.065000
1138.738698,1095.284000
1150.215239,1095.072000
1161.519347,1094.944000
1172.640260,1094.665000
1183.433980,1093.930000
1193.288609,1094.195000
1202.276476,1092.733000
1211.430831,1090.962000
1221.510382,1090.416000
1232.045723,1090.223000
1243.231143,1089.266000
1254.814889,1087.600000
1266.598028,1086.123000
1278.165371,1085.905000
1289.247510,1083.966000
1299.990781,1084.543000
1311.231364,1082.525000
1322.360179,1081.592000
1334.110486,1080.852000
1345.684342,1080.045000
1357.947833,1079.395000
1370.045702,1078.588000
1382.468972,1078.669000
1394.931184,1078.504000
1407.562063,1078.055000
1420.088584,1077.725000
1432.295279,1078.219000
1444.414005,1077.375000
1469.296317,1077.509000
1481.893996,1076.538000
1494.583422,1077.386000
1507.213457,1077.593000
1520.328830,1076.474000
1532.942322,1076.240000
1546.012461,1076.015000
1558.537798,1075.614000
1571.240676,1075.176000
1583.406800,1075.845000
1595.763833,1075.651000
1607.911672,1076.047000
1620.145457,1075.814000
1632.549006,1075.913000
1644.781950,1075.400000
1657.230142,1076.148000
1669.671806,1075.290000
1694.349778,1076.468000
1706.874322,1076.690000
1718.965309,1076.038000
1731.497472,1075.962000
1744.115628,1075.446000
1756.735854,1076.302000
1769.284594,1075.867000
1782.077257,1075.825000
1794.654354,1075.986000
