S,g
0.00,0.035
10.00,0.035
19.90,0.036
30.53,0.036
40.43,0.037
50.33,0.037
59.55,0.038
69.45,0.038
80.08,0.039
89.30,0.039
99.30,0.039
109.30,0.039
119.30,0.040
129.30,0.041
139.30,0.042
149.59,0.042
159.03,0.041
169.03,0.039
179.32,0.038
189.32,0.036
198.76,0.034
208.76,0.031
218.76,0.028
229.05,0.025
239.05,0.022
248.27,0.019
258.90,0.016
268.12,0.012
278.75,0.009
287.97,0.006
298.60,0.003
307.82,0.001
318.64,-0.002
328.64,-0.005
338.07,-0.008
347.92,-0.011
358.22,-0.015
368.06,-0.018
378.26,-0.021
387.75,-0.024
398.19,-0.026
398.19,-0.025
408.39,-0.027
417.44,-0.028
427.44,-0.029
437.49,-0.030
447.49,-0.030
457.54,-0.031
467.59,-0.033
477.64,-0.034
487.84,-0.036
498.04,-0.037
507.53,-0.038
517.72,-0.038
527.21,-0.039
537.65,-0.040
547.85,-0.040
557.34,-0.041
567.53,-0.041
577.97,-0.040
587.46,-0.039
597.66,-0.038
607.15,-0.036
617.59,-0.034
627.78,-0.031
637.00,-0.028
647.44,-0.025
657.64,-0.021
667.13,-0.018
677.57,-0.014
687.77,-0.010
697.25,-0.007
707.69,-0.004
716.91,-0.001
727.35,0.001
737.55,0.003
747.04,0.005
757.48,0.007
767.68,0.008
776.90,0.009
787.34,0.009
797.54,0.009
807.02,0.009
817.22,0.008
827.42,0.007
836.91,0.006
847.10,0.004
857.30,0.002
866.52,-0.001
876.72,-0.003
887.16,-0.006
897.21,-0.008
906.43,-0.011
916.63,-0.014
926.82,-0.017
937.02,-0.020
947.07,-0.023
956.29,-0.025
966.49,-0.028
976.54,-0.030
986.74,-0.031
996.94,-0.032
1006.99,-0.032
1016.04,-0.031
1026.24,-0.031
1036.29,-0.030
1046.49,-0.028
1056.69,-0.026
1066.74,-0.024
1076.79,-0.022
1086.98,-0.020
1096.20,-0.017
1106.25,-0.015
1116.30,-0.014
1126.50,-0.012
1136.55,-0.011
1146.75,-0.010
1155.80,-0.009
1166.00,-0.008
1176.05,-0.008
1186.25,-0.007
1196.30,-0.005
1206.50,-0.004
1216.55,-0.002
1225.77,-0.001
1235.97,-0.001
1246.01,-0.002
1256.06,-0.004
1266.26,-0.006
1276.46,-0.008
1285.52,-0.011
1295.71,-0.013
1305.91,-0.015
1316.11,-0.017
1326.31,-0.018
1335.53,-0.020
1345.73,-0.022
1355.78,-0.023
1365.97,-0.024
1375.19,-0.024
1385.63,-0.023
1395.83,-0.022
1406.03,-0.021
1415.25,-0.020
1425.45,-0.019
1435.65,-0.018
1445.84,-0.017
1456.04,-0.015
