S,UTM Z
0.00,727
10.00,728
19.90,728
30.53,728
40.43,729
50.33,730
59.55,730
69.45,730
80.08,730
89.30,731
99.30,732
109.30,732
119.30,732
129.30,733
139.30,733
149.59,734
159.03,734
169.03,734
179.32,735
189.32,735
198.76,736
208.76,736
218.76,736
229.05,736
239.05,737
248.27,737
258.90,737
268.12,737
278.75,737
287.97,737
298.60,737
307.82,737
318.64,737
328.64,737
338.07,737
347.92,737
358.22,737
368.06,737
378.26,736
387.75,736
398.19,736
398.19,736
408.39,736
417.44,736
427.44,735
437.49,735
447.49,735
457.54,734
467.59,734
477.64,734
487.84,733
498.04,733
507.53,732
517.72,732
527.21,732
537.65,731
547.85,731
557.34,731
567.53,730
577.97,730
587.46,729
597.66,729
607.15,729
617.59,728
627.78,728
637.00,728
647.44,728
657.64,728
667.13,727
677.57,727
687.77,727
697.25,727
707.69,727
716.91,727
727.35,727
737.55,727
747.04,727
757.48,727
767.68,727
776.90,727
787.34,728
797.54,728
807.02,728
817.22,728
827.42,728
836.91,728
847.10,728
857.30,728
866.52,729
876.72,728
887.16,728
897.21,728
906.43,728
916.63,728
926.82,728
937.02,728
947.07,727
956.29,727
966.49,727
976.54,726
986.74,726
996.94,726
1006.99,725
1016.04,725
1026.24,725
1036.29,725
1046.49,724
1056.69,724
1066.74,724
1076.79,723
1086.98,723
1096.20,723
1106.25,723
1116.30,723
1126.50,723
1136.55,723
1146.75,723
1155.80,723
1166.00,723
1176.05,723
1186.25,723
1196.30,723
1206.50,723
1216.55,723
1225.77,722
1235.97,722
1246.01,722
1256.06,722
1266.26,722
1276.46,722
1285.52,722
1295.71,722
1305.91,722
1316.11,722
1326.31,722
1335.53,722
1345.73,721
1355.78,721
1365.97,721
1375.19,721
1385.63,721
1395.83,720
1406.03,720
1415.25,720
1425.45,720
1435.65,720
1445.84,720
1456.04,720
1465.26,720
1475.46,719
1485.51,719
1495.71,719
1505.76,719
1514.98,719
1525.03,719
1535.08,719
1545.13,719
1555.18,719
1565.18,719
1575.23,719
1585.23,719
1595.28,719
1605.33,718
1615.38,718
1625.38,718
1635.43,718
1644.48,718
1654.53,718
1664.58,718
1674.58,718
1684.63,718
1694.68,718
1704.88,718
1715.08,718
1724.56,718
1735.00,719
1744.85,719
1754.70,719
1764.55,719
1774.55,719
1784.55,719
1794.55,719
1804.45,719
1814.35,719
1824.98,719
1834.20,719
1844.20,718
1854.49,719
1864.79,719
1873.73,719
1884.03,719
1894.33,719
1904.17,719
1914.47,719
1924.47,719
1933.90,720
1943.90,720
1953.90,720
1963.90,721
1973.80,721
1983.70,721
1994.33,722
2004.33,722
2014.33,722
2023.77,722
2034.06,722
2043.91,722
2054.21,723
2063.69,723
2073.54,723
2083.74,723
2094.18,723
2104.38,723
2113.60,723
2123.65,723
2133.65,724
2143.65,724
2153.65,724
2163.65,724
2173.70,724
2183.70,724
2193.70,724
2203.75,724
2213.75,724
2223.80,724
2233.85,724
2243.85,724
2253.85,724
2263.90,725
2273.90,725
2282.90,725
2292.90,725
2302.95,725
2312.95,725
2322.95,725
2332.95,725
2342.95,725
2353.15,725
2363.20,725
2373.25,725
2383.44,725
2392.66,726
2403.10,726
2413.30,726
2422.79,726
2433.56,726
2443.05,727
2452.89,727
2463.19,727
2473.04,728
2482.47,728
2492.77,728
2503.06,728
2512.50,728
2522.50,729
2533.31,729
2542.75,730
2553.04,730
2562.48,730
2572.77,731
2582.62,731
2592.47,732
2602.32,733
2612.76,733
2622.25,734
2632.69,734
2641.91,735
2652.11,736
2662.30,736
2672.35,736
2682.55,736
2692.60,736
2702.65,737
2711.71,738
2721.76,738
2731.81,738
2741.86,739
2751.91,739
2761.96,740
2772.01,740
2782.01,740
2792.20,741
2802.25,741
2812.25,741
2822.30,741
2831.52,742
2841.52,742
2851.57,742
2861.62,742
2871.67,742
2881.72,743
2891.77,744
2901.82,744
2911.87,744
2921.92,744
2931.97,745
2942.02,746
2952.02,746
2961.24,747
2971.29,748
2981.34,748
2991.39,749
3001.44,749
3011.49,750
3021.54,751
3031.59,751
3041.64,752
3051.69,753
3061.74,753
3071.74,754
3080.80,754
3090.99,755
3100.99,756
3111.04,756
3121.09,757
3131.29,758
3141.34,758
3151.39,759
3161.44,759
3170.66,760
3180.71,761
3190.91,761
3201.11,762
3211.30,763
3220.52,763
3230.72,764
3240.92,764
3251.36,765
3260.58,766
3271.02,766
3280.51,767
3291.28,767
3300.76,768
3310.25,769
3321.02,769
3330.51,770
3340.36,770
3351.13,771
3360.98,772
3370.83,772
3380.67,773
3390.97,773
3399.91,774
3410.21,775
3420.51,775
3430.35,775
3440.65,776
3450.08,776
3460.38,777
3470.68,777
3479.62,778
3489.92,779
3500.21,779
3510.51,780
3520.36,780
3529.79,781
3540.08,782
3549.93,782
3560.23,782
3570.53,782
3579.47,783
3589.76,784
3600.06,784
3609.91,785
3620.21,785
3629.64,786
3639.93,787
3649.37,787
3659.66,788
3669.51,788
3679.81,789
3689.66,790
3699.95,790
3709.39,791
3719.68,792
3729.53,792
3739.83,793
3750.12,793
3759.07,794
3769.36,795
3779.21,795
3789.51,796
3799.51,796
3809.36,797
3819.65,799
3829.95,799
3838.89,800
3849.19,800
3859.48,801
3869.33,802
3879.63,802
3889.06,803
3898.91,803
3909.21,804
3919.50,804
3929.80,804
3938.74,805
3949.04,805
3958.89,806
3969.18,807
3979.18,807
