S,g
0,-0.058
10,-0.057
20,-0.057
30.0498756211,-0.056
40.0997512422,-0.056
49.3192956995,-0.056
59.5173347267,-0.056
69.9576412356,-0.055
79.1771856929,-0.055
89.9475153072,-0.054
99.796373109,-0.053
109.6452309108,-0.052
119.9408610518,-0.052
129.7897188536,-0.051
140.0853489946,-0.051
149.9342067964,-0.052
159.7830645981,-0.052
169.6319223999,-0.053
179.4807802017,-0.054
189.7764103427,-0.054
200.546739957,-0.054
210.0335729375,-0.054
219.520405918,-0.053
230.2907355323,-0.052
240.1395933341,-0.05
250.579899843,-0.047
259.7994443003,-0.044
270.2397508092,-0.041
280.6800573181,-0.037
290.1668902986,-0.034
300.3649293258,-0.032
310.562968353,-0.029
320.7610073802,-0.027
330.2478403607,-0.025
340.2977159818,-0.023
350.495755009,-0.021
360.6937940362,-0.02
370.8918330633,-0.018
381.0898720905,-0.017
390.1452572287,-0.016
400.3432962558,-0.015
410.541335283,-0.014
420.7393743102,-0.014
430.9374133374,-0.013
440.9872889585,-0.013
451.1853279857,-0.012
460.404872443,-0.012
470.6029114702,-0.012
480.6527870913,-0.012
490.8508261185,-0.013
501.0488651457,-0.013
511.2469041729,-0.013
521.4449432001,-0.013
531.4948188212,-0.013
540.5502039593,-0.014
550.7482429865,-0.014
560.9462820137,-0.014
571.1443210409,-0.014
581.3423600681,-0.013
591.5403990952,-0.013
601.5902747164,-0.013
610.8098191737,-0.014
620.8596947948,-0.014
631.057733822,-0.015
641.2557728491,-0.016
651.4538118763,-0.018
661.6518509035,-0.019
671.7017265246,-0.02
681.8997655518,-0.021
691.3865985323,-0.022
701.5846375595,-0.022
711.07147054,-0.022
721.5117770489,-0.022
731.9520835578,-0.022
741.8009413596,-0.022
751.6497991614,-0.021
761.4986569632,-0.021
771.7942871042,-0.021
781.643144906,-0.021
791.938775047,-0.021
802.234405188,-0.02
811.66838632,-0.019
821.964016461,-0.018
831.3979975931,-0.017
842.2146514195,-0.015
851.6486325515,-0.014
862.4652863779,-0.012
871.89926751,-0.011
882.194897651,-0.01
892.0437554528,-0.009
902.3393855938,-0.008
912.1882433956,-0.008
922.6285499045,-0.008
932.115382885,-0.008
942.1652585061,-0.009
952.3632975333,-0.009
962.4131731544,-0.009
972.4131731544,-0.009
982.4131731544,-0.007
992.4131731544,-0.005
1002.4131731544,-0.002
1012.4630487755,0.001
1022.5129243966,0.003
1032.5628000178,0.004
1042.6126756389,0.005
1052.6126756389,0.005
1062.66255126,0.004
1072.7124268811,0.003
1082.7623025022,0.002
1092.8121781234,0.001
1102.2990111039,0.001
1113.0693407181,0.001
1122.5561736986,0.002
1132.8518038396,0.002
1142.7006616414,0.001
1152.9962917824,0
1162.8451495842,-0.002
1173.1407797252,-0.004
1182.989637527,-0.006
1193.285267668,-0.008
1203.1341254698,-0.011
1213.4297556108,-0.013
1223.2786134126,-0.015
1233.5742435536,-0.017
1243.4231013553,-0.019
1252.8570824874,-0.021
1263.1527126284,-0.023
1273.0015704302,-0.024
1283.7719000445,-0.024
1293.6207578463,-0.023
1303.1075908268,-0.021
1313.877920441,-0.02
1323.3647534215,-0.019
1333.4146290427,-0.019
1343.6126680698,-0.02
1353.810707097,-0.021
1363.8605827181,-0.022
1374.0586217453,-0.022
1384.0586217453,-0.021
1394.1084973665,-0.02
1403.1638825046,-0.019
1413.3619215318,-0.018
1423.8022280407,-0.017
1434.0002670679,-0.017
1444.1983060951,-0.016
1454.2481817162,-0.016
1463.4677261735,-0.015
1473.5176017946,-0.015
1483.5674774157,-0.014
1493.6173530368,-0.013
1503.667228658,-0.012
1513.8652676851,-0.01
1523.9151433063,-0.008
1533.9650189274,-0.006
1544.0148945485,-0.004
1554.2129335757,-0.003
1564.2628091968,-0.002
1574.3126848179,-0.003
1584.362560439,-0.004
1594.5605994662,-0.007
1604.5605994662,-0.01
1614.6104750874,-0.014
1624.6603507085,-0.017
1634.6603507085,-0.02
1644.7102263296,-0.023
1654.7601019507,-0.024
1664.7601019507,-0.023
1674.7601019507,-0.021
1684.7601019507,-0.019
1694.8099775718,-0.016
1704.2968105523,-0.014
1714.7371170613,-0.012
1724.5859748631,-0.01
1735.026281372,-0.009
1744.8751391738,-0.009
1755.3154456827,-0.008
1764.8022786632,-0.008
1774.651136465,-0.008
1784.946766606,-0.008
1794.7956244078,-0.008
1804.7956244078,-0.008
1815.4257702205,-0.008
1824.6453146778,-0.008
1834.6453146778,-0.007
1844.9409448188,-0.007
1854.7898026206,-0.006
1865.2301091295,-0.006
1875.4281481567,-0.006
1884.647692614,-0.006
1895.0879991229,-0.006
1905.28603815,-0.005
1915.726344659,-0.005
1924.9458891163,-0.004
1934.9957647374,-0.004
1945.1938037646,-0.004
1955.1938037646,-0.004
1965.2436793857,-0.004
1975.2935550068,-0.005
1985.3434306279,-0.005
1995.3434306279,-0.005
2005.393306249,-0.005
2015.4431818702,-0.004
2025.6412208973,-0.004
2035.8392599245,-0.003
2045.6881177263,-0.002
2055.5369755281,-0.001
2065.3858333299,0
2075.6814634709,0.001
2085.9770936119,0.001
2095.411074744,0.002
2105.7067048849,0.002
2115.5555626867,0.002
2125.8511928277,0.001
2135.3380258082,0.001
2145.7783323171,0
2155.8282079383,0
2165.8780835594,0.001
2175.9279591805,0.002
2185.9778348016,0.004
2196.0277104227,0.007
2206.2257494499,0.011
2215.7125824304,0.016
2226.1528889393,0.022
2236.0017467411,0.028
2245.8506045429,0.034
2256.1462346839,0.04
2265.9950924857,0.045
2275.8439502875,0.05
2285.6928080893,0.055
2296.4631377036,0.059
2306.3119955054,0.062
2316.6076256464,0.064
2326.4564834482,0.065
2336.7521135891,0.066
2346.6009713909,0.067
2356.4498291927,0.067
2366.7454593337,0.068
2376.5943171355,0.068
2386.8899472765,0.068
2396.7388050783,0.069
2407.0344352193,0.069
2416.8832930211,0.069
2426.3701260016,0.068
2436.8104325105,0.067
2446.297265491,0.066
2456.7375719999,0.064
2466.9356110271,0.062
2476.4224440076,0.061
2486.8627505165,0.06
2496.349583497,0.059
2507.1199131113,0.059
2516.9687709131,0.059
2526.8176287149,0.059
2537.1132588559,0.059
2546.5472399879,0.06
2556.8428701289,0.06
2566.6917279307,0.061
2576.8897669579,0.062
2586.939642579,0.063
2596.9895182001,0.063
2606.4763511806,0.063
2616.7719813216,0.061
2626.7719813216,0.059
2636.6714762582,0.056
2646.6714762582,0.052
2656.52033406,0.048
2666.0071670405,0.044
2676.0570426617,0.042
2686.0570426617,0.041
2696.2550816889,0.04
2706.453120716,0.04
2715.9399536965,0.04
2726.3802602055,0.04
2736.8205667144,0.04
2745.8759518525,0.039
2755.9258274736,0.039
2765.9258274736,0.038
2775.9258274736,0.036
2786.1238665008,0.034
2796.321905528,0.03
2806.7622120369,0.026
2816.6110698387,0.022
2826.0979028192,0.017
2836.8682324335,0.013
2846.355065414,0.01
2856.7953719229,0.007
2866.6442297247,0.005
2876.4930875265,0.004
2886.3419453283,0.003
2896.6375754693,0.002
2906.4864332711,0.001
2917.3030870974,0.001
2926.5226315547,0
2936.5226315547,0
2947.1527773675,-0.001
2956.3723218248,-0.002
2966.3723218248,-0.004
2976.3723218248,-0.006
2987.1889756512,-0.008
2997.1889756512,-0.012
3006.4085201085,-0.016
3017.0386659212,-0.021
3027.0386659212,-0.026
3036.4726470532,-0.031
3046.7682771942,-0.036
3057.2085837031,-0.041
3067.2584593243,-0.045
3077.3083349454,-0.049
3087.3083349454,-0.051
3097.3582105665,-0.052
3106.5777550238,-0.051
3116.775794051,-0.049
3126.9738330782,-0.047
3137.1718721054,-0.044
3147.3699111325,-0.041
3157.4197867537,-0.038
3167.4696623748,-0.035
3177.4696623748,-0.032
3187.5195379959,-0.03
3197.5195379959,-0.028
3207.5195379959,-0.028
3217.569413617,-0.029
3227.6192892381,-0.031
3237.6192892381,-0.034
3247.6691648593,-0.038
3257.6691648593,-0.042
3267.6691648593,-0.046
3277.6691648593,-0.05
3287.6691648593,-0.053
3297.6691648593,-0.055
3307.6691648593,-0.057
3317.7190404804,-0.058
3327.7689161015,-0.059
3337.8187917226,-0.06
3348.0168307498,-0.061
3358.0667063709,-0.062
3368.1165819921,-0.064
3378.1664576132,-0.065
3388.1664576132,-0.066
3397.3860020705,-0.067
3407.8263085794,-0.066
3417.6751663812,-0.065
3427.6751663812,-0.062
3437.6751663812,-0.058
3447.9707965222,-0.053
3457.819654324,-0.047
3467.0391987813,-0.04
3477.0890744024,-0.034
3487.1389500235,-0.028
3497.3369890507,-0.022
3508.107318665,-0.018
3517.5941516455,-0.014
3527.4430094473,-0.011
3537.291867249,-0.008
3547.58749739,-0.005
3557.58749739,-0.001
3567.58749739,0.003
3577.4869923266,0.008
3588.1171381394,0.012
3597.5511192714,0.017
3607.8467494124,0.02
3617.6956072142,0.023
3627.544465016,0.025
3637.840095157,0.026
3647.6889529588,0.026
3657.5378107606,0.026
3667.8334409016,0.025
3677.6822987034,0.023
3687.9779288444,0.021
3697.9779288444,0.018
3707.9779288444,0.015
3717.9779288444,0.011
3727.9779288444,0.007
3737.8267866462,0.003
3748.0248256733,-0.001
3758.0747012945,-0.004
3767.1300864326,-0.007
3777.9004160469,-0.011
3787.7492738487,-0.015
3797.6487687853,-0.019
3806.8683132426,-0.024
3817.684967069,-0.027
3827.5338248708,-0.03
3837.8294550118,-0.032
3847.6783128135,-0.033
3857.9739429545,-0.033
3867.9739429545,-0.033
3877.8734378911,-0.032
3887.8734378911,-0.032
3897.8734378911,-0.031
3907.3074190232,-0.031
3918.1240728496,-0.031
3927.9729306514,-0.032
3937.8217884532,-0.033
3947.670646255,-0.034
3957.966276396,-0.036
3967.8151341978,-0.039
3977.6639919996,-0.043
3987.5128498014,-0.047
3997.8084799423,-0.052
4008.2487864513,-0.056
4018.097644253,-0.059
4027.9465020548,-0.062
4037.7953598566,-0.064
4048.0909899976,-0.066
4058.5312965065,-0.068
4067.9652776386,-0.069
4078.7356072529,-0.069
4088.5844650547,-0.069
4098.8800951956,-0.068
4108.7289529974,-0.068
4118.5778107992,-0.067
4128.8734409402,-0.066
4138.722298742,-0.065
4149.017928883,-0.065
4159.017928883,-0.066
4168.9174238196,-0.068
4178.1369682769,-0.069
4188.4325984179,-0.071
4198.2814562197,-0.071
4208.7217627286,-0.071
4218.2085957091,-0.07
4228.648902218,-0.067
4238.8469412452,-0.062
4249.0449802724,-0.056
4258.5318132529,-0.048
4268.7298522801,-0.04
4279.170158789,-0.032
4288.6569917695,-0.025
4298.8550307967,-0.019
4309.2953373056,-0.014
4318.5148817629,-0.011
4328.9551882718,-0.009
4338.4420212523,-0.007
4348.8823277612,-0.006
4359.0803667884,-0.005
4369.2784058156,-0.005
4378.7652387961,-0.004
4388.9632778233,-0.004
4399.4035843322,-0.004
4408.8904173127,-0.005
4419.0884563399,-0.005
4429.5287628488,-0.005
4439.0155958293,-0.004
4448.8644536311,-0.003
4458.8644536311,-0.002
4469.4945994438,-0.001
4479.3434572456,-0.001
4488.8302902261,-0.002
4499.270596735,-0.002
4509.4686357622,-0.003
4518.6881802195,-0.003
4529.1284867284,-0.003
4538.9773445302,-0.002
4549.4176510391,-0.002
4559.7132811801,-0.002
4569.1472623122,-0.002
4579.4428924532,-0.003
4589.4428924532,-0.004
4599.3423873898,-0.005
4609.3423873898,-0.007
4619.9725332025,-0.008
4629.4065143346,-0.009
4640.223168161,-0.01
4650.0720259628,-0.011
4659.5588589433,-0.013
4669.7568979704,-0.014
4679.9549369976,-0.016
4690.0048126188,-0.018
4700.0546882399,-0.019
4710.104563861,-0.021
4720.1544394821,-0.021
4730.2043151032,-0.021
4740.2043151032,-0.02
4750.4023541304,-0.018
4759.6218985877,-0.015
4770.0622050966,-0.011
4779.9110628984,-0.006
4790.6813925127,-0.002
4800.5302503145,0.003
4810.3791081163,0.007
4820.6747382573,0.011
4829.6190101673,0.014
4839.9146403083,0.017
4850.2102704492,0.019
4860.059128251,0.021
4870.354758392,0.022
4880.2036161938,0.022
4890.4992463348,0.023
4900.7948764758,0.023
4910.2288576078,0.023
4920.0777154096,0.023
4929.9265732114,0.022
4940.2222033524,0.022
4950.0710611542,0.022
4960.3666912952,0.023
4970.215549097,0.023
4980.511179238,0.023
4990.3600370398,0.023
5000.6556671808,0.023
5010.9512973218,0.023
5020.8001551236,0.023
5031.0957852645,0.022
5040.9446430663,0.022
5050.3786241984,0.023
5060.6742543394,0.023
5070.9698844804,0.024
5080.8187422822,0.026
5091.1143724232,0.027
5100.963230225,0.029
5111.2588603659,0.031
5121.1077181677,0.034
5131.4033483087,0.036
5141.2522061105,0.039
5151.5478362515,0.041
5160.9818173836,0.043
5170.8306751854,0.044
5181.1263053263,0.045
5191.4219354673,0.046
5201.2707932691,0.046
5211.5664234101,0.046
5221.4152812119,0.046
5231.7109113529,0.046
5241.5597691547,0.046
5251.8553992957,0.045
5261.7042570975,0.045
5271.1382382295,0.045
5281.4338683705,0.044
5291.2827261723,0.043
5301.5783563133,0.041
5311.4272141151,0.038
5321.7228442561,0.035
5331.5717020579,0.032
5341.8673321989,0.029
5351.7161900007,0.027
5362.0118201416,0.024
5371.8606779434,0.022
5381.2946590755,0.02
5392.0649886898,0.018
5401.4989698218,0.016
5411.7945999628,0.015
5422.0902301038,0.014
5431.5242112359,0.013
5442.3408650622,0.014
5451.7748461943,0.015
5461.7748461943,0.017
5471.7748461943,0.02
5482.404992007,0.023
5491.6245364643,0.026
5502.2546822771,0.029
5512.1541772137,0.032
5522.0536721503,0.035
5531.9531670869,0.037
5542.5833128996,0.04
5552.5833128996,0.042
5561.8028573569,0.045
5572.6195111833,0.047
5582.0534923154,0.049
5592.3491224564,0.051
5602.1979802582,0.052
5612.4936103991,0.054
5621.9804433797,0.055
5632.4207498886,0.056
5642.8610563975,0.057
5652.7099141993,0.057
5662.1967471798,0.058
5672.6370536887,0.058
5682.1238866692,0.058
5692.5641931781,0.059
5703.004499687,0.059
5712.8533574888,0.059
5723.2936639977,0.058
5732.7804969782,0.058
5742.2673299587,0.057
5753.037659573,0.056
5762.8865173748,0.055
5773.1821475158,0.054
5783.1821475158,0.054
5793.1821475158,0.054
5803.0816424524,0.054
5812.981137389,0.054
5822.981137389,0.054
5832.981137389,0.055
5842.981137389,0.055
5853.27676753,0.054
5863.27676753,0.053
5873.27676753,0.052
5883.27676753,0.051
5893.27676753,0.05
5903.9069133427,0.05
5913.1264578,0.05
5923.7566036128,0.05
5933.1905847448,0.05
5943.0394425466,0.049
5953.3350726876,0.048
5963.1839304894,0.046
5973.6242369983,0.044
5983.4730948001,0.041
5993.6711338273,0.04
6004.1114403362,0.038
6013.5982733167,0.038
6023.4471311185,0.037
6033.8874376274,0.037
6043.7362954292,0.037
6053.585153231,0.037
6063.880783372,0.038
6074.176413513,0.039
6084.472043654,0.041
6093.906024786,0.042
6103.906024786,0.044
6113.906024786,0.046
6124.5361705987,0.047
6133.755715056,0.049
6144.3858608688,0.05
6154.3858608688,0.051
6164.2853558054,0.051
6174.2853558054,0.052
6184.2853558054,0.052
6194.184850742,0.052
6204.184850742,0.052
6214.184850742,0.052
6224.184850742,0.053
6234.184850742,0.053
6244.184850742,0.053
6254.480480883,0.052
6264.776111024,0.051
6274.210092156,0.049
6284.505722297,0.046
6294.3545800988,0.042
6304.7948866077,0.038
6314.6437444095,0.034
6324.13057739,0.029
6334.5708838989,0.025
6344.7689229261,0.021
6355.209229435,0.017
6364.4287738923,0.013
6374.8690804012,0.01
6384.9189560224,0.006
6395.3592625313,0.002
6405.4091381524,-0.002
6415.6071771796,-0.005
6424.8267216369,-0.008
6435.024760664,-0.011
6445.2227996912,-0.013
6455.4208387184,-0.015
6465.4707143395,-0.016
6475.5205899607,-0.017
6484.740134418,-0.017
6494.9381734451,-0.017
6505.1362124723,-0.017
6515.3342514995,-0.016
6525.5322905267,-0.014
6535.7303295539,-0.011
6545.9283685811,-0.007
6555.1479130384,-0.004
6565.3459520655,0
6575.5439910927,0.004
6585.7420301199,0.009
6594.9615745772,0.013
6605.4018810861,0.017
6615.5999201133,0.02
6626.0402266222,0.023
6636.0901022433,0.025
6645.5769352238,0.026
6655.774974251,0.026
6665.9730132782,0.026
6676.0228888993,0.026
6686.2209279265,0.025
6696.2708035476,0.025
6705.4903480049,0.024
6715.6883870321,0.024
6725.8864260593,0.024
6736.0844650865,0.024
6746.2825041137,0.025
6756.4805431409,0.025
6765.7000875982,0.026
6775.8981266253,0.027
6785.9480022465,0.028
6795.9978778676,0.029
6806.1959168948,0.03
6816.393955922,0.031
6826.4438315431,0.032
6836.4937071642,0.032
6846.6917461914,0.033
6856.8897852186,0.033
6865.9451703567,0.033
6876.1432093839,0.033
6886.193085005,0.032
6896.3911240322,0.032
6906.5891630594,0.031
6916.7872020866,0.031
6926.9852411138,0.03
6936.204785571,0.03
6946.4028245982,0.029
6956.6008636254,0.028
6966.7989026526,0.028
6976.9969416798,0.027
6987.0468173009,0.027
6997.2448563281,0.027
7006.3002414662,0.027
7016.4982804934,0.028
7026.6963195206,0.028
7036.7461951417,0.029
7046.7960707628,0.029
7056.845946384,0.03
7067.0439854112,0.03
7077.0938610323,0.03
7087.1437366534,0.03
7097.1936122745,0.029
7107.2434878956,0.029
7117.2933635168,0.028
7127.3432391379,0.028
7137.393114759,0.028
7147.4429903801,0.028
7157.4928660012,0.029
7167.5427416224,0.029
7177.5926172435,0.029
7187.5926172435,0.028
7197.7906562707,0.028
7207.8405318918,0.028
7217.8405318918,0.028
7227.0600763491,0.029
7237.1099519702,0.029
7247.1099519702,0.029
7257.3079909974,0.029
7267.3578666185,0.029
7277.3578666185,0.03
7287.4077422396,0.03
7297.4576178607,0.03
7307.5074934819,0.029
7317.557369103,0.027
7327.6072447241,0.025
7337.6571203452,0.022
