S,z
0,765
10,764.42
20,763.85
30.0498756211,763.2771570896
40.0997512422,762.7143640548
49.3192956995,762.1980695652
59.5173347267,761.6269793797
69.9576412356,761.0423222152
79.1771856929,760.53524727
89.9475153072,759.9428791412
99.796373109,759.41104082
109.6452309108,758.8890513565
119.9408610518,758.3536785891
129.7897188536,757.8415379834
140.0853489946,757.3164608462
149.9342067964,756.8141690983
159.7830645981,756.3020284927
169.6319223999,755.789887887
179.4807802017,755.2678984235
189.7764103427,754.7119343959
200.546739957,754.1303365967
210.0335729375,753.6180476157
219.520405918,753.1057586348
230.2907355323,752.5349311652
240.1395933341,752.0227905595
250.579899843,751.5007752341
259.7994443003,751.0674566446
270.2397508092,750.6080831582
280.6800573181,750.1800305913
290.1668902986,749.8290177711
300.3649293258,749.4822844441
310.562968353,749.1559471953
320.7610073802,748.8602040635
330.2478403607,748.604059573
340.2977159818,748.3528126825
350.495755009,748.1182577849
360.6937940362,747.9040989653
370.8918330633,747.7001381847
381.0898720905,747.5165734823
390.1452572287,747.3626319349
400.3432962558,747.1994633105
410.541335283,747.0464927251
420.7393743102,746.9037201787
430.9374133374,746.7609476323
440.9872889585,746.6302992492
451.1853279857,746.4977247419
460.404872443,746.3870902084
470.6029114702,746.2647137401
480.6527870913,746.1441152326
490.8508261185,746.0217387643
501.0488651457,745.8891642569
511.2469041729,745.7565897496
521.4449432001,745.6240152422
531.4948188212,745.4933668591
540.5502039593,745.3756468523
550.7482429865,745.232874306
560.9462820137,745.0901017596
571.1443210409,744.9473292132
581.3423600681,744.8045566668
591.5403990952,744.6719821595
601.5902747164,744.5413337764
610.8098191737,744.4214796985
620.8596947948,744.2807814398
631.057733822,744.1380088934
641.2557728491,743.985038308
651.4538118763,743.8218696835
661.6518509035,743.638304981
671.7017265246,743.4473573442
681.8997655518,743.2433965637
691.3865985323,743.0441730711
701.5846375595,742.8198162125
711.07147054,742.6111058869
721.5117770489,742.3814191437
731.9520835578,742.1517324005
741.8009413596,741.9350575289
751.6497991614,741.7183826573
761.4986569632,741.5115566434
771.7942871042,741.2953484105
781.643144906,741.0885223966
791.938775047,740.8723141637
802.234405188,740.6561059307
811.66838632,740.4674263081
821.964016461,740.2718093354
831.3979975931,740.101997675
842.2146514195,739.91811456
851.6486325515,739.776604843
862.4652863779,739.6251716894
871.89926751,739.5119639158
882.194897651,739.3987119843
892.0437554528,739.3002234063
902.3393855938,739.207562735
912.1882433956,739.1287718726
922.6285499045,739.0452494205
932.115382885,738.9693547567
942.1652585061,738.8889557517
952.3632975333,738.7971734004
962.4131731544,738.7067245199
972.4131731544,738.6167245199
982.4131731544,738.5267245199
992.4131731544,738.4567245199
1002.4131731544,738.4067245199
1012.4630487755,738.3866247686
1022.5129243966,738.3966746442
1032.5628000178,738.4268242711
1042.6126756389,738.4670237736
1052.6126756389,738.5170237736
1062.66255126,738.5672731517
1072.7124268811,738.6074726542
1082.7623025022,738.637622281
1092.8121781234,738.6577220323
1102.2990111039,738.6672088653
1113.0693407181,738.6779791949
1122.5561736986,738.6874660279
1132.8518038396,738.7080572881
1142.7006616414,738.7277550037
1152.9962917824,738.7380506339
1162.8451495842,738.7380506339
1173.1407797252,738.7174593736
1182.989637527,738.6780639424
1193.285267668,738.6162901615
1203.1341254698,738.5374992991
1213.4297556108,738.4242473676
1223.2786134126,738.2962122162
1233.5742435536,738.141777764
1243.4231013553,737.9743471814
1252.8570824874,737.7951015399
1263.1527126284,737.5788933069
1273.0015704302,737.3523695775
1283.7719000445,737.0938816668
1293.6207578463,736.8575090795
1303.1075908268,736.639311921
1313.877920441,736.4131349991
1323.3647534215,736.2233983395
1333.4146290427,736.0324507027
1343.6126680698,735.8386879611
1353.810707097,735.6347271806
1363.8605827181,735.4236797926
1374.0586217453,735.199322934
1384.0586217453,734.979322934
1394.1084973665,734.7682755459
1403.1638825046,734.5871678431
1413.3619215318,734.3934051016
