s,g
0,0.0005
9.4868329805,0.0005
19.9271394894,0.0005
29.7759972912,0.0005
39.2628302717,0.00051
50.033159886,0.00051
59.5199928665,0.00051
69.3688506683,0.00051
80.1391802826,0.00052
89.9880380844,0.00053
99.4748710649,0.00053
109.3237288667,0.00052
119.6193590076,0.00051
129.9149891486,0.00051
139.3489702807,0.00051
149.3489702807,0.00052
159.3489702807,0.00052
169.3489702807,0.0005
179.9791160934,0.00047
189.1986605507,0.00044
199.0981554873,0.00042
208.9976504239,0.00043
218.8971453605,0.00044
229.5272911733,0.00046
239.4267861099,0.00048
249.4267861099,0.0005
259.3262810465,0.00051
269.3262810465,0.0005
279.2257759831,0.00048
289.1252709197,0.00047
299.7554167325,0.00047
308.9749611898,0.00049
319.6051070025,0.00052
329.5046019391,0.00054
339.5046019391,0.00056
349.5046019391,0.00058
359.5046019391,0.00059
368.9385830712,0.00058
379.2342132121,0.00057
388.6681943442,0.00057
398.9638244852,0.00058
409.2594546262,0.00059
418.6934357582,0.00059
429.5100895846,0.00058
438.9440707167,0.00056
449.2397008577,0.00053
459.5353309987,0.00052
468.9693121307,0.00051
479.2649422717,0.00051
489.5605724127,0.00051
498.9945535447,0.00052
509.2901836857,0.00052
518.7241648178,0.00051
529.0197949588,0.00049
539.0197949588,0.00046
549.3154250998,0.00043
559.3154250998,0.0004
569.3154250998,0.00038
579.3154250998,0.00037
589.3154250998,0.00037
599.3154250998,0.00038
608.5349695571,0.0004
619.1651153698,0.00042
628.3846598271,0.00043
639.0148056398,0.00044
649.0148056398,0.00044
659.0148056398,0.00043
669.0148056398,0.00041
679.0148056398,0.00039
689.0148056398,0.00039
699.0148056398,0.00038
708.4487867719,0.00039
718.7444169129,0.00039
728.1783980449,0.00039
738.4740281859,0.00039
749.2906820123,0.0004
758.7246631444,0.00042
768.5735209461,0.00044
778.8691510871,0.00045
789.1647812281,0.00046
798.5987623602,0.00045
808.447620162,0.00042
818.743250303,0.00039
829.0388804439,0.00036
838.472861576,0.00035
848.768491717,0.00036
858.202472849,0.00038
868.49810299,0.00042
878.3469607918,0.00045
888.6425909328,0.00045
898.9382210738,0.00044
908.3722022059,0.00044
918.6678323468,0.00046
928.9634624878,0.00048
938.3974436199,0.0005
948.2463014217,0.00051
958.5419315627,0.00053
968.5419315627,0.00055
978.8375617037,0.00056
988.2715428357,0.00057
998.5671729767,0.00059
1008.0011541088,0.00061
1018.8178079352,0.00061
1028.2517890672,0.00059
1038.2517890672,0.00056
1048.5474192082,0.00052
1058.5474192082,0.00049
1068.5474192082,0.00046
1078.5474192082,0.00044
1088.4469141448,0.00042
1098.4469141448,0.00041
1108.4469141448,0.00041
1119.0770599575,0.00043
1128.2966044148,0.00045
1138.9267502276,0.00045
1148.1462946849,0.00046
1158.7764404976,0.00046
1168.6759354342,0.00047
1178.5754303708,0.00046
1188.4749253074,0.00045
