s,z
0,492
9.4868329805,492.0047434165
19.9271394894,492.0099635697
29.7759972912,492.0148879986
39.2628302717,492.0197262835
50.033159886,492.0252191516
59.5199928665,492.0300574364
69.3688506683,492.0350803539
80.1391802826,492.0406809253
89.9880380844,492.0459008199
99.4748710649,492.0509288414
109.3237288667,492.0560502474
119.6193590076,492.0613010188
129.9149891486,492.0665517902
139.3489702807,492.0713631206
149.3489702807,492.0765631206
159.3489702807,492.0817631206
169.3489702807,492.0867631206
179.9791160934,492.0917592891
189.1986605507,492.0958158887
199.0981554873,492.0999736765
208.9976504239,492.1042304594
218.8971453605,492.1085862371
229.5272911733,492.1134761042
239.4267861099,492.1182278618
249.4267861099,492.1232278618
259.3262810465,492.1282766042
269.3262810465,492.1332766042
279.2257759831,492.1380283618
289.1252709197,492.1426811244
299.7554167325,492.1476772929
308.9749611898,492.1521948697
319.6051070025,492.1577225455
329.5046019391,492.1630682728
339.5046019391,492.1686682728
349.5046019391,492.1744682728
359.5046019391,492.1803682728
368.9385830712,492.1858399818
379.2342132121,492.191708491
388.6681943442,492.1970858603
398.9638244852,492.2030573257
409.2594546262,492.2091317475
418.6934357582,492.2146977964
429.5100895846,492.2209714556
438.9440707167,492.226254485
449.2397008577,492.231711169
459.5353309987,492.2370648967
468.9693121307,492.2418762271
479.2649422717,492.2471269984
489.5605724127,492.2523777698
498.9945535447,492.25728344
509.2901836857,492.2626371677
518.7241648178,492.2674484981
529.0197949588,492.2724933568
539.0197949588,492.2770933568
549.3154250998,492.2815204778
559.3154250998,492.2855204778
569.3154250998,492.2893204778
579.3154250998,492.2930204778
589.3154250998,492.2967204778
599.3154250998,492.3005204778
608.5349695571,492.3042082956
619.1651153698,492.3086729568
628.3846598271,492.3126373609
639.0148056398,492.3173146251
649.0148056398,492.3217146251
659.0148056398,492.3260146251
669.0148056398,492.3301146251
679.0148056398,492.3340146251
689.0148056398,492.3379146251
699.0148056398,492.3417146251
708.4487867719,492.3453938777
718.7444169129,492.3494091735
728.1783980449,492.3530884261
738.4740281859,492.3571037219
749.2906820123,492.3614303834
758.7246631444,492.3653926555
768.5735209461,492.3697261529
778.8691510871,492.3743591865
789.1647812281,492.3790951763
798.5987623602,492.3833404679
808.447620162,492.3874769881
818.743250303,492.3914922839
829.0388804439,492.3951987107
838.472861576,492.3985006041
848.768491717,492.402207031
858.202472849,492.4057919438
868.49810299,492.4101161085
878.3469607918,492.4145480945
888.6425909328,492.419181128
898.9382210738,492.4237112053
908.3722022059,492.427862157
918.6678323468,492.4325981469
928.9634624878,492.4375400493
938.3974436199,492.4422570399
948.2463014217,492.4472799574
958.5419315627,492.4527366414
968.5419315627,492.4582366414
978.8375617037,492.4640021942
988.2715428357,492.4693795635
998.5671729767,492.4754539853
1008.0011541088,492.4812087138
1018.8178079352,492.4878068726
1028.2517890672,492.4933729215
1038.2517890672,492.4989729215
1048.5474192082,492.5043266491
1058.5474192082,492.5092266491
1068.5474192082,492.5138266491
1078.5474192082,492.5182266491
1088.4469141448,492.522384437
1098.4469141448,492.526484437
1108.4469141448,492.530584437
1119.0770599576,492.5351553997
1128.2966044148,492.5393041947
1138.9267502276,492.5440877603
1148.1462946849,492.5483287508
1158.7764404976,492.5532186178
1168.6759354342,492.5578713805
1178.5754303708,492.5624251481
1188.4749253074,492.5668799209
1198.3744202441,492.5713346936
1208.2739151807,492.5757894663
1218.1734101173,492.580244239
1228.0729050539,492.5846990117
1237.9723999905,492.5890547895
1247.8718949271,492.5934105673
1257.7713898637,492.5977663451
1267.6708848003,492.6022211178
1278.3010306131,492.6072172863
1288.2005255497,492.6120680388
1298.1000204863,492.6169187914
1307.9995154229,492.6217695439
1317.8990103595,492.6267192913
1328.5291561723,492.6320343642
1338.4286511089,492.6369841117
1348.3281460455,492.6419338592
1358.2276409821,492.6467846117
1368.1271359187,492.6516353642
1378.0266308553,492.6565851117
1387.9261257919,492.6616338541
1397.8256207285,492.6666825965
1407.7251156651,492.6717313389
1417.6246106018,492.6768790763
1428.2547564145,492.6824067521
1438.1542513511,492.6876534845
1448.0537462877,492.6928012218
1457.273290745,492.697410994
1467.1727856816,492.7019647617
1477.8029314944,492.706429423
1487.702426431,492.7100922361
1498.3325722437,492.7134938827
1508.2320671803,492.7161667464
1517.4516116376,492.7182872416
1528.0817574503,492.7204132708
1537.981252387,492.7220961849
1547.8807473236,492.7234821142
